QuestionID,Question,Label1,Label2,Dbpedia-Relation,RelationTotal,wordCountWithput@@@,Word Count(Avg),Explicit(Avg),Hidden(Avg),Common,relnliodLogs,qanary_component-DiambiguationProperty-OKBQA,qanary_component-AnnotationofSpotProperty,K-cap,isiah
10017,Was Kevin Jonas a part of Jonas brothers ?,held ,kind,http://dbpedia.org/ontology/location,1,2,2,0,0,0,,0,,0,0
10018,"Which kind of conventions are held in Rosemont, Illinois ?",penned,,http://dbpedia.org/ontology/author,1,1,1,0,0,0,1,,1,0,1
10019,How many books have been penned by Miguel de Cervantes ?,city,,http://dbpedia.org/ontology/city,1,1,1,1,0,0,,,,0,0
10020,"What are the schools whose city is Reading, Berkshire ?",county,,http://dbpedia.org/ontology/ceremonialCounty,1,1,1,0,0,0,0,,,0,0
10021,Does the west thurrock come under Essex county ?,headquartered,headed,"http://dbpedia.org/ontology/headquarter,http://dbpedia.org/ontology/leader",2,1,1,0,0,0,0,,,0,1
10022,How many people have headed organizations headquartered at Niederkirchnerstrae ?,executive producer,,http://dbpedia.org/ontology/executiveProducer,1,2,2,1,0,0,1,0,,0,1
10024,In which television shows have Steven Moffat served as an executive producer ?,work for,development,"http://dbpedia.org/ontology/occupation,http://dbpedia.org/ontology/developer",2,1.5,1.5,0,0,0,,0,0,0,1
10025,How many services does 21Vianet provide ?,style of architecture,,http://dbpedia.org/ontology/architecturalStyle,1,3,3,0,0,0,1,0,1,0,1
10026,What company involved in the development of Sherlock did Arthur Levinson work for ?,originate,,http://dbpedia.org/ontology/sourceMountain,1,1,1,0,0,0,0,,,0,0
10028,What is the style of architecture of South Loop Printing House District ?,previous work,producer,"http://dbpedia.org/ontology/previousWork,http://dbpedia.org/ontology/producer",2,1.5,1.5,1,0,0,1,0,0.5,0,1
10029,Is Ombla originate in Croatia ?,voice,,http://dbpedia.org/ontology/voice,1,1,1,1,0,0,1,0,0,0,1
10030,Was Ganymede discovered by Galileo Galilei ?,associated,associated,"http://dbpedia.org/ontology/associate,http://dbpedia.org/ontology/associate",2,1,1,0,0,0,0,1,0,0,1
10031,Who is the producer of the song which is the previous work of He's a Liar ?,citizenship,500000,"http://dbpedia.org/ontology/citizenship,http://dbpedia.org/ontology/citizenship",2,1,1,0.5,0,1,0,,0,0,1
10032,Who gave the voice for Allen Walker ?,person that first ascented,,"http://dbpedia.org/ontology/firstAscentPerson,http://dbpedia.org/ontology/firstAscentPerson",2,2,2,0,0,0,,,,0,1
10033,Who is associated to Publius Servilius Vatia Isauricus  and Marcus Calpurnius Bibulus ?,campuses,,http://dbpedia.org/ontology/campus,1,1,1,0,0,0,0,0,0,0,0
10034,Which country has given citizenship to both saima chowdhury and edmund john ?,Where,,http://dbpedia.org/ontology/location,1,1,1,0,0,0,,,,0,0
10035,Who is the person that first ascented the Cathedral Peak and Mount Hoffmann ?,composer,subsequent work,"http://dbpedia.org/ontology/composer,http://dbpedia.org/ontology/subsequentWork",2,1.5,1.5,1,0,0,0,0,0,0,1
10036,What university campuses are situated in Indiana ?,boards,boards,"http://dbpedia.org/ontology/board,http://dbpedia.org/ontology/board",2,1,1,0,0,0,1,0,0,0,1
10038,Where is the swedish covenant hospital ?,war,war,"http://dbpedia.org/ontology/battle,http://dbpedia.org/ontology/battle",2,1,1,0,0,0,0,,,0,1
10039,Which composer of Girl from the North Country is the subsequent work of the Moondog Matinee ?,order,things,"http://dbpedia.org/ontology/order,http://dbpedia.org/ontology/ingredient",2,1,1,0.5,0,0,,,,0,0
10040,Name the members of  boards of Freedom of the City and Trinity House ?,associated,made,http://dbpedia.org/ontology/associatedBand,1,2,2,0,0,0,1,0,1,0,1
10041,Was Reza Amrollahi born in Iran ?,mater alma,,http://dbpedia.org/ontology/almaMater,1,2,2,0,0,0,1,,1,0,1
10042,In which war did Roh Tae Woo and Lee Leffingwell fight ?,headquartered,leaders,"http://dbpedia.org/ontology/headquarter,http://dbpedia.org/ontology/leader",2,1,1,0,0,0,0.5,,,1,1
10043,What can be cooked out of things belonging to the order Sapindales ?,hometown,religions,http://dbpedia.org/ontology/hometown,1,2,2,1,0,0,0,0,0,1,0
10045,How many  TV shows were made by someone who was associated with Lewis Hamilton ?,commander,,http://dbpedia.org/ontology/commander,1,1,1,1,0,0,1,,,0,0
10046,Name the alma mater of Michael hahn ?,leader,,http://dbpedia.org/ontology/leader,1,1,1,1,0,0,0,,,0,1
10047,How many party leaders are there whose parties are headquartered in Berlin ?,fought,wars,http://dbpedia.org/ontology/battle,1,2,2,0,0,0,,,1,1,1
10048,How many total religions are followed by people whose hometown is somewhere in India ?,born,,http://dbpedia.org/ontology/birthPlace,1,1,1,0,0,0,,,,0,0
10049,Did Gwo Ka originate in Western Africa ?,trained,,http://dbpedia.org/ontology/training,1,1,1,0,0,0,,,,0,1
10050,Give me the total number of commander of the military conflicts whose commander is Roundhead (Wyandot). ?,party,religions,"http://dbpedia.org/ontology/party,http://dbpedia.org/ontology/religion",2,1,1,0.5,0,0,0,0,0,0,0
10051,Which country's leader is David Johnston ?,employer,employer,"http://dbpedia.org/ontology/employer,http://dbpedia.org/ontology/employer",2,1,1,1,0,0,1,0,1,1,0
10052,How many factions have fought in wars where Francois Marie Le Marchand de Lignery was involved ?,living ,@@@,"http://dbpedia.org/ontology/residence,http://dbpedia.org/ontology/battle",2,0.5,1,0,0.5,0,,0,,0,0
10053,Where was Antonio Giannini born ?,recorded,,http://dbpedia.org/ontology/recordedIn,1,1,1,0,0,0,,,,0,0
10055,Where was David Scherman trained ?,executive producer,awards,"http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/ontology/award",2,1.5,1.5,0.5,0,0,0.5,,0.5,0,1
10057,What religions do politicians in the Korean Minjoo Party follow ?,kingdom,families,"http://dbpedia.org/ontology/kingdom,http://dbpedia.org/ontology/family",2,1,1,0.5,0,0,0.5,0,0.5,0,0
10060,Give me the total number of employer of the engineers whose one of the employer is McDonnell Aircraft ?,manage a club,carry,http://dbpedia.org/ontology/managerClub,1,4,4,0,0,0,1,1,1,0,1
10061,"What were the major actions taken by the politicians living in Gales Ferry, Connecticut ?",layout,layout,"http://dbpedia.org/ontology/layout,http://dbpedia.org/ontology/layout",2,1,1,1,0,0,1,,0,0,1
10062,"Where was Live in Detroit, MI recorded ?",zone time,,http://dbpedia.org/ontology/timeZone,1,2,2,0,0,0,,,,0,0
10063,who all have been a manager of english under twenty one football team ?,mater alma,mater alma,"http://dbpedia.org/ontology/almaMater,http://dbpedia.org/ontology/almaMater",2,2,2,0,0,0,1,,1,0,1
10064,What awards have been won by the executive producer of Timmy Time ?,speaking,start,"http://dbpedia.org/ontology/officialLanguage,http://dbpedia.org/ontology/sourceCountry",2,1,1,0,0,0,0,0,0,0,0
10065,"Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium. ?",currency,currency,"http://dbpedia.org/ontology/currency,http://dbpedia.org/ontology/currency",2,1,1,1,0,0,0,,,0,1
10066,What are some families of mammals in the animal kingdom ?,@@@,,http://dbpedia.org/ontology/class,1,0,1,0,1,0,,,,0,0
10068,Count all the different purposes followed by the different NGOs. ?,find,nations,"http://dbpedia.org/ontology/ingredient,http://dbpedia.org/ontology/country",2,1,1,0,0,0,,,,0,0
10069,How many things are crossed over by bridges which can carry cars ?,platform,distributed,"http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/ontology/distributor",2,1,1,0,0,0,0.5,,,0,0
10071,Did Steve Sampson manage a club of Santa Clara university ?,games,500000,"http://dbpedia.org/ontology/sport,http://dbpedia.org/ontology/sport",2,1,1,0,0,1,,0,1,0,1
10072,List all the layouts of the automobile whose one of the layout is four-wheel-drive layout ?,PM,,http://dbpedia.org/ontology/primeMinister,1,1,1,0,0,0,0,,,0,0
10073,In which time zone is Pong Pha ?,in,sports,"http://dbpedia.org/ontology/city,http://dbpedia.org/ontology/sport",2,1,1,0,0,0,0.5,0,0.5,0,0
10074,What is the alma mater of the Angela Trusty and Charles Ayres ?,mayor,,http://dbpedia.org/ontology/leaderName,1,1,1,0,0,0,1,0,1,0,0
10075,How many rivers start in an English speaking country ?,league,nation,"http://dbpedia.org/ontology/league,http://dbpedia.org/ontology/country",2,1,1,0.5,0,0,,0,0,0,0
10076,Where are Aureus and Solidus used as currency ?,on,one,"http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/ontology/genre",2,1,1,0,0,0,,0,,0,0
10077,Is the chestnut white bellied rat a mammal ?,sports,sports,"http://dbpedia.org/ontology/sport,http://dbpedia.org/ontology/sport",2,1,1,0,0,0,0,0,0,0,1
10078,Was Tim Gunn a guest on The Broken Code ?,school,500000,"http://dbpedia.org/ontology/school,http://dbpedia.org/ontology/almaMater",2,1,1,0.5,0,1,0,0,0,1,1
10079,In how many nations can I find dishes made of Shallot ?,canonized,relegious affiliation,"http://dbpedia.org/ontology/canonizedBy,http://dbpedia.org/ontology/religion",2,1.5,1.5,0,0,0,0.5,0,0,0,1
10080,What system is both a platform where Nord runs and also distributed The beauty inside ?,from,countries,"http://dbpedia.org/ontology/riverMouth,http://dbpedia.org/ontology/sourceCountry",2,1,1,0,0,0,0,0,0,1,1
10081,Is Tirana the largest city of Albania ?,garrison,structure command,"http://dbpedia.org/ontology/garrison,http://dbpedia.org/ontology/commandStructure",2,1.5,1.5,0.5,0,0,0,,,0,0
10082,what are some common games played at both Fr Agnel Multipurpose School and Vishwajyot High School ?,made,,http://dbpedia.org/ontology/manufacturer,1,1,1,0,0,0,,0,1,0,0
10083,Who were all the people in office when bob hawke was the PM ?,@@@,,http://dbpedia.org/ontology/athletics,1,0,1,0,1,0,0,0,0,0,0
10084,Which sports are played at institues in Taguig ?,associated,,http://dbpedia.org/ontology/associatedBand,1,1,1,0,0,0,,0,1,0,1
10085,Raymond Johansen is the mayor of what city ?,built,leader,http://dbpedia.org/ontology/manufacturer,1,2,2,0,0,0,0,0,0,0,0
10086,What is the nation of the speedway league where Ikaros Smederna played ?,largest city,originates,"http://dbpedia.org/ontology/sourceMountain,http://dbpedia.org/ontology/largestCity",2,1.5,1.5,0.5,0,0,0,0,,0,0
10087,What are the kind of games one can play on windows ?,labels,@@@,"http://dbpedia.org/ontology/genre,http://dbpedia.org/ontology/recordLabel",2,0.5,1,0,0.5,0,0,,,0,0
10088,Count the number of sports played by schools which play hockey ?,major shrine,,http://dbpedia.org/ontology/majorShrine,1,2,2,1,0,0,1,,1,0,1
10089,What is the common school of Chris Marve and Neria Douglass ?,religion,@@@,"http://dbpedia.org/ontology/otherParty,http://dbpedia.org/ontology/religion",2,0.5,1,0.5,0.5,0,0,,,0,0
10091,What relegious affiliation of Josiah Idowu-Fearon was canonized by john of Damasucs ?,location,location,http://dbpedia.org/ontology/denomination,1,2,2,0,0,0,0,,,0,0
10094,Rivers from which countries flow into the Caspian ?,fellowship,,http://dbpedia.org/ontology/award,1,1,1,0,0,0,1,1,1,1,0
10095,"Name the military unit whose garrison is Arlington County, Virginia and command structure is United States Department of Defense ?",out of,,http://dbpedia.org/ontology/stateOfOrigin,1,2,2,0,0,0,1,,,0,0
10096,what are some devices made by asus ?,born,,http://dbpedia.org/ontology/parent,1,1,1,0,0,0,1,0,0,1,1
10097,Count the number of people who graduated from universities affiliated with the NCAA. ?,nominee,,http://dbpedia.org/ontology/nominee,1,1,1,1,0,0,,,,0,1
10098,Is Queen Latifah associated with Afrika Baby Bam ?,religions,alumini,"http://dbpedia.org/ontology/almaMater,http://dbpedia.org/ontology/religion",2,1,1,0,0,0,0.5,0,0,0,0
10099,Count all that was built by a company whose leader is Kazuo Hirai ?,source,mouth,"http://dbpedia.org/ontology/source,http://dbpedia.org/ontology/riverMouth",2,1,1,0.5,0,0,0,,,0,0
10100,What is the largest city in the country where the San Marcos River originates ?,seaons,youth clubs,http://dbpedia.org/ontology/season,1,3,3,0,0,0,,0,,0,1
10102,Give a list of all the labels that have jazz fusion artists signed up with them ?,border,,http://dbpedia.org/ontology/border,1,1,1,1,0,0,1,1,1,0,0
10103,Name the major shrine of Bogumilus ?,division,company,http://dbpedia.org/ontology/division,1,2,2,1,0,0,0,0,0,0,0
10104,List the religion of people in the Cambodian human rights party ?,subsequent work,musical band,"http://dbpedia.org/ontology/subsequentWork,http://dbpedia.org/ontology/musicalBand",2,2,2,1,0,0,0,0,0,0,1
10105,Count the wars in which people awarded with the Croix de guerre fought. ?,authors,influenced by,"http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/influencedBy",2,1.5,1.5,0.5,0,0,0,0,,1,1
10106,"Which location of  INKAS is also the location of  T.I. Ahmadiyya Senior High School, Kumasi ?",county,largest city,"http://dbpedia.org/ontology/county,http://dbpedia.org/ontology/largestCity",2,1.5,1.5,1,0,0,0.5,0,,0,0
10107,How many battles have involved commanders of 1st Free French Division ?,associate band,500000,"http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/ontology/associatedBand",2,1.5,1.5,0,0,1,,0,1,0,1
10108,Count the number of cities on the Mediterranean Sea ?,album,performer,"http://dbpedia.org/ontology/album,http://dbpedia.org/ontology/artist",2,1,1,0.5,0,0,0,,,0,1
10109,Which researchers received fellowship from Royal Society ?,hub,,http://dbpedia.org/ontology/hubAirport,1,1,1,0,0,0,,,,0,1
10111,what are some famous people out of the Filipinos ?,drafted,@@@,http://dbpedia.org/ontology/draftTeam,1,1,2,0,1,0,,,,0,1
10113,To whom was Tessa Dahl born to ?,railway lines,maintained,"http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/ontology/servingRailwayLine",2,1.5,1.5,0,0,0,0,,0,0,0
10114,Was Jack Ryan a nominee of US Senate ?,governing body,leader name,"http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/leaderName",2,2,2,1,0,0,1,0.5,0.5,0,0
10115,Count the number of religions followed by the alumini of Ananda College. ?,major shrine,,http://dbpedia.org/ontology/majorShrine,1,2,2,1,0,0,1,,1,0,1
10117,What is the river whose source is Cowombat  Flat and has it's mouth located in Murray Mouth ?,series,,http://dbpedia.org/ontology/series,1,1,1,1,0,0,,0,,0,0
10118,Who were in the youth clubs that were in season of 2015 Argentine Primera Division ?,@@@,,http://dbpedia.org/ontology/religion,1,0,1,0,1,0,,,,0,0
10119,"From how many coutries do companies come, which are headquartered in the Klang Valley ?",country,country,"http://dbpedia.org/ontology/locationCountry,http://dbpedia.org/ontology/locationCountry",2,1,1,0,0,0,1,0,0,0,0
10120,What are the border of High Desert (Oregon) ?,genres,@@@,"http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/ontology/genre",2,0.5,1,0,0.5,0,0.5,,,0,0
10121,What all is owned by a company one of whose division is Paramount Domestic Television ?,cast members,producers,"http://dbpedia.org/ontology/producer,http://dbpedia.org/ontology/starring",2,1.5,1.5,0,0,0,0.5,,,0,1
10122,Which musical band produced the subsequent work of City of New Orleans ?,used in,territories,"http://dbpedia.org/ontology/usedInWar,http://dbpedia.org/ontology/territory",2,1.5,1.5,0,0,0,0,,,0,0
10123,The authors of Zhorstoke nebo was influenced by whom ?,death place,,http://dbpedia.org/ontology/deathPlace,1,2,2,1,0,0,1,,,0,0
10125,Name the largest city in the county where there is a Cy-Fair High School. ?,product,key person,"http://dbpedia.org/ontology/product,http://dbpedia.org/ontology/keyPerson",2,1.5,1.5,1,0,0,0.5,,,0,0
10127,Name the common associate band of Blayse and Teddy Riley ?,route junction,,http://dbpedia.org/ontology/routeJunction,1,2,2,1,0,0,1,1,1,1,1
10128,"Who is the performer of album which has the song ""To Where You Are"" ?",executive producer,person,"http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/ontology/keyPerson",2,1.5,1.5,0.5,0,0,0.5,,,0,1
10129,Does the merlin express have a hub at the cibano international airport ?,sister station,,http://dbpedia.org/ontology/sisterStation,1,2,2,1,0,0,1,0,1,1,0
10130,"How many people live in Wilton, Connecticut ?",fly to,,http://dbpedia.org/ontology/targetAirport,1,2,2,0,0,0,1,,1,0,0
10131,For how many different teams have Ontarians been drafted ?,presented,,http://dbpedia.org/ontology/presenter,1,1,1,0,0,0,1,0,1,1,1
10132,How many rivers are crossed by different Box Girder bridges ?,awards,awards,"http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/award",2,1,1,0,0,0,,0,,0,1
10133,What railway lines go through the stations maintained by Western Australian Public Transport Authority ?,edited by,,http://dbpedia.org/ontology/writer,1,2,2,0,0,0,0,0,0,0,0
10134,What is the leader name of the settlements whose governing body is Municipal council ?,originate,,http://dbpedia.org/ontology/sourceMountain,1,1,1,0,0,0,1,0,,0,0
10136,What is the major shrine of Jacques-Dsir Laval ?,design,,http://dbpedia.org/ontology/designCompany,1,1,1,0,0,0,,,,1,0
10137,Count the number of actors in Lucy Sullivan Is Getting Married. ?,known for,,http://dbpedia.org/ontology/knownFor,1,2,2,1,0,0,0,0,0,0,1
10138,To which series does the character of Londo Mollari belong ?,home town,,http://dbpedia.org/ontology/hometown,1,2,2,1,0,0,1,0,1,1,0
10139,Count all the scientologists. ?,district,,http://dbpedia.org/ontology/state,1,1,1,0,0,0,1,,,1,0
10140,Rashid Behbudov State Song Theatre and Baku Puppet Theatre can be found in which country ?,religious affiliation,,http://dbpedia.org/ontology/religion,1,2,2,0,0,0,1,0,0,0,0
10143,How many genres of games can I find on the commodore CDTV ?,speak,currencies,"http://dbpedia.org/ontology/officialLanguage,http://dbpedia.org/ontology/currency",2,1,1,0,0,0,,0,0,0,0
10144,List the cast member of the movies whose producer is Mark Johnson. ?,governed,500000,"http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/leaderName",2,1,1,0,0,1,1,0,0,0,0
10145,In how many  territories were the wars fought where Fusil Gras Mile 1874 were used ?,war,,http://dbpedia.org/ontology/battle,1,1,1,0,0,0,1,,1,0,1
10146,Who are the politicians whose death place is Ontario ?,language,language,http://dbpedia.org/ontology/languageFamily,1,2,2,0,0,0,0,0,,0,0
10148,Does the US route 281 have a junction at San Antonio ?,team,,http://dbpedia.org/ontology/team,1,1,1,1,0,0,0,0,0,0,0
10149,Name the company whose one of the product is Pixar Image Computer and has one of the key person as Edwin Catmull ?,carry,maintainer,http://dbpedia.org/ontology/maintainedBy,1,2,2,0,0,0,0,0,,0,0
10150,Give me a count of royalties buried in Rome ?,@@@,,http://dbpedia.org/ontology/field,1,0,1,0,1,0,,,,0,0
10151,What is the route junction of Rhode Island Route 15 ?,residence,,http://dbpedia.org/ontology/residence,1,1,1,1,0,0,1,1,1,0,1
10152,Which executive producer of the ultimate merger is also an important person at Trump Productions ?,biggest town,archipelago,http://dbpedia.org/ontology/largestCity,1,3,3,0,0,0,,0,,0,0
10153,Is KOMC-FM the sister station of KOMC (AM) ?,nearest city,,http://dbpedia.org/ontology/nearestCity,1,2,2,1,0,0,0,1,,0,1
10157,Do the asiana airlines fly  to Jeju airport ?,opponent,,http://dbpedia.org/ontology/opponent,1,1,1,1,0,0,1,1,1,0,1
10158,Which awards are presented by Swedish Academy ?,relative to,,http://dbpedia.org/ontology/relation,1,2,2,0,0,0,0,,,0,1
10159,List the awards won by the fashion designer which have been recognized by Tennessee State Museum ?,publisher,founded by,"http://dbpedia.org/ontology/publisher,http://dbpedia.org/ontology/founder",2,1.5,1.5,0.5,0,0,0,,,0,1
10160,Which motion picture stories were edited by Ishir Honda ?,network,related,"http://dbpedia.org/ontology/network,http://dbpedia.org/ontology/related",2,1,1,1,0,0,0,,,1,1
10161,Which rivers originate from Dowra ?,related,life stance,"http://dbpedia.org/ontology/related,http://dbpedia.org/ontology/religion",2,1.5,1.5,0.5,0,0,,0.5,0,0,0
10162,How many TV shows have been created by Simon Fuller ?,founded by,,http://dbpedia.org/ontology/founder,1,2,2,0,0,0,1,0,1,0,1
10163,Did Henry Ford design the Model C ?,river,river,"http://dbpedia.org/ontology/riverMouth,http://dbpedia.org/ontology/riverMouth",2,1,1,0,0,0,,0,,0,0
10165,How many people are known for Dragons' Den ?,awards,awards,http://dbpedia.org/ontology/award,1,2,2,0,0,0,1,0,1,0,0
10166,Greater Napanee is the home town of what people ?,industry,,http://dbpedia.org/ontology/industry,1,1,1,1,0,0,0,,,0,1
10167,In which state is the Channel district ?,field,field,"http://dbpedia.org/ontology/field,http://dbpedia.org/ontology/field",2,1,1,1,0,0,1,,0,0,0
10168,Name the religious affiliation of Vagif Aliyev ?,lieutenant,lieutenant,"http://dbpedia.org/ontology/lieutenant,http://dbpedia.org/ontology/lieutenant",2,1,1,1,0,0,,,,0,1
10169,Count the number of characters of the play whose one of the character is Catwoman ?,narrate,,http://dbpedia.org/ontology/narrator,1,1,1,0,0,0,,1,1,0,1
10170,Is Bacillus belong to the domain Bacteria ?,presided,sport,"http://dbpedia.org/ontology/president,http://dbpedia.org/ontology/sport",2,1,1,0.5,0,0,0.5,0,0.5,0,0
10171,How many currencies are in used in places where people speak French ?,genre,sport,"http://dbpedia.org/ontology/genre,http://dbpedia.org/ontology/sport",2,1,1,1,0,0,0.5,,,0,0
10172,"What political party has governed both in Baraily,MP and Jowai ?",genres,produced,http://dbpedia.org/ontology/developer,1,2,2,0,0,0,0,0,0,0,0
10173,Which officers fought in the war of Siege of Fort Recovery ?,@@@,source place,"http://dbpedia.org/ontology/city,http://dbpedia.org/ontology/sourcePlace",2,1,1.5,0.5,0.5,0,,,,0,0
10174,How many writers speak a language belonging to the Germanic kind of languages ?,conflicts of,@@@,"http://dbpedia.org/ontology/battle,http://dbpedia.org/ontology/battle",2,1,1.5,0,0.5,0,1,0,,0,1
10175,Was Duanne Allman known to play the Les Paul ?,@@@,came before,"http://dbpedia.org/ontology/automobilePlatform,http://dbpedia.org/ontology/predecessor",2,1,1.5,0,0.5,0,,,,0,0
10176,For which other teams do members of tanzanian national football team play ?,founded,,http://dbpedia.org/ontology/foundationPlace,1,1,1,0,0,0,0,,,1,0
10177,How many maintainers are there of the bridges that can carry motor vehicles over them ?,language family,speaks,http://dbpedia.org/ontology/languageFamily,1,3,3,1,0,0,,,,0,0
10178,What is Jon Speelman famous for ?,@@@,spouses,"http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/ontology/spouse",2,0.5,1,0,0.5,0,,0,,0,0
10179,What city is the residence of Cheryl Teigs ?,made ,written by,"http://dbpedia.org/ontology/notableWork,http://dbpedia.org/ontology/author",2,1.5,1.5,0,0,0,0,0,0,0,0
10180,"Give me a count of everything under the archipelago, where Papeete is the biggest town. ?",relative,,http://dbpedia.org/ontology/relation,1,1,1,0,0,0,,,,0,1
10181,Name the nearest city to  Lake Victoria ?,network,subsiquent work,"http://dbpedia.org/ontology/network,http://dbpedia.org/ontology/subsequentWork",2,1.5,1.5,0.5,0,0,0,,,0,1
10183,Was A foreign policy on freedom covered by John Trumbull ?,other party,other party,"http://dbpedia.org/ontology/otherParty,http://dbpedia.org/ontology/otherParty",2,2,2,1,0,0,0,0,0,0,1
10184,Eric roth wrote how many screenplays ?,garrison,,http://dbpedia.org/ontology/garrison,1,1,1,1,0,0,,,,0,0
10185,How many have been awarded by the Royal Society ?,co-founder,co-founder,"http://dbpedia.org/ontology/foundedBy,http://dbpedia.org/ontology/foundedBy",2,1,1,0,0,0,0,0,,0,1
10186,Who are the opponents of Gervase Helwys ?,speaking,located in,"http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/location",2,1.5,1.5,0,0,0,0,,,0,0
10187,With whom is Heinz Kokott a relative to who also served Nazi Army ?,famous ,,"http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/knownFor",2,0.5,0.5,0,0,0,,,,0,0
10189,Which magazine's publisher is Jann Wenner and founded by Ralph J. Gleason ?,@@@,,http://dbpedia.org/ontology/college,1,0,1,0,1,0,,,,0,0
10190,Which television show's network  is BBC HD and is related to Doctor Who Confidential ?,start in,,http://dbpedia.org/ontology/sourceRegion,1,2,2,0,0,0,0,0,0,0,0
10191,What is the life stance of the ethnic groups related to Micronesia ?,@@@,country,"http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/country",2,0.5,1,0.5,0.5,0,0,0.5,0,0,0
10192,What is the magazine which have been  founded by Ralph J. Gleason ?,@@@,religion,"http://dbpedia.org/ontology/militaryBranch,http://dbpedia.org/ontology/religion",2,0.5,1,0.5,0.5,0,,0,,0,0
10193,Which river ends at  Thames Estuary and North Sea ?,coach,,http://dbpedia.org/ontology/coach,1,1,1,1,0,0,1,0,1,0,1
10195,Count the number of sports team members  which have player named Matt Williams ?,tenant,military branch,"http://dbpedia.org/ontology/tenant,http://dbpedia.org/ontology/militaryBranch",2,1.5,1.5,1,0,0,1,0,0,1,1
10197,How many other awards have been given to people who have won the Golden Globe ?,born in,,http://dbpedia.org/ontology/birthPlace,1,2,2,0,0,0,1,0,1,0,1
10198,Does Mr. Jim's Pizza operate in the pizza industry ?,situated,,http://dbpedia.org/ontology/headquarter,1,1,1,0,0,0,0,0,0,0,0
10199,How many other field are there of the scientists whose one of the field is Mathematics ?,cinematographer,,http://dbpedia.org/ontology/cinematography,1,1,1,0,0,0,1,,,0,0
