,QuestionID,Question,Query,TripleSize,RelationTotal,BooleanAns,NumberAnswer,ListAnswer,ResourceTotal,ClassTotal,QuestionLength,Dharmen,SINA
38,10038.0,In which war did Roh Tae Woo and Lee Leffingwell fight ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Roh_Tae-woo> <http://dbpedia.org/ontology/battle> ?uri. <http://dbpedia.org/resource/Lee_Leffingwell> <http://dbpedia.org/ontology/battle> ?uri . },4.0,2.0,0.0,0.0,1.0,2.0,0.0,11.0,0.0,0.0
40,10040.0,How many  TV shows were made by someone who was associated with Lewis Hamilton ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/associatedBand> <http://dbpedia.org/resource/Lewis_Hamilton> . ?uri <http://dbpedia.org/property/creator> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>},4.0,1.0,0.0,1.0,0.0,1.0,1.0,14.0,0.0,0.0
42,10042.0,How many party leaders are there whose parties are headquartered in Berlin ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/headquarter> <http://dbpedia.org/resource/Berlin> . ?x <http://dbpedia.org/ontology/leader> ?uri  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician>},4.0,2.0,0.0,1.0,0.0,1.0,1.0,12.0,0.0,0.0
43,10043.0,How many total religions are followed by people whose hometown is somewhere in India ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/India> . ?x <http://dbpedia.org/property/religion> ?uri  . },3.0,1.0,0.0,1.0,0.0,1.0,0.0,14.0,0.0,0.0
44,10044.0,Did Gwo Ka originate in Western Africa ?,ASK WHERE { <http://dbpedia.org/resource/Gwo_ka> <http://dbpedia.org/property/stylisticOrigins> <http://dbpedia.org/resource/West_Africa> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0
45,10045.0,Give me the total number of commander of the military conflicts whose commander is Roundhead (Wyandot). ?, SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/commander> <http://dbpedia.org/resource/Roundhead_(Wyandot)> . ?x <http://dbpedia.org/ontology/commander> ?uri },3.0,1.0,0.0,0.0,1.0,1.0,0.0,16.0,0.0,0.0
47,10047.0,How many factions have fought in wars where Francois Marie Le Marchand de Lignery was involved ?,SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/François-Marie_Le_Marchand_de_Lignery> <http://dbpedia.org/ontology/battle> ?x . ?x <http://dbpedia.org/property/combatant> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryConflict>},4.0,1.0,0.0,1.0,0.0,1.0,1.0,16.0,0.0,0.0
51,10051.0,Give me the total number of employer of the engineers whose one of the employer is McDonnell Aircraft ?, SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/employer> <http://dbpedia.org/resource/McDonnell_Aircraft> . ?x <http://dbpedia.org/ontology/employer> ?uri },3.0,2.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0
52,10052.0,"What were the major actions taken by the politicians living in Gales Ferry, Connecticut ?","SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/residence> <http://dbpedia.org/resource/Gales_Ferry,_Connecticut> . ?x <http://dbpedia.org/ontology/battle> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician>}",4.0,2.0,0.0,0.0,1.0,1.0,1.0,14.0,0.0,0.0
53,10053.0,"Where was Live in Detroit, MI recorded ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Live_in_Detroit,_MI> <http://dbpedia.org/ontology/recordedIn> ?uri } ",2.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0
56,10056.0,"Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium. ?","SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/ground> <http://dbpedia.org/resource/Rosario,_Santa_Fe> . ?uri <http://dbpedia.org/property/youthclubs> ?x  . }",3.0,0.0,0.0,1.0,0.0,1.0,0.0,16.0,0.0,0.0
58,10058.0,Count all the different purposes followed by the different NGOs. ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/type> <http://dbpedia.org/resource/Non-governmental_organization> . ?x <http://dbpedia.org/property/purpose> ?uri  . },3.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0
59,10059.0,How many things are crossed over by bridges which can carry cars ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/carries> <http://dbpedia.org/resource/Motor_vehicle> . ?x <http://dbpedia.org/property/crosses> ?uri  . },3.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0
61,10061.0,List all the layouts of the automobile whose one of the layout is four-wheel-drive layout ?,"SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/layout> <http://dbpedia.org/resource/Front-engine,_four-wheel-drive_layout> . ?x <http://dbpedia.org/ontology/layout> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Automobile>}",4.0,2.0,0.0,0.0,1.0,1.0,1.0,15.0,0.0,0.0
63,10063.0,What is the alma mater of the Angela Trusty and Charles Ayres ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Angela_Trusty> <http://dbpedia.org/ontology/almaMater> ?uri. <http://dbpedia.org/resource/Charles_Ayres> <http://dbpedia.org/ontology/almaMater> ?uri . },4.0,2.0,0.0,0.0,1.0,2.0,0.0,12.0,0.0,0.0
64,10064.0,How many rivers start in an English speaking country ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/officialLanguage> <http://dbpedia.org/resource/English_language> . ?uri <http://dbpedia.org/ontology/sourceCountry> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>},4.0,2.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0
67,10067.0,Was Tim Gunn a guest on The Broken Code ?,ASK WHERE { <http://dbpedia.org/resource/The_Broken_Code> <http://dbpedia.org/property/guests> <http://dbpedia.org/resource/Tim_Gunn> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0
68,10068.0,In how many nations can I find dishes made of Shallot ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/ingredient> <http://dbpedia.org/resource/Shallot> . ?x <http://dbpedia.org/ontology/country> ?uri  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>},4.0,2.0,0.0,0.0,1.0,1.0,1.0,11.0,0.0,0.0
69,10069.0,What system is both a platform where Nord runs and also distributed The beauty inside ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Nord_(video_game)> <http://dbpedia.org/ontology/computingPlatform> ?uri. <http://dbpedia.org/resource/The_Beauty_Inside> <http://dbpedia.org/ontology/distributor> ?uri . },4.0,2.0,0.0,0.0,1.0,2.0,0.0,15.0,0.0,0.0
70,10070.0,Is Tirana the largest city of Albania ?,ASK WHERE { <http://dbpedia.org/resource/Albania> <http://dbpedia.org/property/largestCity> <http://dbpedia.org/resource/Tirana> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0
71,10071.0,what are some common games played at both Fr Agnel Multipurpose School and Vishwajyot High School ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fr._Agnel_Multipurpose_School_and_Junior_College> <http://dbpedia.org/ontology/sport> ?uri. <http://dbpedia.org/resource/Vishwajyot_High_School> <http://dbpedia.org/ontology/sport> ?uri . },4.0,2.0,0.0,0.0,1.0,2.0,0.0,16.0,0.0,0.0
75,10075.0,What is the nation of the speedway league where Ikaros Smederna played ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ikaros_Smederna> <http://dbpedia.org/ontology/league> ?x . ?x <http://dbpedia.org/ontology/country> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/SpeedwayLeague>},4.0,2.0,0.0,0.0,1.0,1.0,1.0,12.0,0.0,0.0
77,10077.0,Count the number of sports played by schools which play hockey ?, SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/sport> <http://dbpedia.org/resource/Hockey> . ?x <http://dbpedia.org/ontology/sport> ?uri },3.0,2.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0
78,10078.0,What is the common school of Chris Marve and Neria Douglass ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chris_Marve> <http://dbpedia.org/ontology/school> ?uri. <http://dbpedia.org/resource/Neria_Douglass> <http://dbpedia.org/ontology/almaMater> ?uri} ,4.0,2.0,0.0,0.0,1.0,2.0,0.0,11.0,0.0,0.0
79,10079.0,What relegious affiliation of Josiah Idowu-Fearon was canonized by john of Damasucs ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_of_Damascus> <http://dbpedia.org/ontology/canonizedBy> ?uri. <http://dbpedia.org/resource/Josiah_Idowu-Fearon> <http://dbpedia.org/ontology/religion> ?uri} ,4.0,2.0,0.0,0.0,1.0,2.0,0.0,12.0,0.0,0.0
81,10081.0,"Name the military unit whose garrison is Arlington County, Virginia and command structure is United States Department of Defense ?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/garrison> <http://dbpedia.org/resource/Arlington_County,_Virginia> . ?uri <http://dbpedia.org/ontology/commandStructure> <http://dbpedia.org/resource/United_States_Department_of_Defense>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryUnit>}",5.0,2.0,0.0,0.0,1.0,2.0,1.0,19.0,0.0,0.0
83,10083.0,Count the number of people who graduated from universities affiliated with the NCAA. ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/athletics> <http://dbpedia.org/resource/National_Collegiate_Athletic_Association> . ?uri <http://dbpedia.org/property/education> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>},4.0,1.0,0.0,1.0,0.0,1.0,1.0,13.0,0.0,0.0
86,10086.0,What is the largest city in the country where the San Marcos River originates ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/San_Marcos_River> <http://dbpedia.org/ontology/sourceMountain> ?x . ?x <http://dbpedia.org/ontology/largestCity> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>},4.0,2.0,0.0,0.0,1.0,1.0,1.0,14.0,0.0,0.0
90,10090.0,Count the wars in which people awarded with the Croix de guerre fought. ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/awards> <http://dbpedia.org/resource/Croix_de_guerre_1939–1945_(France)> . ?x <http://dbpedia.org/property/battles> ?uri  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryConflict>},4.0,0.0,0.0,1.0,0.0,1.0,1.0,13.0,0.0,0.0
91,10091.0,"Which location of  INKAS is also the location of  T.I. Ahmadiyya Senior High School, Kumasi ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/INKAS> <http://dbpedia.org/property/locations> ?uri. <http://dbpedia.org/resource/T.I._Ahmadiyya_Senior_High_School,_Kumasi> <http://dbpedia.org/ontology/denomination> ?uri} ",4.0,1.0,0.0,0.0,1.0,2.0,0.0,15.0,0.0,0.0
92,10092.0,How many battles have involved commanders of 1st Free French Division ?,SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/1st_Free_French_Division> <http://dbpedia.org/property/notableCommanders> ?x . ?x <http://dbpedia.org/property/battles> ?uri  . },3.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0
93,10093.0,Count the number of cities on the Mediterranean Sea ?,SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/Mediterranean_Sea> <http://dbpedia.org/property/cities> ?uri  . },2.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,0.0
101,10101.0,"From how many coutries do companies come, which are headquartered in the Klang Valley ?",SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/headquarters> <http://dbpedia.org/resource/Klang_Valley> . ?x <http://dbpedia.org/property/country> ?uri  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>},4.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,0.0,0.0
103,10103.0,What all is owned by a company one of whose division is Paramount Domestic Television ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/division> <http://dbpedia.org/resource/Paramount_Domestic_Television> . ?uri <http://dbpedia.org/property/company> ?x  . },3.0,1.0,0.0,0.0,1.0,1.0,0.0,15.0,0.0,0.0
107,10107.0,Name the common associate band of Blayse and Teddy Riley ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Blayse> <http://dbpedia.org/ontology/associatedBand> ?uri. <http://dbpedia.org/resource/Teddy_Riley> <http://dbpedia.org/ontology/associatedBand> ?uri . },4.0,2.0,0.0,0.0,1.0,2.0,0.0,10.0,0.0,0.0
108,10108.0,"Who is the performer of album which has the song ""To Where You Are"" ?",SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/To_Where_You_Are> <http://dbpedia.org/ontology/album> ?x . ?x <http://dbpedia.org/ontology/artist> ?uri  . },3.0,2.0,0.0,0.0,1.0,1.0,0.0,14.0,0.0,0.0
110,10110.0,"How many people live in Wilton, Connecticut ?","SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/residence> <http://dbpedia.org/resource/Wilton,_Connecticut>  . }",2.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0
111,10111.0,For how many different teams have Ontarians been drafted ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/placeOfBirth> <http://dbpedia.org/resource/Ontario> . ?x <http://dbpedia.org/ontology/draftTeam> ?uri  . },3.0,1.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0
112,10112.0,How many rivers are crossed by different Box Girder bridges ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/design> <http://dbpedia.org/resource/Box_girder_bridge> . ?x <http://dbpedia.org/property/crosses> ?uri  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>},4.0,0.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,0.0
116,10116.0,Count the number of actors in Lucy Sullivan Is Getting Married. ?,SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/Lucy_Sullivan_Is_Getting_Married> <http://dbpedia.org/property/starring> ?uri  . },2.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0
118,10118.0,Count all the scientologists. ?,SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/religion> <http://dbpedia.org/resource/Scientology>  . },2.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0
119,10119.0,Rashid Behbudov State Song Theatre and Baku Puppet Theatre can be found in which country ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rashid_Behbudov_State_Song_Theatre> <http://dbpedia.org/ontology/locationCountry> ?uri. <http://dbpedia.org/resource/Baku_Puppet_Theatre> <http://dbpedia.org/ontology/locationCountry> ?uri . },4.0,2.0,0.0,0.0,1.0,2.0,0.0,15.0,0.0,0.0
122,10122.0,In how many  territories were the wars fought where Fusil Gras Mile 1874 were used ?,SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/Fusil_Gras_mle_1874> <http://dbpedia.org/ontology/usedInWar> ?x . ?x <http://dbpedia.org/ontology/territory> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryConflict>},4.0,2.0,0.0,0.0,1.0,1.0,1.0,15.0,0.0,0.0
124,10124.0,Does the US route 281 have a junction at San Antonio ?,ASK WHERE { <http://dbpedia.org/resource/U.S._Route_281> <http://dbpedia.org/property/junction> <http://dbpedia.org/resource/San_Antonio> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0
126,10126.0,Give me a count of royalties buried in Rome ?,SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/placeOfBurial> <http://dbpedia.org/resource/Rome>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>},3.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,0.0,0.0
128,10128.0,Which executive producer of the ultimate merger is also an important person at Trump Productions ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Ultimate_Merger> <http://dbpedia.org/ontology/executiveProducer> ?uri. <http://dbpedia.org/resource/Trump_Productions> <http://dbpedia.org/ontology/keyPerson> ?uri . },4.0,2.0,0.0,0.0,1.0,2.0,0.0,15.0,0.0,0.0
135,10135.0,How many TV shows have been created by Simon Fuller ?,SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/creator> <http://dbpedia.org/resource/Simon_Fuller>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>},3.0,0.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,0.0
137,10137.0,How many people are known for Dragons' Den ?,SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/knownFor> <http://dbpedia.org/resource/Dragons'_Den_(UK_TV_series)>  . },2.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0
141,10141.0,Count the number of characters of the play whose one of the character is Catwoman ?, SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/characters> <http://dbpedia.org/resource/Catwoman> . ?x <http://dbpedia.org/property/characters> ?uri },3.0,0.0,0.0,1.0,0.0,1.0,0.0,15.0,0.0,0.0
142,10142.0,Is Bacillus belong to the domain Bacteria ?,ASK WHERE { <http://dbpedia.org/resource/Bacillus> <http://dbpedia.org/property/domain> <http://dbpedia.org/resource/Bacteria> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0
143,10143.0,How many currencies are in used in places where people speak French ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/officialLanguage> <http://dbpedia.org/resource/French_language> . ?x <http://dbpedia.org/ontology/currency> ?uri  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Currency>},4.0,2.0,0.0,1.0,0.0,1.0,1.0,12.0,0.0,0.0
144,10144.0,"What political party has governed both in Baraily,MP and Jowai ?",SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Baraily> <http://dbpedia.org/ontology/leaderName> ?uri. <http://dbpedia.org/resource/Jowai> <http://dbpedia.org/ontology/leaderName> ?uri . },4.0,2.0,0.0,0.0,1.0,2.0,0.0,10.0,0.0,0.0
146,10146.0,How many writers speak a language belonging to the Germanic kind of languages ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/languageFamily> <http://dbpedia.org/resource/Germanic_languages> . ?uri <http://dbpedia.org/property/language> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Writer>},4.0,1.0,0.0,1.0,0.0,1.0,1.0,13.0,0.0,0.0
147,10147.0,Was Duanne Allman known to play the Les Paul ?,ASK WHERE { <http://dbpedia.org/resource/Duane_Allman> <http://dbpedia.org/property/notableInstruments> <http://dbpedia.org/resource/Gibson_Les_Paul> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0
148,10148.0,For which other teams do members of tanzanian national football team play ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/nationalteam> <http://dbpedia.org/resource/Tanzania_national_football_team> . ?x <http://dbpedia.org/ontology/team> ?uri  . },3.0,1.0,0.0,0.0,1.0,1.0,0.0,12.0,0.0,0.0
152,10152.0,"Give me a count of everything under the archipelago, where Papeete is the biggest town. ?",SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/largestCity> <http://dbpedia.org/resource/Papeete> . ?uri <http://dbpedia.org/property/archipelago> ?x  . },3.0,1.0,0.0,0.0,1.0,1.0,0.0,15.0,0.0,0.0
154,10154.0,Was A foreign policy on freedom covered by John Trumbull ?,ASK WHERE { <http://dbpedia.org/resource/A_Foreign_Policy_of_Freedom> <http://dbpedia.org/property/coverArtist> <http://dbpedia.org/resource/John_Trumbull> },3.0,0.0,1.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0
155,10155.0,Eric roth wrote how many screenplays ?,SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/screenplay> <http://dbpedia.org/resource/Eric_Roth>  . },2.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0
