QuestionID,Question,Query,TripleSize,RelationTotal,BooleanAns,NumberAnswer,ListAnswer,ResourceTotal,ClassTotal,QuestionLength,Dharmen,SINA
10010,Where was the battle fought where 2nd Foreign Infantry Regiment participated ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2nd_Foreign_Infantry_Regiment> <http://dbpedia.org/ontology/battle> ?x . ?x <http://dbpedia.org/ontology/territory> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryConflict>},4,2,0,0,1,1,1,11,0,0
10011,What is the operator of SR class 3Sub ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/SR_class_3Sub> <http://dbpedia.org/ontology/operator> ?uri } ,2,1,0,0,1,1,0,8,1,0.5
10012,Did Timm Gunn guest in Sunrise (HIMYM) ?,ASK WHERE { <http://dbpedia.org/resource/Sunrise_(How_I_Met_Your_Mother)> <http://dbpedia.org/property/guests> <http://dbpedia.org/resource/Tim_Gunn> },3,0,1,0,0,2,0,7,0,0
10013,which politician is currently ruling over Rishkiesh ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rishikesh> <http://dbpedia.org/ontology/leaderName> ?uri } ,2,1,0,0,1,1,0,7,1,1
10014,Is north america one of the destinations of airtours airways ?,ASK WHERE { <http://dbpedia.org/resource/Airtours_International_Airways> <http://dbpedia.org/ontology/destination> <http://dbpedia.org/resource/North_America> },3,1,1,0,0,2,0,10,1,0
10015,"How many tenats have been there, of the constructions of PCL constructures ?",SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/builder> <http://dbpedia.org/resource/PCL_Construction> . ?x <http://dbpedia.org/ontology/tenant> ?uri  . },3,2,0,1,0,1,0,12,0,0
10016,Was Kevin Jonas a part of Jonas brothers ?,ASK WHERE { <http://dbpedia.org/resource/Jonas_Brothers> <http://dbpedia.org/ontology/formerBandMember> <http://dbpedia.org/resource/Kevin_Jonas> },3,1,1,0,0,2,0,8,1,0
10017,"Which kind of conventions are held in Rosemont, Illinois ?","SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Rosemont,_Illinois> . ?x <http://dbpedia.org/property/genre> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Convention>}",4,1,0,0,1,1,1,9,0,0
10018,How many books have been penned by Miguel de Cervantes ?,SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Miguel_de_Cervantes>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book>},3,1,0,1,0,1,1,10,0,0
10019,"What are the schools whose city is Reading, Berkshire ?"," SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Reading,_Berkshire> } ",2,1,0,0,1,1,0,9,0,0
10020,Does the west thurrock come under Essex county ?,ASK WHERE { <http://dbpedia.org/resource/West_Thurrock> <http://dbpedia.org/ontology/ceremonialCounty> <http://dbpedia.org/resource/Essex> },3,1,1,0,0,2,0,8,1,0
10021,How many people have headed organizations headquartered at Niederkirchnerstrae ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/headquarter> <http://dbpedia.org/resource/Niederkirchnerstraße> . ?x <http://dbpedia.org/ontology/leader> ?uri  . },3,2,0,1,0,1,0,9,0,0
10022,In which television shows have Steven Moffat served as an executive producer ?,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/executiveProducer> <http://dbpedia.org/resource/Steven_Moffat>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>},3,1,0,0,1,1,1,12,1,1
10023,How many services does 21Vianet provide ?,SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/21Vianet> <http://dbpedia.org/property/services> ?uri  . },2,0,0,1,0,1,0,6,0,0
10024,What company involved in the development of Sherlock did Arthur Levinson work for ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Arthur_D._Levinson> <http://dbpedia.org/ontology/occupation> ?uri. <http://dbpedia.org/resource/Sherlock_(software)> <http://dbpedia.org/ontology/developer> ?uri} ,4,2,0,0,1,2,0,13,0,0
10025,What is the style of architecture of South Loop Printing House District ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/South_Loop_Printing_House_District> <http://dbpedia.org/ontology/architecturalStyle> ?uri } ,2,1,0,0,1,1,0,12,1,1
10026,Is Ombla originate in Croatia ?,ASK WHERE { <http://dbpedia.org/resource/Ombla> <http://dbpedia.org/ontology/sourceMountain> <http://dbpedia.org/resource/Croatia> },3,1,1,0,0,2,0,5,1,0
10027,Was Ganymede discovered by Galileo Galilei ?,ASK WHERE { <http://dbpedia.org/resource/Ganymede_(moon)> <http://dbpedia.org/property/discoverer> <http://dbpedia.org/resource/Galileo_Galilei> },3,0,1,0,0,2,0,6,0,0
10028,Who is the producer of the song which is the previous work of He's a Liar ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/He's_a_Liar> <http://dbpedia.org/ontology/previousWork> ?x . ?x <http://dbpedia.org/ontology/producer> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Song>},4,2,0,0,1,1,1,16,0,0
10029,Who gave the voice for Allen Walker ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Allen_Walker> <http://dbpedia.org/ontology/voice> ?uri } ,2,1,0,0,1,1,0,7,1,0
10030,Who is associated to Publius Servilius Vatia Isauricus  and Marcus Calpurnius Bibulus ?,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/associate> <http://dbpedia.org/resource/Publius_Servilius_Vatia_Isauricus_(consul_48_BC)> . ?uri <http://dbpedia.org/ontology/associate> <http://dbpedia.org/resource/Marcus_Calpurnius_Bibulus> . },4,2,0,0,1,2,0,12,1,0
10031,Which country has given citizenship to both saima chowdhury and edmund john ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Saima_Chowdhury> <http://dbpedia.org/ontology/citizenship> ?uri. <http://dbpedia.org/resource/Edmund_John> <http://dbpedia.org/ontology/citizenship> ?uri . },4,2,0,0,1,2,0,12,0,0
10032,Who is the person that first ascented the Cathedral Peak and Mount Hoffmann ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cathedral_Peak_(California)> <http://dbpedia.org/ontology/firstAscentPerson> ?uri. <http://dbpedia.org/resource/Mount_Hoffmann> <http://dbpedia.org/ontology/firstAscentPerson> ?uri . },4,2,0,0,1,2,0,13,0,0
10033,What university campuses are situated in Indiana ?,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/campus> <http://dbpedia.org/resource/Indiana>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/University>},3,1,0,0,1,1,1,7,1,1
10034,Where is the swedish covenant hospital ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Swedish_Covenant_Hospital> <http://dbpedia.org/ontology/location> ?uri } ,2,1,0,0,1,1,0,6,1,1
10035,Which composer of Girl from the North Country is the subsequent work of the Moondog Matinee ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Girl_from_the_North_Country> <http://dbpedia.org/ontology/composer> ?uri. <http://dbpedia.org/resource/Moondog_Matinee> <http://dbpedia.org/ontology/subsequentWork> ?uri} ,4,2,0,0,1,2,0,16,0,0
10036,Name the members of  boards of Freedom of the City and Trinity House ?,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/board> <http://dbpedia.org/resource/Freedom_of_the_City> . ?uri <http://dbpedia.org/ontology/board> <http://dbpedia.org/resource/Trinity_House> . },4,2,0,0,1,2,0,13,1,0
10037,Was Reza Amrollahi born in Iran ?,ASK WHERE { <http://dbpedia.org/resource/Reza_Amrollahi> <http://dbpedia.org/property/birthplace> <http://dbpedia.org/resource/Iran> },3,0,1,0,0,2,0,6,0,0
10038,In which war did Roh Tae Woo and Lee Leffingwell fight ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Roh_Tae-woo> <http://dbpedia.org/ontology/battle> ?uri. <http://dbpedia.org/resource/Lee_Leffingwell> <http://dbpedia.org/ontology/battle> ?uri . },4,2,0,0,1,2,0,11,0,0
10039,What can be cooked out of things belonging to the order Sapindales ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/order> <http://dbpedia.org/resource/Sapindales> . ?uri <http://dbpedia.org/ontology/ingredient> ?x  . },3,2,0,0,1,1,0,12,0,0.9868421053
10040,How many  TV shows were made by someone who was associated with Lewis Hamilton ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/associatedBand> <http://dbpedia.org/resource/Lewis_Hamilton> . ?uri <http://dbpedia.org/property/creator> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>},4,1,0,1,0,1,1,14,0,0
10041,Name the alma mater of Michael hahn ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Michael_Hahn> <http://dbpedia.org/ontology/almaMater> ?uri } ,2,1,0,0,1,1,0,7,1,1
10042,How many party leaders are there whose parties are headquartered in Berlin ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/headquarter> <http://dbpedia.org/resource/Berlin> . ?x <http://dbpedia.org/ontology/leader> ?uri  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician>},4,2,0,1,0,1,1,12,0,0
10043,How many total religions are followed by people whose hometown is somewhere in India ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/hometown> <http://dbpedia.org/resource/India> . ?x <http://dbpedia.org/property/religion> ?uri  . },3,1,0,1,0,1,0,14,0,0
10044,Did Gwo Ka originate in Western Africa ?,ASK WHERE { <http://dbpedia.org/resource/Gwo_ka> <http://dbpedia.org/property/stylisticOrigins> <http://dbpedia.org/resource/West_Africa> },3,0,1,0,0,2,0,7,0,0
10045,Give me the total number of commander of the military conflicts whose commander is Roundhead (Wyandot). ?, SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/commander> <http://dbpedia.org/resource/Roundhead_(Wyandot)> . ?x <http://dbpedia.org/ontology/commander> ?uri },3,1,0,0,1,1,0,16,0,0
10046,Which country's leader is David Johnston ?,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/leader> <http://dbpedia.org/resource/David_Johnston>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>},3,1,0,0,1,1,1,6,1,1
10047,How many factions have fought in wars where Francois Marie Le Marchand de Lignery was involved ?,SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/François-Marie_Le_Marchand_de_Lignery> <http://dbpedia.org/ontology/battle> ?x . ?x <http://dbpedia.org/property/combatant> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryConflict>},4,1,0,1,0,1,1,16,0,0
10048,Where was Antonio Giannini born ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Antonio_Giannini> <http://dbpedia.org/ontology/birthPlace> ?uri } ,2,1,0,0,1,1,0,5,1,1
10049,Where was David Scherman trained ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/David_Scherman> <http://dbpedia.org/ontology/training> ?uri } ,2,1,0,0,1,1,0,5,1,1
10050,What religions do politicians in the Korean Minjoo Party follow ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/party> <http://dbpedia.org/resource/Minjoo_Party_of_Korea> . ?x <http://dbpedia.org/ontology/religion> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>},4,2,0,0,1,1,1,10,1,0
10051,Give me the total number of employer of the engineers whose one of the employer is McDonnell Aircraft ?, SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/employer> <http://dbpedia.org/resource/McDonnell_Aircraft> . ?x <http://dbpedia.org/ontology/employer> ?uri },3,2,0,0,1,1,0,18,0,0
10052,"What were the major actions taken by the politicians living in Gales Ferry, Connecticut ?","SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/residence> <http://dbpedia.org/resource/Gales_Ferry,_Connecticut> . ?x <http://dbpedia.org/ontology/battle> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Politician>}",4,2,0,0,1,1,1,14,0,0
10053,"Where was Live in Detroit, MI recorded ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Live_in_Detroit,_MI> <http://dbpedia.org/ontology/recordedIn> ?uri } ",2,1,0,0,1,1,0,7,0,0
10054,who all have been a manager of english under twenty one football team ?, SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/managerclubs> <http://dbpedia.org/resource/England_national_under-21_football_team> } ,2,0,0,0,1,1,0,13,0,1
10055,What awards have been won by the executive producer of Timmy Time ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Timmy_Time> <http://dbpedia.org/ontology/executiveProducer> ?x . ?x <http://dbpedia.org/ontology/award> ?uri  . },3,2,0,0,1,1,0,12,1,0.6666666667
10056,"Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium. ?","SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/ground> <http://dbpedia.org/resource/Rosario,_Santa_Fe> . ?uri <http://dbpedia.org/property/youthclubs> ?x  . }",3,0,0,1,0,1,0,16,0,0
10057,What are some families of mammals in the animal kingdom ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/kingdom> <http://dbpedia.org/resource/Animal> . ?x <http://dbpedia.org/ontology/family> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mammal>},4,2,0,0,1,1,1,10,1,0
10058,Count all the different purposes followed by the different NGOs. ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/type> <http://dbpedia.org/resource/Non-governmental_organization> . ?x <http://dbpedia.org/property/purpose> ?uri  . },3,0,0,1,0,1,0,10,0,0
10059,How many things are crossed over by bridges which can carry cars ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/carries> <http://dbpedia.org/resource/Motor_vehicle> . ?x <http://dbpedia.org/property/crosses> ?uri  . },3,0,0,1,0,1,0,12,0,0
10060,Did Steve Sampson manage a club of Santa Clara university ?,ASK WHERE { <http://dbpedia.org/resource/Steve_Sampson> <http://dbpedia.org/ontology/managerClub> <http://dbpedia.org/resource/Santa_Clara_University> },3,1,1,0,0,2,0,10,1,0
10061,List all the layouts of the automobile whose one of the layout is four-wheel-drive layout ?,"SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/layout> <http://dbpedia.org/resource/Front-engine,_four-wheel-drive_layout> . ?x <http://dbpedia.org/ontology/layout> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Automobile>}",4,2,0,0,1,1,1,15,0,0
10062,In which time zone is Pong Pha ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pong_Pha> <http://dbpedia.org/ontology/timeZone> ?uri } ,2,1,0,0,1,1,0,7,1,1
10063,What is the alma mater of the Angela Trusty and Charles Ayres ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Angela_Trusty> <http://dbpedia.org/ontology/almaMater> ?uri. <http://dbpedia.org/resource/Charles_Ayres> <http://dbpedia.org/ontology/almaMater> ?uri . },4,2,0,0,1,2,0,12,0,0
10064,How many rivers start in an English speaking country ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/officialLanguage> <http://dbpedia.org/resource/English_language> . ?uri <http://dbpedia.org/ontology/sourceCountry> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>},4,2,0,1,0,1,1,9,0,0
10065,Where are Aureus and Solidus used as currency ?,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/currency> <http://dbpedia.org/resource/Aureus> . ?uri <http://dbpedia.org/ontology/currency> <http://dbpedia.org/resource/Solidus_(coin)> . },4,2,0,0,1,2,0,8,1,0
10066,Is the chestnut white bellied rat a mammal ?,ASK WHERE { <http://dbpedia.org/resource/Chestnut_white-bellied_rat> <http://dbpedia.org/ontology/class> <http://dbpedia.org/resource/Mammal> },3,1,1,0,0,2,0,8,1,0
10067,Was Tim Gunn a guest on The Broken Code ?,ASK WHERE { <http://dbpedia.org/resource/The_Broken_Code> <http://dbpedia.org/property/guests> <http://dbpedia.org/resource/Tim_Gunn> },3,0,1,0,0,2,0,9,0,0
10068,In how many nations can I find dishes made of Shallot ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/ingredient> <http://dbpedia.org/resource/Shallot> . ?x <http://dbpedia.org/ontology/country> ?uri  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>},4,2,0,0,1,1,1,11,0,0
10069,What system is both a platform where Nord runs and also distributed The beauty inside ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Nord_(video_game)> <http://dbpedia.org/ontology/computingPlatform> ?uri. <http://dbpedia.org/resource/The_Beauty_Inside> <http://dbpedia.org/ontology/distributor> ?uri . },4,2,0,0,1,2,0,15,0,0
10070,Is Tirana the largest city of Albania ?,ASK WHERE { <http://dbpedia.org/resource/Albania> <http://dbpedia.org/property/largestCity> <http://dbpedia.org/resource/Tirana> },3,0,1,0,0,2,0,7,0,0
10071,what are some common games played at both Fr Agnel Multipurpose School and Vishwajyot High School ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fr._Agnel_Multipurpose_School_and_Junior_College> <http://dbpedia.org/ontology/sport> ?uri. <http://dbpedia.org/resource/Vishwajyot_High_School> <http://dbpedia.org/ontology/sport> ?uri . },4,2,0,0,1,2,0,16,0,0
10072,Who were all the people in office when bob hawke was the PM ?, SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/primeMinister> <http://dbpedia.org/resource/Bob_Hawke> } ,2,1,0,0,1,1,0,13,0,1
10073,Which sports are played at institues in Taguig ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Taguig> . ?x <http://dbpedia.org/ontology/sport> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/EducationalInstitution>},4,2,0,0,1,1,1,8,1,0
10074,Raymond Johansen is the mayor of what city ?,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/leaderName> <http://dbpedia.org/resource/Raymond_Johansen>  . },2,1,0,0,1,1,0,8,0,1
10075,What is the nation of the speedway league where Ikaros Smederna played ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ikaros_Smederna> <http://dbpedia.org/ontology/league> ?x . ?x <http://dbpedia.org/ontology/country> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/SpeedwayLeague>},4,2,0,0,1,1,1,12,0,0
10076,What are the kind of games one can play on windows ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/computingPlatform> <http://dbpedia.org/resource/Microsoft_Windows> . ?x <http://dbpedia.org/ontology/genre> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/VideoGame>},4,2,0,0,1,1,1,11,1,0
10077,Count the number of sports played by schools which play hockey ?, SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/sport> <http://dbpedia.org/resource/Hockey> . ?x <http://dbpedia.org/ontology/sport> ?uri },3,2,0,1,0,1,0,11,0,0
10078,What is the common school of Chris Marve and Neria Douglass ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chris_Marve> <http://dbpedia.org/ontology/school> ?uri. <http://dbpedia.org/resource/Neria_Douglass> <http://dbpedia.org/ontology/almaMater> ?uri} ,4,2,0,0,1,2,0,11,0,0
10079,What relegious affiliation of Josiah Idowu-Fearon was canonized by john of Damasucs ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_of_Damascus> <http://dbpedia.org/ontology/canonizedBy> ?uri. <http://dbpedia.org/resource/Josiah_Idowu-Fearon> <http://dbpedia.org/ontology/religion> ?uri} ,4,2,0,0,1,2,0,12,0,0
10080,Rivers from which countries flow into the Caspian ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/riverMouth> <http://dbpedia.org/resource/Caspian_Sea> . ?x <http://dbpedia.org/ontology/sourceCountry> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>},4,2,0,0,1,1,1,8,1,0
10081,"Name the military unit whose garrison is Arlington County, Virginia and command structure is United States Department of Defense ?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/garrison> <http://dbpedia.org/resource/Arlington_County,_Virginia> . ?uri <http://dbpedia.org/ontology/commandStructure> <http://dbpedia.org/resource/United_States_Department_of_Defense>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryUnit>}",5,2,0,0,1,2,1,19,0,0
10082,what are some devices made by asus ?,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/manufacturer> <http://dbpedia.org/resource/Asus>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/InformationAppliance>},3,1,0,0,1,1,1,7,1,1
10083,Count the number of people who graduated from universities affiliated with the NCAA. ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/ontology/athletics> <http://dbpedia.org/resource/National_Collegiate_Athletic_Association> . ?uri <http://dbpedia.org/property/education> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>},4,1,0,1,0,1,1,13,0,0
10084,Is Queen Latifah associated with Afrika Baby Bam ?,ASK WHERE { <http://dbpedia.org/resource/Afrika_Baby_Bam> <http://dbpedia.org/ontology/associatedBand> <http://dbpedia.org/resource/Queen_Latifah> },3,1,1,0,0,2,0,8,1,0
10085,Count all that was built by a company whose leader is Kazuo Hirai ?,SELECT DISTINCT COUNT(?uri) WHERE { ?x <http://dbpedia.org/property/keyPeople> <http://dbpedia.org/resource/Kazuo_Hirai> . ?uri <http://dbpedia.org/ontology/manufacturer> ?x  . },3,1,0,1,0,1,0,13,1,0
10086,What is the largest city in the country where the San Marcos River originates ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/San_Marcos_River> <http://dbpedia.org/ontology/sourceMountain> ?x . ?x <http://dbpedia.org/ontology/largestCity> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>},4,2,0,0,1,1,1,14,0,0
10087,Give a list of all the labels that have jazz fusion artists signed up with them ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/genre> <http://dbpedia.org/resource/Jazz_fusion> . ?x <http://dbpedia.org/ontology/recordLabel> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MusicalArtist>},4,2,0,0,1,1,1,16,1,0
10088,Name the major shrine of Bogumilus ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bogumilus> <http://dbpedia.org/ontology/majorShrine> ?uri } ,2,1,0,0,1,1,0,6,1,1
10089,List the religion of people in the Cambodian human rights party ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/otherParty> <http://dbpedia.org/resource/Human_Rights_Party_(Cambodia)> . ?x <http://dbpedia.org/ontology/religion> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>},4,2,0,0,1,1,1,11,1,0
