,QuestionID,Question,Label1,Label2,Dbpedia-Relation,RelationTotal,wordCountWithput@@@,Word Count(Avg),Explicit(Avg),Hidden(Avg),Common,relnliodLogs,qanary_component-DiambiguationProperty-OKBQA,qanary_component-AnnotationofSpotProperty,K-cap,isiah
104,10122,Which musical band produced the subsequent work of City of New Orleans ?,used in,territories,"http://dbpedia.org/ontology/usedInWar,http://dbpedia.org/ontology/territory",2,1.5,1.5,0.0,0.0,0,0.0,0.0,0.0,0,0
113,10133,What railway lines go through the stations maintained by Western Australian Public Transport Authority ?,edited by,0.0,http://dbpedia.org/ontology/writer,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
120,10143,How many genres of games can I find on the commodore CDTV ?,speak,currencies,"http://dbpedia.org/ontology/officialLanguage,http://dbpedia.org/ontology/currency",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
123,10146,Who are the politicians whose death place is Ontario ?,language,language,http://dbpedia.org/ontology/languageFamily,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
124,10148,Does the US route 281 have a junction at San Antonio ?,team,0.0,http://dbpedia.org/ontology/team,1,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0
125,10149,Name the company whose one of the product is Pixar Image Computer and has one of the key person as Edwin Catmull ?,carry,maintainer,http://dbpedia.org/ontology/maintainedBy,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
126,10150,Give me a count of royalties buried in Rome ?,@@@,0.0,http://dbpedia.org/ontology/field,1,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0
128,10152,Which executive producer of the ultimate merger is also an important person at Trump Productions ?,biggest town,archipelago,http://dbpedia.org/ontology/largestCity,1,3.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0
136,10163,Did Henry Ford design the Model C ?,river,river,"http://dbpedia.org/ontology/riverMouth,http://dbpedia.org/ontology/riverMouth",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
144,10172,"What political party has governed both in Baraily,MP and Jowai ?",genres,produced,http://dbpedia.org/ontology/developer,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
145,10173,Which officers fought in the war of Siege of Fort Recovery ?,@@@,source place,"http://dbpedia.org/ontology/city,http://dbpedia.org/ontology/sourcePlace",2,1.0,1.5,0.5,0.5,0,0.0,0.0,0.0,0,0
147,10175,Was Duanne Allman known to play the Les Paul ?,@@@,came before,"http://dbpedia.org/ontology/automobilePlatform,http://dbpedia.org/ontology/predecessor",2,1.0,1.5,0.0,0.5,0,0.0,0.0,0.0,0,0
149,10177,How many maintainers are there of the bridges that can carry motor vehicles over them ?,language family,speaks,http://dbpedia.org/ontology/languageFamily,1,3.0,3.0,1.0,0.0,0,0.0,0.0,0.0,0,0
150,10178,What is Jon Speelman famous for ?,@@@,spouses,"http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/ontology/spouse",2,0.5,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0
151,10179,What city is the residence of Cheryl Teigs ?,made ,written by,"http://dbpedia.org/ontology/notableWork,http://dbpedia.org/ontology/author",2,1.5,1.5,0.0,0.0,0,0.0,0.0,0.0,0,0
155,10184,Eric roth wrote how many screenplays ?,garrison,0.0,http://dbpedia.org/ontology/garrison,1,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0
157,10186,Who are the opponents of Gervase Helwys ?,speaking,located in,"http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/location",2,1.5,1.5,0.0,0.0,0,0.0,0.0,0.0,0,0
158,10187,With whom is Heinz Kokott a relative to who also served Nazi Army ?,famous ,0.0,"http://dbpedia.org/ontology/nationality,http://dbpedia.org/ontology/knownFor",2,0.5,0.5,0.0,0.0,0,0.0,0.0,0.0,0,0
159,10189,Which magazine's publisher is Jann Wenner and founded by Ralph J. Gleason ?,@@@,0.0,http://dbpedia.org/ontology/college,1,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0
160,10190,Which television show's network  is BBC HD and is related to Doctor Who Confidential ?,start in,0.0,http://dbpedia.org/ontology/sourceRegion,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
162,10192,What is the magazine which have been  founded by Ralph J. Gleason ?,@@@,religion,"http://dbpedia.org/ontology/militaryBranch,http://dbpedia.org/ontology/religion",2,0.5,1.0,0.5,0.5,0,0.0,0.0,0.0,0,0
166,10198,Does Mr. Jim's Pizza operate in the pizza industry ?,situated,0.0,http://dbpedia.org/ontology/headquarter,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
170,10202,How many sports are played in organizations presided by Emanuel de Guzman ?,developer,hear,"http://dbpedia.org/ontology/voice,http://dbpedia.org/ontology/developer",2,1.0,1.0,0.5,0.0,0,0.0,0.0,0.0,0,0
174,10206,Who was in conflicts of Fort Barrancas and Gadsden ?,languages,live in,http://dbpedia.org/ontology/language,1,3.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0
177,10209,Count all the ethinic group who speaks language which belongs to Anglo-Frisian language family ?,places,places,http://dbpedia.org/ontology/deathPlace,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
185,10219,List all the co-founders of the non for profit which have founding member as David pressman ?,former,team,http://dbpedia.org/ontology/formerTeam,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
189,10223,How many golf players are there in Arizona State Sun Devils ?,founder,0.0,http://dbpedia.org/ontology/founder,1,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0
191,10225,"What country is Jeffrey Werleman from, which also has the American Mediterranean Sea ?",former,former,"http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/ontology/formerTeam",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
192,10227,The Prime minister who worked in the Khmer Issarak follows which religion ?,head office,places,http://dbpedia.org/ontology/headquarter,1,3.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0
194,10229,Is Tea the main ingredient of Lahpet ?,@@@,live,"http://dbpedia.org/ontology/knownFor,http://dbpedia.org/ontology/residence",2,0.5,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0
196,10232,How many destinations are covered by the airlines which also serves Europe ?,assembled,0.0,http://dbpedia.org/ontology/assembly,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
197,10234,How many famous people are born in Long Island ?,shrines,shrine,"http://dbpedia.org/ontology/majorShrine,http://dbpedia.org/ontology/majorShrine",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
202,10240,How many developers have games where I can hear Lightning McQueen ?,@@@,@@@,"http://dbpedia.org/ontology/militaryRank,http://dbpedia.org/ontology/almaMater",2,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0
204,10243,Does Caroline Augusta Foley Rhys Davids study Buddhism ?,@@@,0.0,http://dbpedia.org/ontology/ground,1,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0
207,10248,What are some fictional characters whose voice is in the peanuts movie ?,@@@,written,http://dbpedia.org/ontology/network,1,1.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0,0
210,10251,List the stadium of the teams which uses Nea Smyrni  as one of the stadium ?,start in,0.0,http://dbpedia.org/ontology/sourceMountain,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
211,10252,How many companies are located in Toronto ?,@@@,manufacturers,"http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/manufacturer",2,0.5,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0
212,10253,Who is a successor of Kingship whose parents were Julius Caesar ?,relative,0.0,http://dbpedia.org/ontology/relative,1,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0
214,10255,How many people have voiced characters sculpted by Clamp ?,government type,0.0,http://dbpedia.org/ontology/governmentType,1,2.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,0
215,10256,What team has  players  born in Dominican Republic ?,subsequent work,developed by,"http://dbpedia.org/ontology/subsequentWork,http://dbpedia.org/ontology/developer",2,2.0,2.0,0.5,0.0,0,0.0,0.0,0.0,0,0
216,10258,Was Derg the anthem of Ethopia ?,@@@,0.0,http://dbpedia.org/ontology/foundedBy,1,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0
219,10261,For how many other teams have the former players of Boston Bruins played ?,@@@,0.0,http://dbpedia.org/ontology/literaryGenre,1,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0
221,10265,Who is the author of Karakuri Dji Ultimo ?,homeport,0.0,http://dbpedia.org/ontology/homeport,1,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0
227,10271,"To how many places does the airlines fly, whose head office is located at the Gatwick Airport ?",capital,located,"http://dbpedia.org/ontology/region,http://dbpedia.org/ontology/countySeat",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
229,10273,Where do current famous NatGeo photographers live ?,direct,0.0,http://dbpedia.org/ontology/director,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
231,10276,How many different layouts do cars designed by Oliver Boulay have ?,@@@,0.0,http://dbpedia.org/ontology/industry,1,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0
234,10280,List the shrines of the saint whose one of the shrine is Ponza ?,jurisdiction of,located in,http://dbpedia.org/ontology/leaderName,1,4.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0,0
235,10281,Who died due to Morphine ?,railway line,0.0,"http://dbpedia.org/ontology/type,http://dbpedia.org/ontology/servingRailwayLine",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
237,10283,How many people were opponents of the ones buried in the tower of London ?,originating ,0.0,http://dbpedia.org/ontology/hometown,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
239,10285,Name the species of Southwest African lion ?,teams,team,"http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/ontology/team",2,1.0,1.0,0.5,0.0,0,0.0,0.0,0.0,0,0
245,10292,Is Mike Babcock the head coach of Toronto Maple Leafs ?,commander,500000,"http://dbpedia.org/ontology/commander,http://dbpedia.org/ontology/commander",2,1.0,1.0,0.5,0.0,1,0.0,0.0,0.0,0,0
248,10295,How many people have written stuff broadcasted on the Tokyo Broadcasting System ?,@@@,religions,http://dbpedia.org/ontology/profession,1,1.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0,0
251,10298,"Does the St lawrence river start in Kingston, Ontario ?",founded by,0.0,http://dbpedia.org/ontology/foundedBy,1,2.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,0
252,10299,Give me an estimate of the number of manufacturers whose products are managed by MTR ?,part,founded,"http://dbpedia.org/ontology/part,http://dbpedia.org/ontology/foundationPlace",2,1.0,1.0,0.5,0.0,0,0.0,0.0,0.0,0,0
253,10302,Who is the fictional character whose relative is Vestigial Peter ?,creators,creators,"http://dbpedia.org/ontology/creator,http://dbpedia.org/ontology/creator",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
255,10305,What type of government is elected in Kumta ?,doctoral student,0.0,http://dbpedia.org/ontology/doctoralStudent,1,2.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,0
256,10306,What is the television show whose subsequent work is Crusade (TV series) and developed by  J. Michael Straczynski ?,founded,0.0,http://dbpedia.org/ontology/foundedBy,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
262,10312,Does the Westchester Avenue fall under the Bronx ?,governed by,city,http://dbpedia.org/ontology/leaderName,1,3.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0
263,10313,Count the total number of software whose programming language is C++ and operating system is Microsoft Windows ?,in,0.0,http://dbpedia.org/ontology/musicalArtist,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
266,10316,Which company owns Evraz ?,speaking,originating ,"http://dbpedia.org/ontology/officialLanguage,http://dbpedia.org/ontology/sourceCountry",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
269,10319,Is michelangelo the painter of The Persian Boy ?,hosted,@@@,http://dbpedia.org/ontology/tenant,1,1.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0,0
273,10326,How many movies did Joel Schumacher direct ?,flow in,0.0,http://dbpedia.org/ontology/mouthMountain,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
276,10329,Is Compaq a software company ?,@@@,state,"http://dbpedia.org/ontology/religion,http://dbpedia.org/ontology/stateOfOrigin",2,0.5,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0
277,10330,How many owners are there of things located in Alabama ?,ceremonial county,0.0,http://dbpedia.org/ontology/ceremonialCounty,1,2.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,0
279,10332,How many cities are around the sea into which the aegean sea flows ?,said as,@@@,"http://dbpedia.org/ontology/genre,http://dbpedia.org/ontology/genre",2,1.0,1.5,0.0,0.5,0,0.0,0.0,0.0,0,0
280,10334,How many buildings are located in the jurisdiction of John Tory ?,@@@,published,"http://dbpedia.org/ontology/location,http://dbpedia.org/ontology/publisher",2,0.5,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0
281,10335,Which railway line goes through the stations which are a part of the North Caucasus railway ?,@@@,0.0,http://dbpedia.org/ontology/species,1,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0
285,10341,How many teams have LA kings players in them currently ?,bred,race,http://dbpedia.org/ontology/breeder,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
290,10347,Who are the associate musical artists of Dalma Kovcs ?,originate,0.0,"http://dbpedia.org/ontology/species,http://dbpedia.org/ontology/origin",2,0.5,0.5,0.0,0.0,0,0.0,0.0,0.0,0,0
291,10348,Does the Vadodara Railway station lie at the end of the Mathura Vadodara route ?,government type,@@@,"http://dbpedia.org/ontology/governmentType,http://dbpedia.org/ontology/country",2,1.0,1.5,0.5,0.5,0,0.0,0.0,0.0,0,0
293,10351,What is the commander of Battle of Brownstown ?,directed by,0.0,http://dbpedia.org/ontology/director,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
294,10352,What religion's politicians are in the Malaysian Chinese association ?,@@@,@@@,http://dbpedia.org/ontology/destination,2,1.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0,0
300,10358,How many ?,directed by,0.0,http://dbpedia.org/ontology/director,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
302,10360,Count the number of shows whose creators are Jerry Seinfeld and Larry David ?,located,0.0,http://dbpedia.org/ontology/birthPlace,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
303,10361,How many broadcast area of the television stations exists whose broadcast area is Rodrigues ?,region serve,0.0,http://dbpedia.org/ontology/regionServed,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
304,10362,Which wine region of Bogdanua is the mouth country of Upper Neretva ?,wrote,0.0,http://dbpedia.org/ontology/musicBy,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
306,10365,Who founded the Not on our Watch NGO ?,@@@,started in,http://dbpedia.org/ontology/foundationPlace,1,2.0,3.0,0.0,1.0,0,0.0,0.0,0.0,0,0
307,10366,Who first ascented a mountain of Mount Hoffmann ?,jurisdiction,leader,"http://dbpedia.org/ontology/jurisdiction,http://dbpedia.org/ontology/leader",2,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0
310,10369,Who are the former partners of the figure skaters whose performance have been choreographed by Catarina Lindgren in the past ?,made,0.0,http://dbpedia.org/ontology/creator,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
313,10373,Did Hank Williams Jr. make Early in the Morning and Late at Night ?,played on ,kinds of,http://dbpedia.org/ontology/computingPlatform,1,4.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0,0
316,10377,Name the rivers originating from an English speaking nation ?,successor,state,http://dbpedia.org/ontology/successor,1,2.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,0
327,10390,Which educational institution of Jack Mcgregor is also the alma mater of Donn barber ?,president,rebellion,http://dbpedia.org/ontology/battle,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
330,10394,List the ceremonial county of East Tilbury ?,winners,own,http://dbpedia.org/ontology/owner,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
332,10397,Which board game can be said as a mind based game ?,presenter,0.0,http://dbpedia.org/ontology/channel,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
335,10400,How many fictional characters were humans ?,worked for,produced,http://dbpedia.org/ontology/producer,1,3.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0
347,10413,Where did the Vitis Vinifera grapes originate ?,railway lines,@@@,"http://dbpedia.org/ontology/owningOrganisation,http://dbpedia.org/ontology/servingRailwayLine",2,1.0,1.5,0.0,0.5,0,0.0,0.0,0.0,0,0
349,10415,Which technological products were manufactured by Foxconn ?,units,0.0,http://dbpedia.org/ontology/commandStructure,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
350,10416,Does Gibby Haynes play the saxophone ?,employed,0.0,"http://dbpedia.org/ontology/occupation,http://dbpedia.org/ontology/knownFor",2,0.5,0.5,0.0,0.0,0,0.0,0.0,0.0,0,0
351,10417,List the movies directed by Stanley Kubrick ?,administrative center,0.0,http://dbpedia.org/ontology/capital,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
353,10420,How many first drivers have participated when Scuderia Ferrari was a first team ?,beatified by,major shrine,http://dbpedia.org/ontology/majorShrine,1,4.0,4.0,1.0,0.0,0,0.0,0.0,0.0,0,0
358,10425,What are the movies directed by Joel Schumacher ?,team,team,"http://dbpedia.org/ontology/debutTeam,http://dbpedia.org/ontology/team",2,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0
359,10426,How many wars took place in Israel ?,country,country,"http://dbpedia.org/ontology/county,http://dbpedia.org/ontology/country",2,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,0
363,10431,"Who was the opponent of Robert Carr, 1st Earl of Somerset ?",play,0.0,http://dbpedia.org/ontology/position,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
366,10434,List the leaders of the government agencies whose jurisdiction was German-occupied Europe. ?,influenced,influenced,"http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/ontology/influencedBy",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
375,10444,By which companies is RENFE Class 333 designed ?,originates,end,"http://dbpedia.org/ontology/sourcePlace,http://dbpedia.org/ontology/mouthCountry",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
380,10450,Who has written the mary poppins musical ?,former choreographer,former partner,"http://dbpedia.org/ontology/formerChoreographer,http://dbpedia.org/ontology/formerPartner",2,2.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,0
385,10457,What sports can be played in Kharghar's schools ?,central processing unit,0.0,http://dbpedia.org/ontology/cpu,1,3.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0
389,10465,Name the serving line of Daund Junction railway station ?,flow into,0.0,http://dbpedia.org/ontology/leftTributary,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
392,10468,Who are the people who influenced the writers of Evenor ?,band,0.0,http://dbpedia.org/ontology/bandMember,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
398,10475,What is the television show whose executive producer is Douglas Netter ?,local authoroties,gender,"http://dbpedia.org/ontology/gender,http://dbpedia.org/ontology/localAuthority",2,1.5,1.5,0.5,0.0,0,0.0,0.0,0.0,0,0
399,10476,Whihc alma mater of angela Trusty is also the training center of David Scherman ?,@@@,0.0,http://dbpedia.org/ontology/family,1,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0,0
402,10480,Who is the spouse of Willian Menalaus ?,editor,0.0,http://dbpedia.org/ontology/editing,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
403,10482,Is Joe Schilling the trainer of Nick Diaz ?,study,0.0,http://dbpedia.org/ontology/institution,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
404,10483,Is James Hetfield a band member of Metallica ?,genre,genre,"http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/ontology/programmeFormat",2,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
409,10490,What novels are belong to the genre of Utopian and dystopian fiction ?,line,countries,http://dbpedia.org/ontology/country,1,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0
411,10493,What is the home ground of the clubs managed by Ciao Zanardi ?,originate,0.0,http://dbpedia.org/ontology/sourcePlace,1,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0
415,10499,what are some units udner the US department of navy ?,directed,@@@,"http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/director",2,0.5,1.0,0.0,0.5,0,0.0,0.0,0.0,0,0
