,QuestionID,Question,TripleSize,RelationTotal,ResourceTotal,ClassTotal,QuestionLength,Resources,WordCountEntity1,AvgWordCount,Special Character,Explicit E1,Explicit E1 and E2,Capital/Small Letters E1,Capital letter E1 and E2,aylienNERagdistis,tagmeNEDlogs,DBpediaNERAgdistis3252,ambiverseNEDlogs,meaningcloudAgdistis,qanary_logs_DBpediaSpotlightNED,meaningCloudNEDnew,textrazorAgdistis,dandiNERAgdistisFINAL,dandilionNEDlogs,OntotextNEDlogs,babelfyAgdistis3000,ambiverseAgdistis,tagmeAgdistis,EntityClassifier_NER_Agdistis,newBabelfyNEDlogs,stanfordAgdistis,ontotextAgdistis,AmbiverseNED 2.0,AmbiverseStanford 2.0
137,10137.0,How many people are known for Dragons' Den ?,2.0,1.0,1.0,0.0,8.0,http://dbpedia.org/resource/Dragons'_Den_(UK_TV_series),2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,10148.0,For which other teams do members of tanzanian national football team play ?,3.0,1.0,1.0,0.0,12.0,http://dbpedia.org/resource/Tanzania_national_football_team,0.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,10151.0,What city is the residence of Cheryl Teigs ?,2.0,1.0,1.0,0.0,8.0,http://dbpedia.org/resource/Cheryl_Tiegs,2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,10175.0,What are some cars which came before the ones on a GM B base ?,4.0,2.0,1.0,1.0,14.0,http://dbpedia.org/resource/GM_B_platform,2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,10186.0,how many companies are located in a spanish speaking region ?,4.0,2.0,1.0,1.0,10.0,http://dbpedia.org/resource/Spanish_language,1.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,10193.0,Who coached the marquet golden eagels during 2013 ?,2.0,1.0,1.0,0.0,8.0,http://dbpedia.org/resource/2013–14_Marquette_Golden_Eagles_men's_basketball_team,5.0,0.0,0.5,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,10209.0,In how many places have Irishmen died ?,4.0,1.0,1.0,1.0,7.0,http://dbpedia.org/resource/Ireland,1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,10229.0,Where do current famous NatGeo photographers live ?,4.0,2.0,1.0,1.0,7.0,http://dbpedia.org/resource/National_Geographic_(magazine),1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,10230.0,How many awards have been given to Italians ?,3.0,0.0,1.0,0.0,8.0,http://dbpedia.org/resource/Italy,1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,10243.0,Where did Fort Lauderdale Strikers season of 16 take place ?,2.0,1.0,1.0,0.0,10.0,http://dbpedia.org/resource/2016_Fort_Lauderdale_Strikers_season,6.0,0.0,0.5,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,10282.0,Whose doctoral student is etienne bieler\xc9tienne_Bi\xe9ler ?,2.0,1.0,0.0,0.0,6.0,http://dbpedia.org/resource/Étienne_Biéler,2.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,10288.0,What are some other great things by the person who produced Queer as Folk ?,4.0,1.0,1.0,1.0,14.0,http://dbpedia.org/resource/Queer_as_Folk_(UK_TV_series),3.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,10300.0,How many ?,2.0,0.0,1.0,0.0,2.0,http://dbpedia.org/resource/Chicago_Bulls,0.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,10324.0,Who was the bronze medalist of Swimming at the 2008 Summer Olympics  Men's 400 metre individual medley ?,2.0,1.0,1.0,0.0,17.0,http://dbpedia.org/resource/Swimming_at_the_2008_Summer_Olympics_–_Men's_400_metre_individual_medley,5.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,10339.0,Who wrote the frost king ?,2.0,1.0,1.0,0.0,5.0,http://dbpedia.org/resource/The_Frost_King,3.0,0.0,0.0,True,0.5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,10343.0,In how many regions is English American spoken ?,2.0,0.0,1.0,0.0,8.0,http://dbpedia.org/resource/English_Americans,2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357,10357.0,How many shows are made by the channel whose predecessor was the Comedy Channel ?,4.0,1.0,1.0,1.0,14.0,http://dbpedia.org/resource/The_Comedy_Channel_(United_States),3.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,10362.0,Who wrote The Times They Are a-Changin ?,2.0,1.0,1.0,0.0,7.0,http://dbpedia.org/resource/The_Times_They_Are_a-Changin'_(musical),5.0,0.0,0.5,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,10380.0,Who has written the mary poppins musical ?,2.0,1.0,1.0,0.0,7.0,http://dbpedia.org/resource/Mary_Poppins_(musical),2.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,10393.0,What are some movies written by British writers ?,4.0,2.0,1.0,1.0,8.0,http://dbpedia.org/resource/British_people,1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,10402.0,Who is the spouse of Willian Menalaus ?,2.0,1.0,1.0,0.0,7.0,http://dbpedia.org/resource/William_Menelaus,2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,10411.0,What is the home ground of the clubs managed by Ciao Zanardi ?,4.0,2.0,1.0,1.0,12.0,http://dbpedia.org/resource/Caio_Zanardi,2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,10412.0,Which people are known for appearing on the television show Dragon's Den ?,3.0,1.0,1.0,1.0,12.0,http://dbpedia.org/resource/Dragons'_Den_(UK_TV_series),4.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,10440.0,"What is the number of occupation of the people who died in tampa bay, florida ?",3.0,2.0,1.0,0.0,15.0,"http://dbpedia.org/resource/Tampa,_Florida",2.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,10450.0,List the former partner of the figure skaters whose former choreographer was Igor Shpillband. ?,4.0,2.0,1.0,1.0,14.0,http://dbpedia.org/resource/Igor_Shpillband,2.0,0.0,0.0,True,0.5,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,10460.0,Count the number of offices held by people who have their allegiances with the american civil war union ?,3.0,0.0,1.0,0.0,18.0,http://dbpedia.org/resource/Union_(American_Civil_War),1.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,10476.0,What are some apes ?,2.0,1.0,1.0,0.0,4.0,http://dbpedia.org/resource/Ape,1.0,0.0,0.0,True,0.5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,10477.0,What is the alma mater of the scientist who is known for Rational analysis ?,4.0,2.0,1.0,1.0,14.0,http://dbpedia.org/resource/Rational_analysis,2.0,0.0,0.0,True,0.5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,10490.0,In how many countries does the Zurich Affoltern am Albis Zug line go ?,4.0,1.0,1.0,1.0,13.0,http://dbpedia.org/resource/Zürich–Affoltern_am_Albis–Zug_railway_line,2.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,10499.0,Who directed the haunted house and alice in wonderland ?,4.0,2.0,2.0,0.0,9.0,"http://dbpedia.org/resource/Alice's_Wonderland,http://dbpedia.org/resource/The_Haunted_House_(1929_film)",0.0,2.5,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505,10505.0,In how many places can I find tombs of people who fought in the Norwalk Trainband ?,3.0,1.0,1.0,0.0,16.0,http://dbpedia.org/resource/Norwalk_Trainband,2.0,0.0,0.0,True,0.5,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,10506.0,Which movies' composers have won a BAFTA for film music ?,4.0,2.0,1.0,1.0,10.0,http://dbpedia.org/resource/BAFTA_Award_for_Best_Film_Music,4.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
533,10533.0,what are some common surnames of female people ?,2.0,0.0,1.0,0.0,8.0,http://dbpedia.org/resource/Female,1.0,0.0,0.0,True,0.5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
542,10542.0,Which wine region of Bogdanua is the Croatian Inline hockey team part of ?,4.0,2.0,2.0,0.0,13.0,"http://dbpedia.org/resource/Bogdanuša,http://dbpedia.org/resource/Croatian_Inline_Hockey_League",0.0,2.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,10544.0,Count the number of religions followed by Janta Dal members. ?,3.0,1.0,1.0,0.0,10.0,http://dbpedia.org/resource/Janata_Dal,2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
558,10558.0,From how many different places have people gone to the Harward Medical School ?,3.0,2.0,1.0,0.0,13.0,http://dbpedia.org/resource/Harvard_Medical_School,3.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
566,10566.0,Name the source Island of Bayou ?,2.0,1.0,1.0,0.0,6.0,http://dbpedia.org/resource/Island_Bayou_(Oklahoma),2.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,10591.0,What are the shows whose creator has worked as a screenwriter ?,4.0,2.0,1.0,1.0,11.0,http://dbpedia.org/resource/Screenwriting,1.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611,10611.0,How many sitcoms are there whose theme music is composed by a New Yorker ?,4.0,1.0,1.0,1.0,14.0,http://dbpedia.org/resource/New_York,2.0,0.0,0.0,True,0.5,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,10646.0,Who were the producers of the tenderfoot ?,2.0,1.0,1.0,0.0,7.0,http://dbpedia.org/resource/The_Tenderfoot_(miniseries),2.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
651,10651.0,Under which president did the predecessor of Simon Ferro work ?,3.0,2.0,1.0,0.0,10.0,http://dbpedia.org/resource/Simon_Ferro,2.0,0.0,0.0,True,0.5,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
672,10672.0,How many artists' works are in Muse d'Orsay ?,4.0,0.0,1.0,1.0,8.0,http://dbpedia.org/resource/Musée_d'Orsay,1.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677,10677.0,What are some given names for males ?,2.0,1.0,1.0,0.0,7.0,http://dbpedia.org/resource/Male,1.0,0.0,0.0,True,0.5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
681,10681.0,Chestnut colored horses have won which races ?,4.0,2.0,1.0,1.0,7.0,http://dbpedia.org/resource/Chestnut_(coat),1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
713,10713.0,Name all the venues of the convention which has also been hosted in San Diego Convention ?,3.0,0.0,1.0,0.0,16.0,http://dbpedia.org/resource/San_Diego_Convention_Center,3.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
719,10719.0,In how many different places can I fnd Modern Architectural buildings ?,3.0,0.0,1.0,0.0,11.0,http://dbpedia.org/resource/Modern_architecture,2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
723,10723.0,"Where did the president study, whose VP was Emilio Nez ?",3.0,2.0,1.0,0.0,10.0,http://dbpedia.org/resource/Emilio_Núñez,2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
725,10725.0,Which military commander fought his battle at Fort Gadsen ?,3.0,1.0,1.0,1.0,9.0,http://dbpedia.org/resource/Fort_Gadsden,2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
776,10776.0,"For how many movies have the music composer composed music, who have collaborated with Yes ?",4.0,2.0,1.0,1.0,15.0,http://dbpedia.org/resource/Yes_(band),1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,10800.0,List all binomial authority of the insects whose one of the  binomial authority is douard Mntries ?,3.0,2.0,0.0,0.0,16.0,http://dbpedia.org/resource/Édouard_Ménétries,2.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
807,10807.0,How many religions are followed amongst the people who've worked in the Korean army ?,3.0,2.0,1.0,0.0,14.0,http://dbpedia.org/resource/Republic_of_Korea_Army,1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
815,10815.0,What is the television show whose channel's parent organisation is Fox Sports ?,4.0,2.0,1.0,1.0,12.0,http://dbpedia.org/resource/Fox_Sports_(United_States),2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
864,10864.0,How many people have worked in the band one of whose current member is Hynief ?,4.0,1.0,1.0,1.0,15.0,http://dbpedia.org/resource/Hynief,1.0,0.0,0.0,True,0.5,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
907,10907.0,Which movies' music is composed by people associated with the band Yes ?,4.0,2.0,1.0,1.0,12.0,http://dbpedia.org/resource/Yes_(band),1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
909,10909.0,What famous work is derived from the one whose lyrics are written by Inma Gonzales ?,3.0,2.0,1.0,0.0,15.0,http://dbpedia.org/resource/Inma_González,0.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
949,10949.0,"What all are in the states whose anthem is Ja, vi esker dette landet ?",3.0,2.0,1.0,0.0,14.0,"http://dbpedia.org/resource/Ja,_vi_elsker_dette_landet",1.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
951,10951.0,Who owns the ford kansas assembly plant ?,2.0,1.0,1.0,0.0,7.0,http://dbpedia.org/resource/Ford_Kansas_City_Assembly_Plant,4.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
955,10955.0,Name the source of Raa ?,2.0,1.0,1.0,0.0,5.0,http://dbpedia.org/resource/Raša_(river),0.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1022,11022.0,Where Everybody knows you is the theme album of which show ?,2.0,1.0,1.0,0.0,11.0,http://dbpedia.org/resource/Where_Everybody_Knows_Your_Name,3.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1033,11033.0,Give me a count of the services by the company which provides Data center as the services ?,3.0,0.0,1.0,0.0,17.0,http://dbpedia.org/resource/Data_center_services,2.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1075,11075.0,Where has GARAGE recorded its singles ?,4.0,2.0,1.0,1.0,6.0,http://dbpedia.org/resource/Garbage_(band),0.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1096,11096.0,Count the number of broadcast area of the TV stations which serves in Agalga ?,3.0,1.0,1.0,0.0,14.0,http://dbpedia.org/resource/Agaléga,1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1126,11126.0,What awards were given to the producer of Chicken Little ?,3.0,2.0,1.0,0.0,10.0,http://dbpedia.org/resource/Chicken_Little_(1943_film),2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1155,11155.0,How many shows belong to the network one of whose sister station is Cartoonite ?,4.0,1.0,1.0,1.0,14.0,http://dbpedia.org/resource/Cartoonito,1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
