QuestionID,Question,Dharmen QB,SINA
10113,What railway lines go through the stations maintained by Western Australian Public Transport Authority ?,1,0
10114,What is the leader name of the settlements whose governing body is Municipal council ?,1,0
10115,What is the major shrine of Jacques-Dsir Laval ?,1,1
10116,Count the number of actors in Lucy Sullivan Is Getting Married. ?,0,0
10117,To which series does the character of Londo Mollari belong ?,1,1
10118,Count all the scientologists. ?,0,0
10119,Rashid Behbudov State Song Theatre and Baku Puppet Theatre can be found in which country ?,0,0
10120,How many genres of games can I find on the commodore CDTV ?,1,0
10121,List the cast member of the movies whose producer is Mark Johnson. ?,1,0
10122,In how many  territories were the wars fought where Fusil Gras Mile 1874 were used ?,0,0
10123,Who are the politicians whose death place is Ontario ?,1,1
10124,Does the US route 281 have a junction at San Antonio ?,0,0
10125,Name the company whose one of the product is Pixar Image Computer and has one of the key person as Edwin Catmull ?,1,0
10126,Give me a count of royalties buried in Rome ?,0,0
10127,What is the route junction of Rhode Island Route 15 ?,0,1
10128,Which executive producer of the ultimate merger is also an important person at Trump Productions ?,0,0
10129,Is KOMC-FM the sister station of KOMC (AM) ?,1,0
10130,Do the asiana airlines fly  to Jeju airport ?,1,0
10131,Which awards are presented by Swedish Academy ?,1,0.5
10132,List the awards won by the fashion designer which have been recognized by Tennessee State Museum ?,1,0
10133,Which motion picture stories were edited by Ishir Honda ?,1,1
10134,Which rivers originate from Dowra ?,0,1
10135,How many TV shows have been created by Simon Fuller ?,0,0
10136,Did Henry Ford design the Model C ?,1,0
10137,How many people are known for Dragons' Den ?,0,0
10138,Greater Napanee is the home town of what people ?,1,1
10139,In which state is the Channel district ?,1,1
10140,Name the religious affiliation of Vagif Aliyev ?,1,1
10141,Count the number of characters of the play whose one of the character is Catwoman ?,0,0
10142,Is Bacillus belong to the domain Bacteria ?,0,0
10143,How many currencies are in used in places where people speak French ?,0,0
10144,"What political party has governed both in Baraily,MP and Jowai ?",0,0
10145,Which officers fought in the war of Siege of Fort Recovery ?,1,1
10146,How many writers speak a language belonging to the Germanic kind of languages ?,0,0
10147,Was Duanne Allman known to play the Les Paul ?,0,0
10148,For which other teams do members of tanzanian national football team play ?,0,0
10149,How many maintainers are there of the bridges that can carry motor vehicles over them ?,1,0
10150,What is Jon Speelman famous for ?,1,1
10151,What city is the residence of Cheryl Teigs ?,1,1
10152,"Give me a count of everything under the archipelago, where Papeete is the biggest town. ?",0,0
10153,Name the nearest city to  Lake Victoria ?,1,1
10154,Was A foreign policy on freedom covered by John Trumbull ?,0,0
10155,Eric roth wrote how many screenplays ?,0,0
10156,How many have been awarded by the Royal Society ?,0,0
10157,Who are the opponents of Gervase Helwys ?,1,1
10158,With whom is Heinz Kokott a relative to who also served Nazi Army ?,1,1
10159,Which magazine's publisher is Jann Wenner and founded by Ralph J. Gleason ?,1,0
10160,Which television show's network  is BBC HD and is related to Doctor Who Confidential ?,1,0
10161,What is the life stance of the ethnic groups related to Micronesia ?,1,0
10162,What is the magazine which have been  founded by Ralph J. Gleason ?,1,1
10163,Which river ends at  Thames Estuary and North Sea ?,1,0
10164,Count the number of sports team members  which have player named Matt Williams ?,0,0
10165,How many other awards have been given to people who have won the Golden Globe ?,0,0
10166,Does Mr. Jim's Pizza operate in the pizza industry ?,1,0
10167,How many other field are there of the scientists whose one of the field is Mathematics ?,0,0
10168,Who had  Joe Purcell and Winston Bryant as lieutenants ?,1,0
10169,Did stan lee narrate the incredible hulk tv show ?,1,0
10170,How many sports are played in organizations presided by Emanuel de Guzman ?,0,0
10171,"What is common between sports played at Fr Agnel School and Jr college, and the genre of Virtual Kasparov ?",0,0
10172,How many different genres of games are produced by Blizzard ?,1,0
10173,Name the river flowing through Reading and source place as Gloucestershire ?,0,0
10174,Who was in conflicts of Fort Barrancas and Gadsden ?,1,0
10175,What are some cars which came before the ones on a GM B base ?,1,0
10176,Name few companies founded in Texas ?,1,1
10177,Count all the ethinic group who speaks language which belongs to Anglo-Frisian language family ?,0,0
10178,Name all those whose spouses have performed with Tony Bennett ?,0,0
10179,What are the books written by the the person who made the Novelas ejemplares ?,0,0
10180,Whos a famous relative of anne spielberg ?,0,1
10181,Name the TV show whose network is NBC and is the subsequent work of Fraiser ?,1,0
10182,Does chicago own the washington station on the CTA Blue Line ?,0,0
10183,Give the distinct number of other party of the people which have one of the party as Janata Party ?,0,0
10184,"Count the units garrisoned at Arlington County, Virginia. ?",0,0
10185,List all the co-founders of the non for profit which have founding member as David pressman ?,0.6666666667,0
10186,how many companies are located in a spanish speaking region ?,0,0
10187,What are some US citizens famous for ?,1,0.02222222222
10188,Which genre of books are published by Random House ?,0,0
10189,How many golf players are there in Arizona State Sun Devils ?,0,0
10190,Which rivers start in Wyoming ?,0,1
10191,"What country is Jeffrey Werleman from, which also has the American Mediterranean Sea ?",0,0
10192,The Prime minister who worked in the Khmer Issarak follows which religion ?,1,0
10193,Who coached the marquet golden eagels during 2013 ?,1,1
10194,Is Tea the main ingredient of Lahpet ?,0,0
10195,Which tenant of New Sanno Hotel is the military branch of the Gary Holder-Winfield ?,0,0
10196,How many destinations are covered by the airlines which also serves Europe ?,0,0
10197,How many famous people are born in Long Island ?,0,0
10198,List the newspapers whose offices are situated in 1211 Avenue of the Americas ?,1,0
10199,What are the movies whose cinematographer is Gregg Toland ?,1,1
10200,Who is the person who are on the board of Freedom of the City ?,1,1
10201,Name the sitcoms whose network's owning company is Chris-Craft Industries ?,0,0
10202,How many developers have games where I can hear Lightning McQueen ?,0,0
10203,List the ingredient of Blodpalt ?,1,1
10204,Does Caroline Augusta Foley Rhys Davids study Buddhism ?,1,0
10205,Who is the performer of Bengali in Platforms ?,1,1
10206,"In how many other states do people live, whose languages are spoken in Nebraska ?",0,0
10207,What are some fictional characters whose voice is in the peanuts movie ?,0,1
10208,What is the total number of other tenant of the stadia whose one of the tenant is Raptors 905 ?,0,0
10209,In how many places have Irishmen died ?,0,0
10210,List the stadium of the teams which uses Nea Smyrni  as one of the stadium ?,0,0
10211,How many companies are located in Toronto ?,0,0
10212,Who is a successor of Kingship whose parents were Julius Caesar ?,1,0
10213,Who wrote the musical based on Mary Poppins ?,1,0
10214,How many people have voiced characters sculpted by Clamp ?,1,0
10215,What team has  players  born in Dominican Republic ?,0,0
10216,Was Derg the anthem of Ethopia ?,1,0
10217,"What cities does the river goes through, whose tributary is the little black river in Arkansas ?",1,0
10218,How many other characters are there of the plays which has a  characters name Joker (comics) ?,0,0
10219,For how many other teams have the former players of Boston Bruins played ?,0,0
10220,Count the different origins of members of the Vitis Vinifera species. ?,0,0
10221,Who is the author of Karakuri Dji Ultimo ?,1,1
10222,Was the  2d Command and Control Squadron barracked in Colorado ?,1,0
10223,"Who is the founder of Hohenau, Paraguay ?",0,0
10224,List the show related to the which was followed by Doctor Who Extra ?,1,0
10225,Count the number teams which have  former ice hockey players which also included American Hockey League ?,0,0
10226,Members of how many political parties have died in Delhi ?,0,0
10227,"To how many places does the airlines fly, whose head office is located at the Gatwick Airport ?",0,0
10228,Which political figures were awarded Screen Actors Guild Life Achievement Award ?,0,1
10229,Where do current famous NatGeo photographers live ?,1,0
10230,How many awards have been given to Italians ?,0,0
10231,How many different layouts do cars designed by Oliver Boulay have ?,1,0
10232,Is Hyundai Lavita assembled in Malaysia ?,1,0
10233,How many other Guests are there of the television episodes whose Guests is Brian d'Arcy James ?,0,0
10234,List the shrines of the saint whose one of the shrine is Ponza ?,1,0
10235,Who died due to Morphine ?,0,1
10236,How many mammals are in the Chordate phylum ?,0,0
10237,How many people were opponents of the ones buried in the tower of London ?,0,0
10238,Name the common university of the Cardinal and Jim Wylie ?,0,0
10239,Name the species of Southwest African lion ?,1,1
10240,From how many different institutes have the members of Judge Advocate General's Corps graduated ?,0,0
10241,In how many different places have ehtics philosophers died ?,0,0
10242,What political ideology of the Palang Dharma Party is relegion of Inthakin ?,0,0
10243,Where did Fort Lauderdale Strikers season of 16 take place ?,1,0.04285714286
10244,What are some relatives of the people who fought in Operation Barbarossa ?,1,0
10245,Is Mike Babcock the head coach of Toronto Maple Leafs ?,0,0
10246,Is Audie Murphy buried in the Arlington national cementery ?,0,0
10247,What honours did Reigh Count receive ?,0,0
10248,How many people have written stuff broadcasted on the Tokyo Broadcasting System ?,0,0
10249,How many more teams have rented the stadium used by Raptors 905 ?,0,0
10250,Give me a count of musicians who play an instrument developed by George Beauchamp ?,0,0
10251,"Does the St lawrence river start in Kingston, Ontario ?",0,0
10252,Give me an estimate of the number of manufacturers whose products are managed by MTR ?,0,0
10253,Who is the fictional character whose relative is Vestigial Peter ?,1,0
10254,What are a few molluscas whose family is Buccinidae ?,1,1
10255,What type of government is elected in Kumta ?,1,1
10256,What is the television show whose subsequent work is Crusade (TV series) and developed by  J. Michael Straczynski ?,1,0
10257,"What people were born in Ridgewood, New Jersey ?",0,0
10258,What is the company to which Fusajiro Yamauchi proprietor to ?,1,1
10259,Who is the performer of the album whose subsequent work is Willie Nelson and Family ?,1,0
10260,Name the debut team of Dan Otero ?,1,1
10261,How many utopian and dystopian fiction books are there ?,0,0
10262,Does the Westchester Avenue fall under the Bronx ?,0,0
10263,Count the total number of software whose programming language is C++ and operating system is Microsoft Windows ?,0,0
10264,How many albums were released under the Victor Entertainment label ?,0,0
10265,Does NOAAS Davidson (S 331) have a homeport in Seattle ?,1,0
10266,Which company owns Evraz ?,1,1
10267,Who is the leader of Panki block ?,1,1
10268,Name the species of Liger ?,1,1
10269,Is michelangelo the painter of The Persian Boy ?,1,0
10270,Which television shows has sound format as 5.1 surround ?,1,1
10271,Where is the capital of Kelsey Creek located ?,1,0
10272,Name the TV show whose opening theme is Gary Portnoy and the subsequent work is Frasier ?,1,0
10273,How many movies did Joel Schumacher direct ?,0,0
10274,How many games are played at universities in Metro Manilla ?,0,0
10275,Who is the owner of Saumarez ?,1,1
10276,Is Compaq a software company ?,1,0
10277,How many owners are there of things located in Alabama ?,0,0
10278,Was the FIS Alpine World Ski Championship of 1950 held in Colorado ?,0,0
10279,How many cities are around the sea into which the aegean sea flows ?,0,0
10280,How many buildings are located in the jurisdiction of John Tory ?,0,0
10281,Which railway line goes through the stations which are a part of the North Caucasus railway ?,1,0
10282,Whose doctoral student is etienne bieler\xc9tienne_Bi\xe9ler ?,0,0
10283,What are some bands originating in London ?,1,0.4511278195
10284,what awards have been giving to Muhammad Yunus ?,1,1
10285,How many teams have LA kings players in them currently ?,0,0
10286,List the opponents of the relatives of Thomas Helwys ?,1,0
10287,What is the region of Tom Perriello ?,1,1
10288,What are some other great things by the person who produced Queer as Folk ?,0,0
10289,Is National Archaeological Museum (Florence) the museum of Chimera of Arezzo ?,0,0
10290,Who are the associate musical artists of Dalma Kovcs ?,1,1
10291,Does the Vadodara Railway station lie at the end of the Mathura Vadodara route ?,1,0
10292,"Give me all commanders which had an important role in both, the Battle of Fort Stephenson and Battle of the Thames ?",0,0
10293,What is the commander of Battle of Brownstown ?,1,1
10294,What religion's politicians are in the Malaysian Chinese association ?,1,0
10295,How many religions are practiced by diplomats ?,0,0
10296,Who developed the programming languages designed by Rob Pike ?,1,0
10297,List down the prime ministers of Peter Thorneycroft ?,1,1
10298,list some companies founded by Jim Harris. ?,0,1
10299,"What has been founded in the state that Denton county, Texas is a part of ?",0,0
10300,How many ?,0,0
10301,How many writers worked on the album Main Course ?,0,0
10302,Count the number of shows whose creators are Jerry Seinfeld and Larry David ?,0,0
10303,How many broadcast area of the television stations exists whose broadcast area is Rodrigues ?,0,0
10304,Which wine region of Bogdanua is the mouth country of Upper Neretva ?,0,0
10305,Under whom did Charles Drummond Ellis do his PhD ?,0,1
10306,Who founded the Not on our Watch NGO ?,1,1
10307,Who first ascented a mountain of Mount Hoffmann ?,1,1
10308,What is the military conflict whose commanders are John McEwen and Phm Vn ng ?,1,0
10309,In how many countries do the rivers start which end at the Caspian Sea ?,0,0
10310,Who are the former partners of the figure skaters whose performance have been choreographed by Catarina Lindgren in the past ?,1,0
10311,Which holy things canonized John of Damascus ?,1,1
10312,Count the number of schools which are in a city governed by the West Berkshire Council ?,0,0
10313,Did Hank Williams Jr. make Early in the Morning and Late at Night ?,1,0
10314,Is Pixar Canada a subsidiary of Pixar ?,1,0
10315,List some leaders of regions in the Indian Standard Time Zone ?,1,0
10316,Name the rivers originating from an English speaking nation ?,0,0
10317,List the notable work of David Isaacs (writer) ?,0,1
10318,Tirana is the largest city of which country ?,1,1
10319,How many teams have used the stadium which hosted the WCW mayhem ?,0,0
10320,Was the Army Air Corps honored for the battle of Iraq ?,0,0
10321,How many people have played for a club whose coach is Fred Hoiberg ?,0,0
10322,How many relatives are there of people fought in the Battle of the Bulge ?,1,0
10323,Is Truth prevails the national motto of Czechoslovakia ?,0,0
10324,Who was the bronze medalist of Swimming at the 2008 Summer Olympics  Men's 400 metre individual medley ?,1,1
10325,Which football players have Newell's Old Boys as youthclub ?,0,1
10326,Does the little colorado river flow in the Grand Canyon ?,1,0
10327,Which educational institution of Jack Mcgregor is also the alma mater of Donn barber ?,0,0
10328,How many religions are followed by the people in the Royal Thai Army ?,1,0
10329,From which state do the White Plum Asangas come ?,1,0
10330,List the ceremonial county of East Tilbury ?,1,1
10331,How many people are there who have relationship with Kennedy family ?,0,0
10332,Which board game can be said as a mind based game ?,1,0
10333,Was GM first aired in Albania ?,0,0
10334,How many games have a publisher based in US ?,0,0
10335,How many fictional characters were humans ?,0,0
10336,Is Julia Gillard a part of monarch of elizabeth 2 ?,0,0
10337,"Which cities come in the course of the river, into which Big Creek around Texas flows too ?",1,0
10338,Where are INKAS located which is also the state of origin for Jojo Chintoh ?,0,0
10339,Who wrote the frost king ?,1,1
10340,How many other key people are there of the non-profit organisations whose key people is Hillary Clinton ?,0,0
10341,How many races have the horses bred by Jacques Van't Hart participated in ?,1,0
10342,Name the mouth country of Upper Neretva ?,1,1
10343,In how many regions is English American spoken ?,0,0
10344,Is Ella Fitzgerald associated with Mickey Roker ?,1,0
10345,Does Cascade Airways have a hub in Seattle ?,1,0
10346,How many services does the company who made Onedrive provide ?,1,0
10347,Where did the Vitis Vinifera grapes originate ?,1,0
10348,How many ships belong to states which has Unitary as government type ?,0,0
10349,Which technological products were manufactured by Foxconn ?,1,0
10350,Does Gibby Haynes play the saxophone ?,0,0
10351,List the movies directed by Stanley Kubrick ?,1,1
10352,Things going to the mediterranean sea also go where ?,0,0
10353,How many first drivers have participated when Scuderia Ferrari was a first team ?,1,0
10354,Was Tommy Tucker's Tooth animated by Walt Disney ?,1,0
10355,Name all the bands which have members of QDT in them. ?,1,0
10356,Which publisher of Stone Canoe is also the university for which Michael Powell plays for ?,0,0
10357,How many shows are made by the channel whose predecessor was the Comedy Channel ?,0,0
10358,What are the movies directed by Joel Schumacher ?,1,1
10359,How many wars took place in Israel ?,0,0
10360,Where is Richard Stites located ?,1,1
10361,How many companies serve the Australian region ?,0,0
10362,Who wrote The Times They Are a-Changin ?,0,1
10363,"Who was the opponent of Robert Carr, 1st Earl of Somerset ?",0,0
10364,Give me the total number of architect of the buildings whose one of the  architect was Louis D. Astorino ?,0,0
10365,Where can i find companies which were started in Toronto ?,0,0
10366,List the leaders of the government agencies whose jurisdiction was German-occupied Europe. ?,1,0
10367,"What is the total number of awards whose presenter's headquarters is Beverly Hills, California ?",0,0
10368,Count the total number of launch site of the rockets which have been launched form Cape Canaveral Air Force Station ?,0,0
10369,How many shows are made by Larry David ?,0,0
10370,Name the home town of Cline Buckens ?,1,1
10371,Was Cliff Burton in Metallica ?,0,0
10372,What are the television shows whose network's sister station is BBC Two ?,0,0
10373,How many kinds of games can be played on the Amiga ?,0,0
10374,Is Michael Schumacher the first driver of the 1994 grand prix ?,0,0
10375,By which companies is RENFE Class 333 designed ?,1,1
10376,Does the asiana airlines fly into the Gimhae International Airport ?,1,0
10377,What is the state of the senator whose successor is Nathaniel P. Hill ?,0,0
10378,Count the awards given to the recepients of the Becket fund for religious liberty. ?,1,0
10379,What is the president whose lieutenants are Winston Bryant and Joe Purcell ?,1,0
10380,Who has written the mary poppins musical ?,1,1
10381,Cable stayed bridges have been used to cross over how many things ?,0,0
10382,To which military division does Clark Daniel Stearns belong ?,1,1
10383,"What are the resting places of the associates of John Betts a, Connecticut politician ?",1,0.5
10384,Give me a count of mammals whose family is Canidae ?,0,0
10385,What sports can be played in Kharghar's schools ?,1,0
10386,For which team does Ramiro Pea play ?,1,0
10387,How many shows is Russell Davies known for ?,0,0
10388,What is the leader of the government agency which is the military unit of Erich Kempka ?,1,0
10389,Name the serving line of Daund Junction railway station ?,1,1
10390,"Who was the president under whom, a governor participated in Shay's rebellion ?",0,0
10391,Is the charat district a district in peru ?,0,0
10392,Who are the people who influenced the writers of Evenor ?,1,0.6666666667
10393,What are some movies written by British writers ?,0,0
10394,How many different people own the Timeform award winners ?,0,0
10395,How many scientists are known for the Manhatten Project ?,0,0
10396,Which political party of Chandra Shekhar is also the political party of Datl Satyanarayana Raju ?,0,0
10397,How many people have been presenters for NBC shows ?,0,0
10398,What is the television show whose executive producer is Douglas Netter ?,1,1
10399,Whihc alma mater of angela Trusty is also the training center of David Scherman ?,0,0
10400,How many producers have worked for FremantleMedia productions ?,1,0
10401,Which successor of Philippine Ports Authority is the state of origin of Ruben J. Villote ?,0,0
10402,Who is the spouse of Willian Menalaus ?,1,1
10403,Is Joe Schilling the trainer of Nick Diaz ?,1,0
10404,Is James Hetfield a band member of Metallica ?,1,0
10405,Which baseball team is managed by Bruce Bochy ?,1,0.05555555556
10406,How many islands belong to archipelagos located in the pacific ?,0,0
10407,How many other important things have been written by the creator of Stuart Alan Jones ?,0,0
10408,Does Kirk Hammett play the Gibson Flying V ?,1,0
10409,What novels are belong to the genre of Utopian and dystopian fiction ?,0,1
10410,What is the programme format of WWTR ?,1,1
10411,What is the home ground of the clubs managed by Ciao Zanardi ?,1,0
10412,Which people are known for appearing on the television show Dragon's Den ?,1,1
10413,How many railway lines go through the station maintained by Public transport authority of western australia ?,0,0
10414,Carl Sagan has penned books on how many matters ?,0,0
10415,what are some units udner the US department of navy ?,0,1
10416,"What sport has made Eric Schiller famous, and has employed Craig Van Tibury ?",0,0
10417,"What is the country whose administrative centre is Hagta, Guam ?",0,0
10418,What is the political party of the of Bengalis ?,1,0.6666666667
10419,Was Writings and Drawings illustrated by Bob Dylan ?,0,0
10420,"How many major shrine are there, of the saints whose beatified by Pope Pius XI ?",1,0
10421,Count all the things licensed as Software as a service. ?,0,0
10422,How many different kinds of games are published by Interplay Entertainment ?,0,0
10423,How many different kinds of softwares have been released under the GPL license ?,0,0
10424,Who produced wizards vs aliens ?,1,1
10425,Which team did Bill Murphy and Jean Segura play for ?,0,0
10426,What location country of AH141 is also the nation of malaysia Junior hockey league ?,0,0
10427,On how many subjects has Random house publishers published books ?,0,0
10428,What are the things Eric Schiller known for ?,1,1
10429,Does Walt Disney Studio have a subsidiary called PixarCascadia_ ?,1,0
10430,Who is the leader of the Kriminalpolizei and Ordnungspolizei ?,0,0
10431,Does vance johnson play as a wide receiver ?,1,0
10432,How many different products are there of the companies located in the US ?,0,0
10433,List all the former broadcast network of WMDN ?,1,1
10434,"Who are the people which were the influencer of the person, who influenced Costanzo Preve ?",0,0
10435,What is the region of the successor of Mr. Jerome B. Chaffee ?,1,0.25
10436,Was Zambezi originate in the north western province of zambia ?,0,0
10437,Who first ascented a mountain of Cathedral Peak (California) ?,1,1
10438,What awards did the film director of The Haunted House win ?,1,0.4
10439,"What all is produced by companies in Douglas, Isle of Man ?",0,0
10440,"What is the number of occupation of the people who died in tampa bay, florida ?",0,0
10441,What is the municipality of Liberty Bell ?,1,1
10442,How many fictional characters are there in a series in which Craig Robinson acted ?,0,0
10443,Which television show is the subsequent work of Frasier and the opening theme is Gary Portnoy ?,1,0
10444,in which country does the river end which originates in Lebrsnik ?,1,0
10445,Which country's largest city is Lima ?,0,1
10446,List the awards given to the relatives of Gregorios Bernardakis. ?,1,0
10447,Count all the games whose distributors are located in America ?,0,0
10448,Which non fiction of the Thud is also the field of the Jon Speelman ?,0,0
10449,What is the owning organisation of the Ford Kansas City Assembly Plant and also the builder of the Ford Y-block engine ?,0,0
10450,List the former partner of the figure skaters whose former choreographer was Igor Shpillband. ?,1,0
10451,What is the title of Kakae ?,0,0
10452,What is the birth city of the Salford City F.C players ?,1,0
10453,"To what other locations does the airlines have flights, who also fly to Birmingham ?",0,0
10454,How many states does the Pioneer corporation operate in ?,0,0
10455,How many people are there whose children died in Indiana ?,0,0
10456,Which mountain range is the one with Ponte d'Aveneyre and Le Gibloux ?,0,0
10457,What is the appliance which uses the central processing unit manufactured by Marvell Technology Group ?,1,0
10458,What is the military branch of John Tower ?,1,1
10459,How many people used to play in the youthclub of FC Barcelona ?,0,0
10460,Count the number of offices held by people who have their allegiances with the american civil war union ?,0,0
10461,Who are the relatives of the character after which Quagmire's Quagmire was made ?,0,0
