QuestionID,Question,TripleSize,RelationTotal,ResourceTotal,ClassTotal,QuestionLength,Resources,Words Count in Entity1,Special Character1,Explicit/Implicit E1,Capital/Small Letters E1,aylienNERagdistis,tagmeNEDlogs,DBpediaNERAgdistis3252,ambiverseNEDlogs,meaningcloudAgdistis,qanary_logs_DBpediaSpotlightNED,meaningCloudNEDnew,textrazorAgdistis,dandiNERAgdistisFINAL,dandilionNEDlogs,OntotextNEDlogs,babelfyAgdistis3000,ambiverseAgdistis,tagmeAgdistis,EntityClassifier_NER_Agdistis,newBabelfyNEDlogs,stanfordAgdistis,ontotextAgdistis,AmbiverseNED 2.0,AmbiverseStanford 2.0
10015,"How many tenats have been there, of the constructions of PCL constructures ?",3,2,1,0,12,http://dbpedia.org/resource/PCL_Construction,2,FALSE,FALSE,FALSE,,,0,,0,0,,0,,,0,0,,,0,0,,0,,
10016,Was Kevin Jonas a part of Jonas brothers ?,3,1,2,0,8,"http://dbpedia.org/resource/Jonas_Brothers,http://dbpedia.org/resource/Kevin_Jonas",2,FALSE,TRUE,FALSE,1,1,1,0.6666666667,0.6666666667,1,0.6666666667,1,1,1,1,0.5,0,1,0.6666666667,0.5,0.6666666667,,1,
10017,"Which kind of conventions are held in Rosemont, Illinois ?",4,1,1,1,9,"http://dbpedia.org/resource/Rosemont,_Illinois",2,FALSE,TRUE,TRUE,0.4,1,1,0,0.4,1,0.4,,0.8,0,0.8,1,,1,0.3333333333,1,0.4,0.8,1,0
10018,How many books have been penned by Miguel de Cervantes ?,3,1,1,1,10,http://dbpedia.org/resource/Miguel_de_Cervantes,3,FALSE,TRUE,FALSE,1,1,1,,1,1,1,1,1,0.6666666667,0.6666666667,1,,1,1,1,1,1,1,1
10019,"What are the schools whose city is Reading, Berkshire ?",2,1,1,0,9,"http://dbpedia.org/resource/Reading,_Berkshire",2,FALSE,TRUE,TRUE,0.8,1,1,,,1,0,,1,0,0,,,1,0,0.6666666667,0,0.8,1,
10020,Does the west thurrock come under Essex county ?,3,1,2,0,8,"http://dbpedia.org/resource/West_Thurrock,http://dbpedia.org/resource/Essex",2,FALSE,TRUE,FALSE,0.6666666667,0.6666666667,0.6666666667,0.6666666667,,1,0,,0,0.5,,,0,,0.6666666667,0.8,0,0.6666666667,1,
10021,How many people have headed organizations headquartered at Niederkirchnerstrae ?,3,2,1,0,9,http://dbpedia.org/resource/Niederkirchnerstraße,1,FALSE,FALSE,TRUE,,,,,,,,,0,0,0,0,,,0,0,,0,,
10022,In which television shows have Steven Moffat served as an executive producer ?,3,1,1,1,12,http://dbpedia.org/resource/Steven_Moffat,2,FALSE,TRUE,TRUE,1,1,1,,0,1,,0.6666666667,0.5,0.5,0.6666666667,,0,1,0.5,0.3333333333,1,0.6666666667,1,0
10023,How many services does 21Vianet provide ?,2,0,1,0,6,http://dbpedia.org/resource/21Vianet,1,FALSE,TRUE,TRUE,,1,,,,,,,,1,0,,,,,,,,,
10024,What company involved in the development of Sherlock did Arthur Levinson work for ?,4,2,2,0,13,"http://dbpedia.org/resource/Arthur_D._Levinson,http://dbpedia.org/resource/Sherlock_(software)",2,FALSE,FALSE,TRUE,0.6666666667,0.6666666667,0.6666666667,0,,0.6666666667,,0.5,0.3333333333,0.2857142857,0,,,0.6666666667,0.3333333333,0.5,0.5,0.4,1,
10025,What is the style of architecture of South Loop Printing House District ?,2,1,1,0,12,http://dbpedia.org/resource/South_Loop_Printing_House_District,5,FALSE,TRUE,TRUE,,1,,,1,0,,1,0.6666666667,0.5,0.6666666667,,,1,0.6666666667,0.3333333333,1,1,1,1
10026,Is Ombla originate in Croatia ?,3,1,2,0,5,"http://dbpedia.org/resource/Ombla,http://dbpedia.org/resource/Croatia",1,FALSE,TRUE,TRUE,0.6666666667,1,1,,,0.5,0.5,1,0.6666666667,0,1,,,1,1,,0.6666666667,1,1,
10027,Was Ganymede discovered by Galileo Galilei ?,3,0,2,0,6,"http://dbpedia.org/resource/Ganymede_(moon),http://dbpedia.org/resource/Galileo_Galilei",1,FALSE,FALSE,TRUE,0.5,1,0.5,,0.5,1,0.6666666667,0.5,0.5,0.5,1,0.6666666667,,0.5,0.5,0.6666666667,0.5,0.5,1,0.5
10028,Who is the producer of the song which is the previous work of He's a Liar ?,4,2,1,1,16,http://dbpedia.org/resource/He's_a_Liar,3,FALSE,TRUE,FALSE,,1,,,,,,,0,0,0,0,,,0,0,,0,,
10029,Who gave the voice for Allen Walker ?,2,1,1,0,7,http://dbpedia.org/resource/Allen_Walker,2,FALSE,TRUE,TRUE,0,,0,0,0,0,,0,0,0.6666666667,,,0,,0,,0,0,,
10030,Who is associated to Publius Servilius Vatia Isauricus  and Marcus Calpurnius Bibulus ?,4,2,2,0,12,"http://dbpedia.org/resource/Publius_Servilius_Vatia_Isauricus_(consul_48_BC),http://dbpedia.org/resource/Marcus_Calpurnius_Bibulus",4,FALSE,FALSE,TRUE,0.5,0.5,0.5,,0.5,0.5,,,0.5,0.5,0.6666666667,,,0.5,0.5,0.3333333333,0.5,0.6666666667,1,1
10031,Which country has given citizenship to both saima chowdhury and edmund john ?,4,2,2,0,12,"http://dbpedia.org/resource/Saima_Chowdhury,http://dbpedia.org/resource/Edmund_John",2,FALSE,TRUE,FALSE,,0.6666666667,,,,0,0,,,0.6666666667,0,,,,0,0.6666666667,,0,,
10032,Who is the person that first ascented the Cathedral Peak and Mount Hoffmann ?,4,2,2,0,13,"http://dbpedia.org/resource/Cathedral_Peak_(California),http://dbpedia.org/resource/Mount_Hoffmann",2,FALSE,FALSE,TRUE,0,1,1,0,,1,0,1,1,0.5,0.8,,0,1,1,0.4,0.6666666667,1,1,0
10033,What university campuses are situated in Indiana ?,3,1,1,1,7,http://dbpedia.org/resource/Indiana,1,FALSE,TRUE,TRUE,1,,1,1,0,1,1,1,1,1,0,1,0,,1,0,1,1,1,0
10034,Where is the swedish covenant hospital ?,2,1,1,0,6,http://dbpedia.org/resource/Swedish_Covenant_Hospital,3,FALSE,TRUE,FALSE,,1,1,,,1,,,1,1,1,,,1,1,0.6666666667,,1,,
10035,Which composer of Girl from the North Country is the subsequent work of the Moondog Matinee ?,4,2,2,0,16,"http://dbpedia.org/resource/Girl_from_the_North_Country,http://dbpedia.org/resource/Moondog_Matinee",5,FALSE,TRUE,FALSE,0,1,0,,0,0.4,,0,0,0.8,0,0,,,0,0.5,,0,,
10036,Name the members of  boards of Freedom of the City and Trinity House ?,4,2,2,0,13,"http://dbpedia.org/resource/Freedom_of_the_City,http://dbpedia.org/resource/Trinity_House",4,FALSE,TRUE,FALSE,0.6666666667,0.5,0.6666666667,,0,0.6666666667,,0.5,0.5,0.8,0.5,0.5,,0.6666666667,0.3333333333,0.5,0.6666666667,0.4,1,0
10037,Was Reza Amrollahi born in Iran ?,3,0,2,0,6,"http://dbpedia.org/resource/Reza_Amrollahi,http://dbpedia.org/resource/Iran",2,FALSE,TRUE,TRUE,0.6666666667,1,0.6666666667,,0.5,0.6666666667,0.6666666667,1,1,1,1,,,1,1,0.6666666667,1,1,1,0.5
10038,In which war did Roh Tae Woo and Lee Leffingwell fight ?,4,2,2,0,11,"http://dbpedia.org/resource/Roh_Tae-woo,http://dbpedia.org/resource/Lee_Leffingwell",3,FALSE,FALSE,TRUE,0.6666666667,1,1,0,0.6666666667,1,,1,1,1,0.8,0.5,0,1,1,0.4,1,1,1,0
10039,What can be cooked out of things belonging to the order Sapindales ?,3,2,1,0,12,http://dbpedia.org/resource/Sapindales,1,FALSE,TRUE,TRUE,,1,,,,1,,,,1,,,,,,1,,,,
10040,How many  TV shows were made by someone who was associated with Lewis Hamilton ?,4,1,1,1,14,http://dbpedia.org/resource/Lewis_Hamilton,2,FALSE,TRUE,TRUE,1,1,1,,,1,1,1,1,1,,,,1,1,0.5,1,0.6666666667,1,
10041,Name the alma mater of Michael hahn ?,2,1,1,0,7,http://dbpedia.org/resource/Michael_Hahn,2,FALSE,TRUE,FALSE,1,1,1,,,0.6666666667,,1,1,0.6666666667,0.5,,,1,0,0,0,0.6666666667,1,
10042,How many party leaders are there whose parties are headquartered in Berlin ?,4,2,1,1,12,http://dbpedia.org/resource/Berlin,1,FALSE,TRUE,TRUE,1,,1,1,,1,1,1,1,0,0.5,1,,,1,0.6666666667,1,1,1,
10043,How many total religions are followed by people whose hometown is somewhere in India ?,3,1,1,0,14,http://dbpedia.org/resource/India,1,FALSE,TRUE,TRUE,1,1,1,1,0,1,1,1,1,0,0,1,0,,1,0.6666666667,1,1,1,0
10044,Did Gwo Ka originate in Western Africa ?,3,0,2,0,7,"http://dbpedia.org/resource/Gwo_ka,http://dbpedia.org/resource/West_Africa",2,FALSE,TRUE,TRUE,,0.6666666667,0.6666666667,,,0.6666666667,0.3333333333,1,0,0,1,,,0.6666666667,1,0.8,1,1,1,
10045,Give me the total number of commander of the military conflicts whose commander is Roundhead (Wyandot). ?,3,1,1,0,16,http://dbpedia.org/resource/Roundhead_(Wyandot),1,FALSE,FALSE,TRUE,0,0,0,,,0.6666666667,,,0,0,0,0,,0,0,0,0,,1,
10046,Which country's leader is David Johnston ?,3,1,1,1,6,http://dbpedia.org/resource/David_Johnston,2,FALSE,TRUE,TRUE,1,0,1,,,1,,1,1,1,,0,,1,1,0,1,1,1,
10047,How many factions have fought in wars where Francois Marie Le Marchand de Lignery was involved ?,4,1,1,1,16,http://dbpedia.org/resource/François-Marie_Le_Marchand_de_Lignery,6,FALSE,FALSE,FALSE,,1,,0,,,,1,1,0,0,0,0,1,,0,1,,,
10048,Where was Antonio Giannini born ?,2,1,1,0,5,http://dbpedia.org/resource/Antonio_Giannini,2,FALSE,TRUE,TRUE,,1,1,0,,1,,1,1,1,,,,1,1,,1,1,,
10049,Where was David Scherman trained ?,2,1,1,0,5,http://dbpedia.org/resource/David_Scherman,2,FALSE,TRUE,TRUE,,1,,0.6666666667,,,,,1,1,1,,0,1,1,0.6666666667,1,1,1,
10050,What religions do politicians in the Korean Minjoo Party follow ?,4,2,1,1,10,http://dbpedia.org/resource/Minjoo_Party_of_Korea,3,FALSE,FALSE,FALSE,0,,0,,,0,,,0,0,0,0,,,0,0,,0,,
10051,Give me the total number of employer of the engineers whose one of the employer is McDonnell Aircraft ?,3,2,1,0,18,http://dbpedia.org/resource/McDonnell_Aircraft,2,FALSE,TRUE,TRUE,1,0.6666666667,1,1,1,1,,1,1,1,0.6666666667,0.6666666667,,1,1,0.6666666667,1,1,1,1
10052,"What were the major actions taken by the politicians living in Gales Ferry, Connecticut ?",4,2,1,1,14,"http://dbpedia.org/resource/Gales_Ferry,_Connecticut",3,FALSE,TRUE,TRUE,0.8,1,1,0,1,1,0,,1,0,0,,,1,0.6666666667,0.8,0,0.6666666667,1,
10053,"Where was Live in Detroit, MI recorded ?",2,1,1,0,7,"http://dbpedia.org/resource/Live_in_Detroit,_MI",4,FALSE,TRUE,FALSE,0,1,0,,,0,0,0,,0,,,,,0,0.6666666667,0,0.6666666667,1,
10054,who all have been a manager of english under twenty one football team ?,2,0,1,0,13,http://dbpedia.org/resource/England_national_under-21_football_team,5,FALSE,FALSE,FALSE,,0,,,,0,,,,0,0,0,,,0,0,,0,,
10055,What awards have been won by the executive producer of Timmy Time ?,3,2,1,0,12,http://dbpedia.org/resource/Timmy_Time,2,FALSE,TRUE,TRUE,,0.6666666667,,,0,1,,,0,0.5,0,,,,0,0,,0,1,0
10056,"Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium. ?",3,0,1,0,16,"http://dbpedia.org/resource/Rosario,_Santa_Fe",3,FALSE,TRUE,TRUE,0.8,1,1,0,,1,0.6666666667,,1,0,0.8,1,,1,0.8,0.8,1,0.8,1,1
10057,What are some families of mammals in the animal kingdom ?,4,2,1,1,10,http://dbpedia.org/resource/Animal,1,FALSE,TRUE,FALSE,,,,,,0,,,0,0.5,0,,,,0,0,,,,
10058,Count all the different purposes followed by the different NGOs. ?,3,0,1,0,10,http://dbpedia.org/resource/Non-governmental_organization,2,FALSE,FALSE,FALSE,,,1,,,1,,0,,,,,,,1,,,0,,
10059,How many things are crossed over by bridges which can carry cars ?,3,0,1,0,12,http://dbpedia.org/resource/Motor_vehicle,1,FALSE,FALSE,FALSE,,,,,,,,,,0,,,,,,,,,,
10060,Did Steve Sampson manage a club of Santa Clara university ?,3,1,2,0,10,"http://dbpedia.org/resource/Steve_Sampson,http://dbpedia.org/resource/Santa_Clara_University",2,FALSE,TRUE,TRUE,1,1,1,0.5,1,1,,1,1,1,0.6666666667,,0,1,0.5,0.6666666667,0.5,1,1,0.5
10061,List all the layouts of the automobile whose one of the layout is four-wheel-drive layout ?,4,2,1,1,15,"http://dbpedia.org/resource/Front-engine,_four-wheel-drive_layout",4,TRUE,FALSE,FALSE,,,0,,,0,,0,0,0,0,0,,,0,0,,,,
10062,In which time zone is Pong Pha ?,2,1,1,0,7,http://dbpedia.org/resource/Pong_Pha,2,FALSE,TRUE,TRUE,0,1,0,,1,0,,1,1,0.6666666667,0.6666666667,,,1,1,0,1,1,,
10063,What is the alma mater of the Angela Trusty and Charles Ayres ?,4,2,2,0,12,"http://dbpedia.org/resource/Angela_Trusty,http://dbpedia.org/resource/Charles_Ayres",2,FALSE,TRUE,TRUE,,1,,0,0,0,,1,,,0,,0,1,1,0.5,1,1,1,0
10064,How many rivers start in an English speaking country ?,4,2,1,1,9,http://dbpedia.org/resource/English_language,2,FALSE,FALSE,FALSE,,,0,,,1,,,0,1,,,,,0,0.6666666667,0,0,,
10065,Where are Aureus and Solidus used as currency ?,4,2,2,0,8,"http://dbpedia.org/resource/Aureus,http://dbpedia.org/resource/Solidus_(coin)",1,FALSE,TRUE,TRUE,,0.6666666667,,,,,,0.5,0.5,0.4,1,,,0,0.5,,0,0.5,1,
10066,Is the chestnut white bellied rat a mammal ?,3,1,2,0,8,"http://dbpedia.org/resource/Chestnut_white-bellied_rat,http://dbpedia.org/resource/Mammal",4,FALSE,FALSE,FALSE,,1,,,,0.5,,,,1,0.6666666667,0,,,,0.5,,,,
10067,Was Tim Gunn a guest on The Broken Code ?,3,0,2,0,9,"http://dbpedia.org/resource/The_Broken_Code,http://dbpedia.org/resource/Tim_Gunn",3,FALSE,TRUE,TRUE,0.6666666667,1,0.6666666667,0.6666666667,0.5,0.6666666667,,0.6666666667,0.5,1,1,,0,0.5,0.5,0.3333333333,0.6666666667,0.5,1,1
10068,In how many nations can I find dishes made of Shallot ?,4,2,1,1,11,http://dbpedia.org/resource/Shallot,1,FALSE,TRUE,TRUE,,1,,,,,,,,0.6666666667,0,,,,,,,,,
10069,What system is both a platform where Nord runs and also distributed The beauty inside ?,4,2,2,0,15,"http://dbpedia.org/resource/Nord_(video_game),http://dbpedia.org/resource/The_Beauty_Inside",1,FALSE,FALSE,TRUE,0,0,0,,0,0,0,0,,0,0,,,,0,0,0,0,1,0
10070,Is Tirana the largest city of Albania ?,3,0,2,0,7,"http://dbpedia.org/resource/Albania,http://dbpedia.org/resource/Tirana",1,FALSE,TRUE,TRUE,1,1,1,1,,1,0.6666666667,1,1,1,0.8,,1,1,1,0.4,1,1,1,1
10071,what are some common games played at both Fr Agnel Multipurpose School and Vishwajyot High School ?,4,2,2,0,16,"http://dbpedia.org/resource/Fr._Agnel_Multipurpose_School_and_Junior_College,http://dbpedia.org/resource/Vishwajyot_High_School",7,FALSE,FALSE,FALSE,,1,,,,,,1,0.6666666667,0.6666666667,0,,,0.6666666667,1,0.4,0.6666666667,0.6666666667,,
10072,Who were all the people in office when bob hawke was the PM ?,2,1,1,0,13,http://dbpedia.org/resource/Bob_Hawke,2,FALSE,TRUE,FALSE,,1,,,,1,,,,1,,,,,0,1,,,,
10073,Which sports are played at institues in Taguig ?,4,2,1,1,8,http://dbpedia.org/resource/Taguig,1,FALSE,TRUE,TRUE,1,1,1,1,,1,1,1,1,1,0,,,,1,,1,1,1,
10074,Raymond Johansen is the mayor of what city ?,2,1,1,0,8,http://dbpedia.org/resource/Raymond_Johansen,2,FALSE,TRUE,TRUE,1,1,1,,,0.6666666667,,1,1,0.6666666667,0,1,,1,1,0.6666666667,1,,1,
10075,What is the nation of the speedway league where Ikaros Smederna played ?,4,2,1,1,12,http://dbpedia.org/resource/Ikaros_Smederna,2,FALSE,TRUE,TRUE,1,1,1,,0,1,0,1,1,0.6666666667,0.5,1,,1,1,0,1,,1,1
10076,What are the kind of games one can play on windows ?,4,2,1,1,11,http://dbpedia.org/resource/Microsoft_Windows,2,FALSE,FALSE,FALSE,,,,,,,,,,0.6666666667,,,,,,,,,,
10077,Count the number of sports played by schools which play hockey ?,3,2,1,0,11,http://dbpedia.org/resource/Hockey,1,FALSE,TRUE,FALSE,,,,,,,,0,0,0.4,0,0,,,0,0,,0,,
10078,What is the common school of Chris Marve and Neria Douglass ?,4,2,2,0,11,"http://dbpedia.org/resource/Chris_Marve,http://dbpedia.org/resource/Neria_Douglass",2,FALSE,TRUE,TRUE,,1,,0,0.6666666667,0,,1,0.8,0.8,1,0.5,,1,0.8,0.5,1,0.8,1,1
10079,What relegious affiliation of Josiah Idowu-Fearon was canonized by john of Damasucs ?,4,2,2,0,12,"http://dbpedia.org/resource/John_of_Damascus,http://dbpedia.org/resource/Josiah_Idowu-Fearon",3,FALSE,FALSE,FALSE,,0.6666666667,,,0.6666666667,0,0,0.6666666667,0.6666666667,0.6666666667,0.6666666667,,,0.6666666667,0.5,,0.6666666667,0.5,,
10080,Rivers from which countries flow into the Caspian ?,4,2,1,1,8,http://dbpedia.org/resource/Caspian_Sea,1,FALSE,FALSE,TRUE,0,,0,,,1,,0,0,0.6666666667,0,,,,0,,0,0,,
10081,"Name the military unit whose garrison is Arlington County, Virginia and command structure is United States Department of Defense ?",5,2,2,1,19,"http://dbpedia.org/resource/Arlington_County,_Virginia,http://dbpedia.org/resource/United_States_Department_of_Defense",3,FALSE,TRUE,TRUE,0.5714285714,1,0.6666666667,0,0,0.6666666667,0.6666666667,,0.5,0.25,0.75,,,0.6666666667,0.3636363636,0.4,0.5714285714,0.5714285714,1,0
10082,what are some devices made by asus ?,3,1,1,1,7,http://dbpedia.org/resource/Asus,1,FALSE,TRUE,FALSE,,1,,,,1,1,,,0.6666666667,0,,,,,,,,,
10083,Count the number of people who graduated from universities affiliated with the NCAA. ?,4,1,1,1,13,http://dbpedia.org/resource/National_Collegiate_Athletic_Association,4,FALSE,FALSE,FALSE,1,,1,0,0,1,1,0.6666666667,1,1,0.5,0,0,,0.5,0,1,0,1,0
10084,Is Queen Latifah associated with Afrika Baby Bam ?,3,1,2,0,8,"http://dbpedia.org/resource/Afrika_Baby_Bam,http://dbpedia.org/resource/Queen_Latifah",3,FALSE,TRUE,TRUE,1,1,1,,0.5,0.5,0.5,1,1,1,1,,,1,0.6666666667,0.8,0.6666666667,1,1,0
10085,Count all that was built by a company whose leader is Kazuo Hirai ?,3,1,1,0,13,http://dbpedia.org/resource/Kazuo_Hirai,2,FALSE,TRUE,TRUE,1,1,1,1,0,1,1,0.6666666667,1,0,1,,0,1,1,0.6666666667,1,0.6666666667,1,0
10086,What is the largest city in the country where the San Marcos River originates ?,4,2,1,1,14,http://dbpedia.org/resource/San_Marcos_River,3,FALSE,TRUE,TRUE,1,1,1,,,1,,1,1,0.6666666667,0.5,,,1,1,0.4,1,1,1,
10087,Give a list of all the labels that have jazz fusion artists signed up with them ?,4,2,1,1,16,http://dbpedia.org/resource/Jazz_fusion,2,FALSE,TRUE,FALSE,,1,,,,1,,,,1,0.6666666667,,,,,0.5,,,,
10088,Name the major shrine of Bogumilus ?,2,1,1,0,6,http://dbpedia.org/resource/Bogumilus,1,FALSE,TRUE,TRUE,,1,,,,,,1,1,1,0,0,,1,0.6666666667,,,0,,
10089,List the religion of people in the Cambodian human rights party ?,4,2,1,1,11,http://dbpedia.org/resource/Human_Rights_Party_(Cambodia),3,FALSE,FALSE,FALSE,0,0,0,,,0.6666666667,,0,0,0,0,,,,0,0.2857142857,0,,,
10090,Count the wars in which people awarded with the Croix de guerre fought. ?,4,0,1,1,13,http://dbpedia.org/resource/Croix_de_guerre_1939–1945_(France),4,FALSE,FALSE,FALSE,0,0,0,,0,0,,,0,0,0,,,0,0,,,,,
10091,"Which location of  INKAS is also the location of  T.I. Ahmadiyya Senior High School, Kumasi ?",4,1,2,0,15,"http://dbpedia.org/resource/INKAS,http://dbpedia.org/resource/T.I._Ahmadiyya_Senior_High_School,_Kumasi",1,FALSE,TRUE,TRUE,0,0.8,0,0,0,0,0,,,0,0,0,,,0.2857142857,0,0,,1,0
10092,How many battles have involved commanders of 1st Free French Division ?,3,0,1,0,11,http://dbpedia.org/resource/1st_Free_French_Division,4,FALSE,TRUE,TRUE,1,1,1,,,1,,,1,0.5,0.6666666667,,,1,,0.4,0,1,,
10093,Count the number of cities on the Mediterranean Sea ?,2,0,1,0,9,http://dbpedia.org/resource/Mediterranean_Sea,2,FALSE,TRUE,TRUE,1,1,1,,0,1,0,0.6666666667,0.6666666667,0.5,1,0.6666666667,,1,0.6666666667,0.5,1,1,1,0
10094,Which researchers received fellowship from Royal Society ?,3,1,1,1,7,http://dbpedia.org/resource/Royal_Society,2,FALSE,TRUE,TRUE,1,,1,,0,1,,1,0.6666666667,0.5,,,,,0.6666666667,1,1,0.6666666667,1,0
10095,what are some famous people out of the Filipinos ?,2,1,1,0,9,http://dbpedia.org/resource/Filipinos,1,FALSE,TRUE,TRUE,,,,,,,,0,0,0.6666666667,0,,,,0,0,,0,,
10096,To whom was Tessa Dahl born to ?,2,1,1,0,7,http://dbpedia.org/resource/Tessa_Dahl,2,FALSE,TRUE,TRUE,1,1,1,1,0,1,,,1,1,1,,0,1,1,1,1,1,1,0
10097,Was Jack Ryan a nominee of US Senate ?,3,1,2,0,8,"http://dbpedia.org/resource/Jack_Ryan_(politician),http://dbpedia.org/resource/United_States_Senate",2,FALSE,FALSE,TRUE,0,0.6666666667,0.5,0,,1,,,0.5,0.5,0.6666666667,,0,0,0.5,0.3333333333,0.5,0.5,1,
10098,Count the number of religions followed by the alumini of Ananda College. ?,3,2,1,0,12,http://dbpedia.org/resource/Ananda_College,2,FALSE,TRUE,TRUE,1,1,1,,1,1,,0.6666666667,0.6666666667,0.6666666667,0.5,1,,1,0.6666666667,0.5,1,0.6666666667,1,1
10099,What is the river whose source is Cowombat  Flat and has it's mouth located in Murray Mouth ?,5,2,2,1,17,"http://dbpedia.org/resource/Cowombat_Flat,http://dbpedia.org/resource/Murray_Mouth",2,FALSE,FALSE,TRUE,0.6666666667,0.6666666667,0.6666666667,,0,0.6666666667,,0.6666666667,0.6666666667,0.5,0.6666666667,,,0.6666666667,0.6666666667,0.3333333333,0.6666666667,0.6666666667,1,0
10100,Who were in the youth clubs that were in season of 2015 Argentine Primera Division ?,3,1,1,0,15,http://dbpedia.org/resource/2015_Argentine_Primera_División,4,FALSE,FALSE,TRUE,0,1,0,,,0,,,0,0,0,,,0,0,0,0,0,,
10101,"From how many coutries do companies come, which are headquartered in the Klang Valley ?",4,0,1,1,14,http://dbpedia.org/resource/Klang_Valley,2,FALSE,TRUE,TRUE,1,1,1,,1,1,,1,1,0.6666666667,,,,1,1,0.6666666667,1,,1,1
10102,What are the border of High Desert (Oregon) ?,2,1,1,0,8,http://dbpedia.org/resource/High_Desert_(Oregon),2,FALSE,FALSE,TRUE,0,,0,,,0,0,0,0,0,0,0,,,0,0,0,0,1,
