QuestionID,Question,TripleSize,RelationTotal,ResourceTotal,ClassTotal,QuestionLength,Resources,WordCountEntity1,AvgWordCount,Special Character,Explicit E1,Explicit E1 and E2,Capital/Small Letters E1,Capital letter E1 and E2,aylienNERagdistis,tagmeNEDlogs,DBpediaNERAgdistis3252,ambiverseNEDlogs,meaningcloudAgdistis,qanary_logs_DBpediaSpotlightNED,meaningCloudNEDnew,textrazorAgdistis,dandiNERAgdistisFINAL,dandilionNEDlogs,OntotextNEDlogs,babelfyAgdistis3000,ambiverseAgdistis,tagmeAgdistis,EntityClassifier_NER_Agdistis,newBabelfyNEDlogs,stanfordAgdistis,ontotextAgdistis,AmbiverseNED 2.0,AmbiverseStanford 2.0
10067,Was Tim Gunn a guest on The Broken Code ?,3,1,1,1,12,http://dbpedia.org/resource/Steven_Moffat,2,0,0,TRUE,0.5,TRUE,0.5,1,1,1,,0,1,,1,1,1,1,,0,1,1,1,1,1,1,0
10069,What system is both a platform where Nord runs and also distributed The beauty inside ?,2,0,1,0,6,http://dbpedia.org/resource/21Vianet,1,0,0.5,TRUE,0.5,TRUE,0.5,,1,,,,,,,,1,0,,,,,,,,,
10070,Is Tirana the largest city of Albania ?,4,2,2,0,13,"http://dbpedia.org/resource/Arthur_D._Levinson,http://dbpedia.org/resource/Sherlock_(software)",0,1.5,0,FALSE,0,TRUE,1,0.5,0.5,0.5,0,,0.5,,0.5,0.5,0.5,0,,,0.5,0.5,0.5,0.5,0.5,1,
10071,what are some common games played at both Fr Agnel Multipurpose School and Vishwajyot High School ?,2,1,1,0,12,http://dbpedia.org/resource/South_Loop_Printing_House_District,5,0,0,TRUE,0.5,TRUE,0.5,,1,,,1,0,,1,1,1,1,,,1,1,1,1,1,1,1
10078,What is the common school of Chris Marve and Neria Douglass ?,3,1,2,0,5,"http://dbpedia.org/resource/Ombla,http://dbpedia.org/resource/Croatia",0,1,0,TRUE,1,TRUE,1,0.5,1,1,,,0.5,0.5,1,0.5,0,1,,,1,1,,0.5,1,1,
10079,What relegious affiliation of Josiah Idowu-Fearon was canonized by john of Damasucs ?,3,0,2,0,6,"http://dbpedia.org/resource/Ganymede_(moon),http://dbpedia.org/resource/Galileo_Galilei",0,1.5,0,FALSE,0.5,TRUE,1,0.5,1,0.5,,0.5,1,0.5,0.5,0.5,0.5,1,0.5,,0.5,0.5,0.5,0.5,0.5,1,0.5
10081,"Name the military unit whose garrison is Arlington County, Virginia and command structure is United States Department of Defense ?",4,2,1,1,16,http://dbpedia.org/resource/He's_a_Liar,3,0,0,TRUE,0.5,FALSE,0,,1,,,,,,,0,0,0,0,,,0,0,,0,,
10084,Is Queen Latifah associated with Afrika Baby Bam ?,2,1,1,0,7,http://dbpedia.org/resource/Allen_Walker,2,0,0,TRUE,0.5,TRUE,0.5,0,,0,0,0,0,,0,0,1,,,0,,0,,0,0,,
10091,"Which location of  INKAS is also the location of  T.I. Ahmadiyya Senior High School, Kumasi ?",4,2,2,0,12,"http://dbpedia.org/resource/Publius_Servilius_Vatia_Isauricus_(consul_48_BC),http://dbpedia.org/resource/Marcus_Calpurnius_Bibulus",0,3.5,0,FALSE,0.5,TRUE,1,0.5,0.5,0.5,,0.5,0.5,,,0.5,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,1,1
10097,Was Jack Ryan a nominee of US Senate ?,4,2,2,0,12,"http://dbpedia.org/resource/Saima_Chowdhury,http://dbpedia.org/resource/Edmund_John",0,2,0,TRUE,1,FALSE,0,,0.5,,,,0,0,,,0.5,0,,,,0,0.5,,0,,
10099,What is the river whose source is Cowombat  Flat and has it's mouth located in Murray Mouth ?,4,2,2,0,13,"http://dbpedia.org/resource/Cathedral_Peak_(California),http://dbpedia.org/resource/Mount_Hoffmann",0,2,0,FALSE,0.5,TRUE,1,0,1,1,0,,1,0,1,1,0.5,1,,0,1,1,0.5,0.5,1,1,0
10107,Name the common associate band of Blayse and Teddy Riley ?,3,1,1,1,7,http://dbpedia.org/resource/Indiana,1,0,0,TRUE,0.5,TRUE,0.5,1,,1,1,0,1,1,1,1,1,0,1,0,,1,0,1,1,1,0
10109,Does the merlin express have a hub at the cibano international airport ?,2,1,1,0,6,http://dbpedia.org/resource/Swedish_Covenant_Hospital,3,0,0,TRUE,0.5,FALSE,0,,1,1,,,1,,,1,1,1,,,1,1,1,,1,,
10119,Rashid Behbudov State Song Theatre and Baku Puppet Theatre can be found in which country ?,4,2,2,0,16,"http://dbpedia.org/resource/Girl_from_the_North_Country,http://dbpedia.org/resource/Moondog_Matinee",0,3.5,0,TRUE,1,FALSE,0.5,0,1,0,,0,0.5,,0,0,1,0,0,,,0,0.5,,0,,
10124,Does the US route 281 have a junction at San Antonio ?,4,2,2,0,13,"http://dbpedia.org/resource/Freedom_of_the_City,http://dbpedia.org/resource/Trinity_House",0,3,0,TRUE,1,FALSE,0.5,0.5,0.5,0.5,,0,0.5,,0.5,0.5,1,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,1,0
10125,Name the company whose one of the product is Pixar Image Computer and has one of the key person as Edwin Catmull ?,3,0,2,0,6,"http://dbpedia.org/resource/Reza_Amrollahi,http://dbpedia.org/resource/Iran",0,1.5,0,TRUE,1,TRUE,1,0.5,1,0.5,,0.5,0.5,0.5,1,1,1,1,,,1,1,0.5,1,1,1,0.5
10128,Which executive producer of the ultimate merger is also an important person at Trump Productions ?,4,2,2,0,11,"http://dbpedia.org/resource/Roh_Tae-woo,http://dbpedia.org/resource/Lee_Leffingwell",0,2.5,0,FALSE,0.5,TRUE,1,0.5,1,1,0,0.5,1,,1,1,1,1,0.5,0,1,1,0.5,1,1,1,0
10129,Is KOMC-FM the sister station of KOMC (AM) ?,3,2,1,0,12,http://dbpedia.org/resource/Sapindales,1,0,0,TRUE,0.5,TRUE,0.5,,1,,,,1,,,,1,,,,,,1,,,,
10130,Do the asiana airlines fly  to Jeju airport ?,4,1,1,1,14,http://dbpedia.org/resource/Lewis_Hamilton,2,0,0,TRUE,0.5,TRUE,0.5,1,1,1,,,1,1,1,1,1,,,,1,1,1,1,1,1,
10136,Did Henry Ford design the Model C ?,2,1,1,0,7,http://dbpedia.org/resource/Michael_Hahn,2,0,0,TRUE,0.5,FALSE,0,1,1,1,,,1,,1,1,1,1,,,1,0,0,0,1,1,
10142,Is Bacillus belong to the domain Bacteria ?,4,2,1,1,12,http://dbpedia.org/resource/Berlin,1,0,0,TRUE,0.5,TRUE,0.5,1,,1,1,,1,1,1,1,0,1,1,,,1,1,1,1,1,
10144,"What political party has governed both in Baraily,MP and Jowai ?",3,1,1,0,14,http://dbpedia.org/resource/India,1,0,0,TRUE,0.5,TRUE,0.5,1,1,1,1,0,1,1,1,1,0,0,1,0,,1,1,1,1,1,0
10147,Was Duanne Allman known to play the Les Paul ?,3,0,2,0,7,"http://dbpedia.org/resource/Gwo_ka,http://dbpedia.org/resource/West_Africa",0,2,0,TRUE,0.5,TRUE,1,,0.5,0.5,,,0.5,0.5,1,0,0,1,,,0.5,1,1,1,1,1,
10154,Was A foreign policy on freedom covered by John Trumbull ?,3,1,1,0,16,http://dbpedia.org/resource/Roundhead_(Wyandot),1,0,0,FALSE,0,TRUE,0.5,0,0,0,,,1,,,0,0,0,0,,0,0,0,0,,1,
10159,Which magazine's publisher is Jann Wenner and founded by Ralph J. Gleason ?,3,1,1,1,6,http://dbpedia.org/resource/David_Johnston,2,0,0,TRUE,0.5,TRUE,0.5,1,0,1,,,1,,1,1,1,,0,,1,1,0,1,1,1,
10160,Which television show's network  is BBC HD and is related to Doctor Who Confidential ?,4,1,1,1,16,http://dbpedia.org/resource/François-Marie_Le_Marchand_de_Lignery,6,0,0,FALSE,0,FALSE,0,,1,,0,,,,1,1,0,0,0,0,1,,0,1,,,
10163,Which river ends at  Thames Estuary and North Sea ?,2,1,1,0,5,http://dbpedia.org/resource/Antonio_Giannini,2,0,0,TRUE,0.5,TRUE,0.5,,1,1,0,,1,,1,1,1,,,,1,1,,1,1,,
10166,Does Mr. Jim's Pizza operate in the pizza industry ?,2,1,1,0,5,http://dbpedia.org/resource/David_Scherman,2,0,0,TRUE,0.5,TRUE,0.5,,1,,1,,,,,1,1,1,,0,1,1,1,1,1,1,
10168,Who had  Joe Purcell and Winston Bryant as lieutenants ?,4,2,1,1,10,http://dbpedia.org/resource/Minjoo_Party_of_Korea,3,0,0,FALSE,0,TRUE,0.5,0,,0,,,0,,,0,0,0,0,,,0,0,,0,,
10169,Did stan lee narrate the incredible hulk tv show ?,3,2,1,0,18,http://dbpedia.org/resource/McDonnell_Aircraft,2,0,0,TRUE,0.5,TRUE,0.5,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1
10171,"What is common between sports played at Fr Agnel School and Jr college, and the genre of Virtual Kasparov ?",4,2,1,1,14,"http://dbpedia.org/resource/Gales_Ferry,_Connecticut",3,0,0,TRUE,0.5,TRUE,0.5,1,1,1,0,1,1,0,,1,0,0,,,1,1,1,0,1,1,
10173,Name the river flowing through Reading and source place as Gloucestershire ?,2,1,1,0,7,"http://dbpedia.org/resource/Live_in_Detroit,_MI",4,0,0,TRUE,0.5,FALSE,0,0,1,0,,,0,0,0,,0,,,,,0,1,0,0.5,1,
10174,Who was in conflicts of Fort Barrancas and Gadsden ?,2,0,1,0,13,http://dbpedia.org/resource/England_national_under-21_football_team,4,0,0,FALSE,0,FALSE,0,,0,,,,0,,,,0,0,0,,,0,0,,0,,
10181,Name the TV show whose network is NBC and is the subsequent work of Fraiser ?,3,2,1,0,12,http://dbpedia.org/resource/Timmy_Time,2,0,0,TRUE,0.5,TRUE,0.5,,1,,,0,1,,,0,1,0,,,,0,0,,0,1,0
10182,Does chicago own the washington station on the CTA Blue Line ?,3,0,1,0,16,"http://dbpedia.org/resource/Rosario,_Santa_Fe",3,0,0,TRUE,0.5,TRUE,0.5,1,1,1,0,,1,0.5,,1,0,1,1,,1,1,1,1,1,1,1
10191,"What country is Jeffrey Werleman from, which also has the American Mediterranean Sea ?",4,2,1,1,10,http://dbpedia.org/resource/Animal,1,0,0,TRUE,0.5,FALSE,0,,,,,,0,,,0,1,0,,,,0,0,,,,
10194,Is Tea the main ingredient of Lahpet ?,3,0,1,0,10,http://dbpedia.org/resource/Non-governmental_organization,1,0,0,FALSE,0,TRUE,0.5,,,1,,,1,,0,,,,,,,1,,,0,,
10195,Which tenant of New Sanno Hotel is the military branch of the Gary Holder-Winfield ?,3,0,1,0,12,http://dbpedia.org/resource/Motor_vehicle,1,0,0,FALSE,0,FALSE,0,,,,,,,,,,0,,,,,,,,,,
10204,Does Caroline Augusta Foley Rhys Davids study Buddhism ?,3,1,2,0,10,"http://dbpedia.org/resource/Steve_Sampson,http://dbpedia.org/resource/Santa_Clara_University",0,2.5,0,TRUE,1,TRUE,0.5,1,1,1,0.5,1,1,,1,1,1,1,,0,1,0.5,1,0.5,1,1,0.5
10216,Was Derg the anthem of Ethopia ?,4,2,1,1,15,"http://dbpedia.org/resource/Front-engine,_four-wheel-drive_layout",2,0,0.5,FALSE,0,FALSE,0,,,0,,,0,,0,0,0,0,0,,,0,0,,,,
10222,Was the  2d Command and Control Squadron barracked in Colorado ?,2,1,1,0,7,http://dbpedia.org/resource/Pong_Pha,2,0,0,TRUE,0.5,TRUE,0.5,0,1,0,,1,0,,1,1,1,1,,,1,1,0,1,1,,
10232,Is Hyundai Lavita assembled in Malaysia ?,4,2,2,0,12,"http://dbpedia.org/resource/Angela_Trusty,http://dbpedia.org/resource/Charles_Ayres",0,2,0,TRUE,1,TRUE,1,,1,,0,0,0,,1,,,0,,0,1,1,0.5,1,1,1,0
10238,Name the common university of the Cardinal and Jim Wylie ?,4,2,1,1,9,http://dbpedia.org/resource/English_language,1,0,0,FALSE,0,TRUE,0.5,,,0,,,1,,,0,1,,,,,0,1,0,0,,
10242,What political ideology of the Palang Dharma Party is relegion of Inthakin ?,4,2,2,0,8,"http://dbpedia.org/resource/Aureus,http://dbpedia.org/resource/Solidus_(coin)",0,1,0,TRUE,0.5,TRUE,1,,0.5,,,,,,0.5,0.5,0.5,1,,,0,0.5,,0,0.5,1,
10245,Is Mike Babcock the head coach of Toronto Maple Leafs ?,3,1,2,0,8,"http://dbpedia.org/resource/Chestnut_white-bellied_rat,http://dbpedia.org/resource/Mammal",0,2.5,0,FALSE,0.5,FALSE,0,,1,,,,0.5,,,,1,0.5,0,,,,0.5,,,,
10246,Is Audie Murphy buried in the Arlington national cementery ?,3,0,2,0,9,"http://dbpedia.org/resource/The_Broken_Code,http://dbpedia.org/resource/Tim_Gunn",0,2.5,0,TRUE,1,TRUE,1,0.5,1,0.5,0.5,0.5,0.5,,0.5,0.5,1,1,,0,0.5,0.5,0.5,0.5,0.5,1,1
10251,"Does the St lawrence river start in Kingston, Ontario ?",4,2,1,1,11,http://dbpedia.org/resource/Shallot,1,0,0,TRUE,0.5,TRUE,0.5,,1,,,,,,,,1,0,,,,,,,,,
10256,What is the television show whose subsequent work is Crusade (TV series) and developed by  J. Michael Straczynski ?,4,2,2,0,15,"http://dbpedia.org/resource/Nord_(video_game),http://dbpedia.org/resource/The_Beauty_Inside",0,2,0,FALSE,0.5,TRUE,0.5,0,0,0,,0,0,0,0,,0,0,,,,0,0,0,0,1,0
10262,Does the Westchester Avenue fall under the Bronx ?,3,0,2,0,7,"http://dbpedia.org/resource/Albania,http://dbpedia.org/resource/Tirana",0,1,0,TRUE,1,TRUE,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,0.5,1,1,1,1
10263,Count the total number of software whose programming language is C++ and operating system is Microsoft Windows ?,4,2,2,0,16,"http://dbpedia.org/resource/Fr._Agnel_Multipurpose_School_and_Junior_College,http://dbpedia.org/resource/Vishwajyot_High_School",0,3.5,0,FALSE,0.5,TRUE,1,,1,,,,,,1,0.5,0.5,0,,,0.5,1,0.5,0.5,0.5,,
10265,Does NOAAS Davidson (S 331) have a homeport in Seattle ?,2,1,1,0,13,http://dbpedia.org/resource/Bob_Hawke,2,0,0,TRUE,0.5,FALSE,0,,1,,,,1,,,,1,,,,,0,1,,,,
10269,Is michelangelo the painter of The Persian Boy ?,4,2,1,1,8,http://dbpedia.org/resource/Taguig,1,0,0,TRUE,0.5,TRUE,0.5,1,1,1,1,,1,1,1,1,1,0,,,,1,,1,1,1,
10272,Name the TV show whose opening theme is Gary Portnoy and the subsequent work is Frasier ?,2,1,1,0,8,http://dbpedia.org/resource/Raymond_Johansen,2,0,0,TRUE,0.5,TRUE,0.5,1,1,1,,,1,,1,1,1,0,1,,1,1,1,1,,1,
10276,Is Compaq a software company ?,4,2,1,1,12,http://dbpedia.org/resource/Ikaros_Smederna,2,0,0,TRUE,0.5,TRUE,0.5,1,1,1,,0,1,0,1,1,1,1,1,,1,1,0,1,,1,1
10278,Was the FIS Alpine World Ski Championship of 1950 held in Colorado ?,4,2,1,1,11,http://dbpedia.org/resource/Microsoft_Windows,1,0,0,FALSE,0,FALSE,0,,,,,,,,,,1,,,,,,,,,,
10289,Is National Archaeological Museum (Florence) the museum of Chimera of Arezzo ?,3,2,1,0,11,http://dbpedia.org/resource/Hockey,1,0,0,TRUE,0.5,FALSE,0,,,,,,,,0,0,1,0,0,,,0,0,,0,,
10291,Does the Vadodara Railway station lie at the end of the Mathura Vadodara route ?,4,2,2,0,11,"http://dbpedia.org/resource/Chris_Marve,http://dbpedia.org/resource/Neria_Douglass",0,2,0,TRUE,1,TRUE,1,,1,,0,0.5,0,,1,1,1,1,0.5,,1,1,0.5,1,1,1,1
10292,"Give me all commanders which had an important role in both, the Battle of Fort Stephenson and Battle of the Thames ?",4,2,2,0,12,"http://dbpedia.org/resource/John_of_Damascus,http://dbpedia.org/resource/Josiah_Idowu-Fearon",0,2.5,0.5,FALSE,0.5,FALSE,0.5,,0.5,,,0.5,0,0,0.5,0.5,0.5,0.5,,,0.5,0.5,,0.5,0.5,,
10302,Count the number of shows whose creators are Jerry Seinfeld and Larry David ?,4,2,1,1,8,http://dbpedia.org/resource/Caspian_Sea,1,0,0,FALSE,0,TRUE,0.5,0,,0,,,1,,0,0,1,0,,,,0,,0,0,,
10304,Which wine region of Bogdanua is the mouth country of Upper Neretva ?,5,2,2,1,19,"http://dbpedia.org/resource/Arlington_County,_Virginia,http://dbpedia.org/resource/United_States_Department_of_Defense",0,4,0,TRUE,1,TRUE,0.5,0.6666666667,1,0.6666666667,0,0,0.6666666667,0.6666666667,,0.6666666667,0.3333333333,1,,,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,1,0
10308,What is the military conflict whose commanders are John McEwen and Phm Vn ng ?,3,1,1,1,7,http://dbpedia.org/resource/Asus,1,0,0,TRUE,0.5,FALSE,0,,1,,,,1,1,,,1,0,,,,,,,,,
10313,Did Hank Williams Jr. make Early in the Morning and Late at Night ?,4,1,1,1,13,http://dbpedia.org/resource/National_Collegiate_Athletic_Association,1,0,0,FALSE,0,TRUE,0.5,1,,1,0,0,1,1,1,1,1,1,0,0,,1,0,1,0,1,0
10314,Is Pixar Canada a subsidiary of Pixar ?,3,1,2,0,8,"http://dbpedia.org/resource/Afrika_Baby_Bam,http://dbpedia.org/resource/Queen_Latifah",0,2.5,0,TRUE,1,TRUE,1,1,1,1,,0.5,0.5,0.5,1,1,1,1,,,1,0.5,1,0.5,1,1,0
10320,Was the Army Air Corps honored for the battle of Iraq ?,3,1,1,0,13,http://dbpedia.org/resource/Kazuo_Hirai,2,0,0,TRUE,0.5,TRUE,0.5,1,1,1,1,0,1,1,1,1,0,1,,0,1,1,1,1,1,1,0
10323,Is Truth prevails the national motto of Czechoslovakia ?,4,2,1,1,14,http://dbpedia.org/resource/San_Marcos_River,3,0,0,TRUE,0.5,TRUE,0.5,1,1,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,
10326,Does the little colorado river flow in the Grand Canyon ?,4,2,1,1,16,http://dbpedia.org/resource/Jazz_fusion,2,0,0,TRUE,0.5,FALSE,0,,1,,,,1,,,,1,1,,,,,1,,,,
10327,Which educational institution of Jack Mcgregor is also the alma mater of Donn barber ?,2,1,1,0,6,http://dbpedia.org/resource/Bogumilus,1,0,0,TRUE,0.5,TRUE,0.5,,1,,,,,,1,1,1,0,0,,1,1,,,0,,
10332,Which board game can be said as a mind based game ?,4,2,1,1,11,http://dbpedia.org/resource/Human_Rights_Party_(Cambodia),3,0,0,FALSE,0,FALSE,0,0,0,0,,,1,,0,0,0,0,,,,0,1,0,,,
10333,Was GM first aired in Albania ?,4,0,1,1,13,http://dbpedia.org/resource/Croix_de_guerre_1939–1945_(France),3,0,0,FALSE,0,FALSE,0,0,0,0,,0,0,,,0,0,0,,,0,0,,,,,
10336,Is Julia Gillard a part of monarch of elizabeth 2 ?,4,1,2,0,15,"http://dbpedia.org/resource/INKAS,http://dbpedia.org/resource/T.I._Ahmadiyya_Senior_High_School,_Kumasi",0,3.5,0.5,TRUE,1,TRUE,1,0,0.6666666667,0,0,0,0,0,,,0,0,0,,,0.3333333333,0,0,,1,0
10338,Where are INKAS located which is also the state of origin for Jojo Chintoh ?,3,0,1,0,11,http://dbpedia.org/resource/1st_Free_French_Division,4,0,0.5,TRUE,0.5,TRUE,0.5,1,1,1,,,1,,,1,1,1,,,1,,1,0,1,,
10344,Is Ella Fitzgerald associated with Mickey Roker ?,2,0,1,0,9,http://dbpedia.org/resource/Mediterranean_Sea,2,0,0,TRUE,0.5,TRUE,0.5,1,1,1,,0,1,0,1,1,1,1,1,,1,1,1,1,1,1,0
10345,Does Cascade Airways have a hub in Seattle ?,3,1,1,1,7,http://dbpedia.org/resource/Royal_Society,2,0,0,TRUE,0.5,TRUE,0.5,1,,1,,0,1,,1,1,1,,,,,1,1,1,1,1,0
10350,Does Gibby Haynes play the saxophone ?,2,1,1,0,9,http://dbpedia.org/resource/Filipinos,1,0,0,TRUE,0.5,TRUE,0.5,,,,,,,,0,0,1,0,,,,0,0,,0,,
10354,Was Tommy Tucker's Tooth animated by Walt Disney ?,2,1,1,0,7,http://dbpedia.org/resource/Tessa_Dahl,2,0,0,TRUE,0.5,TRUE,0.5,1,1,1,1,0,1,,,1,1,1,,0,1,1,1,1,1,1,0
10356,Which publisher of Stone Canoe is also the university for which Michael Powell plays for ?,3,1,2,0,8,"http://dbpedia.org/resource/Jack_Ryan_(politician),http://dbpedia.org/resource/United_States_Senate",0,2,0,FALSE,0,TRUE,1,0,0.5,0.5,0,,1,,,0.5,0.5,0.5,,0,0,0.5,0.5,0.5,0.5,1,
10371,Was Cliff Burton in Metallica ?,3,2,1,0,12,http://dbpedia.org/resource/Ananda_College,2,0,0,TRUE,0.5,TRUE,0.5,1,1,1,,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1
10374,Is Michael Schumacher the first driver of the 1994 grand prix ?,5,2,2,1,17,"http://dbpedia.org/resource/Cowombat_Flat,http://dbpedia.org/resource/Murray_Mouth",0,2,0,FALSE,0.5,TRUE,1,0.5,0.5,0.5,,0,0.5,,0.5,0.5,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,1,0
10376,Does the asiana airlines fly into the Gimhae International Airport ?,3,1,1,0,15,http://dbpedia.org/resource/2015_Argentine_Primera_División,4,0,0.5,FALSE,0,TRUE,0.5,0,1,0,,,0,,,0,0,0,,,0,0,0,0,0,,
