,Questions,LableUri,LabelName,Label WordCount,Explicit,disambiguationClass,CLSNLIOD
54,who all have been a manager of english under twenty one football team,0,0,0,0,0.0,0.0
55,What awards have been won by the executive producer of Timmy Time,0,0,0,0,0.0,0.0
56,"Count all those who've played for the youth club which owns the Rosario, Santa Fe stadium.",0,0,0,0,0.0,0.0
58,Count all the different purposes followed by the different NGOs.,0,0,0,0,0.0,0.0
59,How many things are crossed over by bridges which can carry cars,0,0,0,0,0.0,0.0
60,Did Steve Sampson manage a club of Santa Clara university,0,0,0,0,0.0,0.0
62,In which time zone is Pong Pha,0,0,0,0,0.0,0.0
63,What is the alma mater of the Angela Trusty and Charles Ayres,0,0,0,0,0.0,0.0
64,How many rivers start in an English speaking country,http://dbpedia.org/ontology/River,rivers,1,0,0.0,0.0
65,Where are Aureus and Solidus used as currency,0,0,0,0,0.0,0.0
66,Is the chestnut white bellied rat a mammal,0,0,0,0,0.0,0.0
67,Was Tim Gunn a guest on The Broken Code,0,0,0,0,0.0,0.0
68,In how many nations can I find dishes made of Shallot,http://dbpedia.org/ontology/Country,nations,1,0,0.0,0.0
69,What system is both a platform where Nord runs and also distributed The beauty inside,0,0,0,0,0.0,0.0
70,Is Tirana the largest city of Albania,0,0,0,0,0.0,0.0
71,what are some common games played at both Fr Agnel Multipurpose School and Vishwajyot High School,0,0,0,0,0.0,0.0
72,Who were all the people in office when bob hawke was the PM,0,0,0,0,0.0,0.0
73,Which sports are played at institues in Taguig,http://dbpedia.org/ontology/EducationalInstitution,institues,1,0,0.0,0.0
74,Raymond Johansen is the mayor of what city,0,0,0,0,0.0,0.0
76,What are the kind of games one can play on windows,http://dbpedia.org/ontology/VideoGame,games,1,0,0.0,0.0
77,Count the number of sports played by schools which play hockey,0,0,0,0,0.0,0.0
78,What is the common school of Chris Marve and Neria Douglass,0,0,0,0,0.0,0.0
79,What relegious affiliation of Josiah Idowu-Fearon was canonized by john of Damasucs,0,0,0,0,0.0,0.0
80,Rivers from which countries flow into the Caspian,http://dbpedia.org/ontology/River,rivers,1,0,0.0,0.0
82,what are some devices made by asus,http://dbpedia.org/ontology/InformationAppliance,devices,1,0,0.0,0.0
84,Is Queen Latifah associated with Afrika Baby Bam,0,0,0,0,0.0,0.0
85,Count all that was built by a company whose leader is Kazuo Hirai,0,0,0,0,0.0,0.0
87,Give a list of all the labels that have jazz fusion artists signed up with them,0,0,0,0,0.0,0.0
88,Name the major shrine of Bogumilus,0,0,0,0,0.0,0.0
91,"Which location of  INKAS is also the location of  T.I. Ahmadiyya Senior High School, Kumasi",0,0,0,0,0.0,0.0
92,How many battles have involved commanders of 1st Free French Division,0,0,0,0,0.0,0.0
93,Count the number of cities on the Mediterranean Sea,0,0,0,0,0.0,0.0
95,what are some famous people out of the Filipinos,0,0,0,0,0.0,0.0
96,To whom was Tessa Dahl born to,0,0,0,0,0.0,0.0
97,Was Jack Ryan a nominee of US Senate,0,0,0,0,0.0,0.0
98,Count the number of religions followed by the alumini of Ananda College.,0,0,0,0,0.0,0.0
100,Who were in the youth clubs that were in season of 2015 Argentine Primera Division,0,0,0,0,0.0,0.0
101,"From how many coutries do companies come, which are headquartered in the Klang Valley",0,0,0,0,0.0,0.0
102,What are the border of High Desert (Oregon),0,0,0,0,0.0,0.0
103,What all is owned by a company one of whose division is Paramount Domestic Television,0,0,0,0,0.0,0.0
104,Which musical band produced the subsequent work of City of New Orleans,0,0,0,0,0.0,0.0
105,The authors of Zhorstoke nebo was influenced by whom,0,0,0,0,0.0,0.0
106,Name the largest city in the county where there is a Cy-Fair High School.,0,0,0,0,0.0,0.0
107,Name the common associate band of Blayse and Teddy Riley,0,0,0,0,0.0,0.0
108,"Who is the performer of album which has the song ""To Where You Are""",0,0,0,0,0.0,0.0
109,Does the merlin express have a hub at the cibano international airport,0,0,0,0,0.0,0.0
110,"How many people live in Wilton, Connecticut",0,0,0,0,0.0,0.0
111,For how many different teams have Ontarians been drafted,0,0,0,0,0.0,0.0
112,How many rivers are crossed by different Box Girder bridges,0,0,0,0,0.0,0.0
115,What is the major shrine of Jacques-Dsir Laval,0,0,0,0,0.0,0.0
116,Count the number of actors in Lucy Sullivan Is Getting Married.,0,0,0,0,0.0,0.0
117,To which series does the character of Londo Mollari belong,0,0,0,0,0.0,0.0
118,Count all the scientologists.,0,0,0,0,0.0,0.0
119,Rashid Behbudov State Song Theatre and Baku Puppet Theatre can be found in which country,0,0,0,0,0.0,0.0
120,How many genres of games can I find on the commodore CDTV,0,0,0,0,0.0,0.0
124,Does the US route 281 have a junction at San Antonio,0,0,0,0,0.0,0.0
127,What is the route junction of Rhode Island Route 15,0,0,0,0,0.0,0.0
128,Which executive producer of the ultimate merger is also an important person at Trump Productions,0,0,0,0,0.0,0.0
129,Is KOMC-FM the sister station of KOMC (AM),0,0,0,0,0.0,0.0
130,Do the asiana airlines fly  to Jeju airport,0,0,0,0,0.0,0.0
133,Which motion picture stories were edited by Ishir Honda,0,0,0,0,0.0,0.0
134,Which rivers originate from Dowra,0,0,0,0,0.0,0.0
135,How many TV shows have been created by Simon Fuller,0,0,0,0,0.0,0.0
136,Did Henry Ford design the Model C,0,0,0,0,0.0,0.0
137,How many people are known for Dragons' Den,0,0,0,0,0.0,0.0
139,In which state is the Channel district,0,0,0,0,0.0,0.0
140,Name the religious affiliation of Vagif Aliyev,0,0,0,0,0.0,0.0
141,Count the number of characters of the play whose one of the character is Catwoman,0,0,0,0,0.0,0.0
142,Is Bacillus belong to the domain Bacteria,0,0,0,0,0.0,0.0
143,How many currencies are in used in places where people speak French,0,0,0,0,0.0,0.0
144,"What political party has governed both in Baraily,MP and Jowai",0,0,0,0,0.0,0.0
146,How many writers speak a language belonging to the Germanic kind of languages,http://dbpedia.org/ontology/Writer,writers,1,0,0.0,0.0
147,Was Duanne Allman known to play the Les Paul,0,0,0,0,0.0,0.0
148,For which other teams do members of tanzanian national football team play,0,0,0,0,0.0,0.0
149,How many maintainers are there of the bridges that can carry motor vehicles over them,0,0,0,0,0.0,0.0
150,What is Jon Speelman famous for,0,0,0,0,0.0,0.0
151,What city is the residence of Cheryl Teigs,0,0,0,0,0.0,0.0
152,"Give me a count of everything under the archipelago, where Papeete is the biggest town.",0,0,0,0,0.0,0.0
153,Name the nearest city to  Lake Victoria,0,0,0,0,0.0,0.0
154,Was A foreign policy on freedom covered by John Trumbull,0,0,0,0,0.0,0.0
155,Eric roth wrote how many screenplays,0,0,0,0,0.0,0.0
156,How many have been awarded by the Royal Society,0,0,0,0,0.0,0.0
157,Who are the opponents of Gervase Helwys,0,0,0,0,0.0,0.0
158,With whom is Heinz Kokott a relative to who also served Nazi Army,0,0,0,0,0.0,0.0
160,Which television show's network  is BBC HD and is related to Doctor Who Confidential,http://dbpedia.org/ontology/TelevisionShow,television show,2,1,0.0,0.0
164,Count the number of sports team members  which have player named Matt Williams,0,0,0,0,0.0,0.0
165,How many other awards have been given to people who have won the Golden Globe,http://dbpedia.org/ontology/Award,awards,1,0,0.0,0.0
166,Does Mr. Jim's Pizza operate in the pizza industry,0,0,0,0,0.0,0.0
167,How many other field are there of the scientists whose one of the field is Mathematics,0,0,0,0,0.0,0.0
168,Who had  Joe Purcell and Winston Bryant as lieutenants,0,0,0,0,0.0,0.0
169,Did stan lee narrate the incredible hulk tv show,0,0,0,0,0.0,0.0
170,How many sports are played in organizations presided by Emanuel de Guzman,http://dbpedia.org/ontology/Sport,sport,1,1,0.0,0.0
171,"What is common between sports played at Fr Agnel School and Jr college, and the genre of Virtual Kasparov",0,0,0,0,0.0,0.0
172,How many different genres of games are produced by Blizzard,0,0,0,0,0.0,0.0
174,Who was in conflicts of Fort Barrancas and Gadsden,0,0,0,0,0.0,0.0
176,Name few companies founded in Texas,http://dbpedia.org/ontology/Company,companies,1,0,0.0,0.0
178,Name all those whose spouses have performed with Tony Bennett,0,0,0,0,0.0,0.0
180,Whos a famous relative of anne spielberg,0,0,0,0,0.0,0.0
182,Does chicago own the washington station on the CTA Blue Line,0,0,0,0,0.0,0.0
183,Give the distinct number of other party of the people which have one of the party as Janata Party,0,0,0,0,0.0,0.0
184,"Count the units garrisoned at Arlington County, Virginia.",http://dbpedia.org/ontology/MilitaryUnit,units,1,0,0.0,0.0
185,List all the co-founders of the non for profit which have founding member as David pressman,http://dbpedia.org/ontology/Non-ProfitOrganisation,profit,1,0,0.0,0.0
186,how many companies are located in a spanish speaking region,0,0,0,0,0.0,0.0
187,What are some US citizens famous for,0,0,0,0,0.0,0.0
189,How many golf players are there in Arizona State Sun Devils,0,0,0,0,0.0,0.0
190,Which rivers start in Wyoming,0,0,0,0,0.0,0.0
191,"What country is Jeffrey Werleman from, which also has the American Mediterranean Sea",0,0,0,0,0.0,0.0
193,Who coached the marquet golden eagels during 2013,0,0,0,0,0.0,0.0
194,Is Tea the main ingredient of Lahpet,0,0,0,0,0.0,0.0
195,Which tenant of New Sanno Hotel is the military branch of the Gary Holder-Winfield,0,0,0,0,0.0,0.0
196,How many destinations are covered by the airlines which also serves Europe,0,0,0,0,0.0,0.0
197,How many famous people are born in Long Island,0,0,0,0,0.0,0.0
201,Name the sitcoms whose network's owning company is Chris-Craft Industries,0,0,0,0,0.0,0.0
202,How many developers have games where I can hear Lightning McQueen,0,0,0,0,0.0,0.0
203,List the ingredient of Blodpalt,0,0,0,0,0.0,0.0
204,Does Caroline Augusta Foley Rhys Davids study Buddhism,0,0,0,0,0.0,0.0
205,Who is the performer of Bengali in Platforms,0,0,0,0,0.0,0.0
206,"In how many other states do people live, whose languages are spoken in Nebraska",0,0,0,0,0.0,0.0
207,What are some fictional characters whose voice is in the peanuts movie,0,0,0,0,0.0,0.0
208,What is the total number of other tenant of the stadia whose one of the tenant is Raptors 905,0,0,0,0,0.0,0.0
209,In how many places have Irishmen died,http://dbpedia.org/ontology/Location,0.0,0,0,0.0,0.0
210,List the stadium of the teams which uses Nea Smyrni  as one of the stadium,0,0,0,0,0.0,0.0
212,Who is a successor of Kingship whose parents were Julius Caesar,0,0,0,0,0.0,0.0
214,How many people have voiced characters sculpted by Clamp,0,0,0,0,0.0,0.0
215,What team has  players  born in Dominican Republic,0,0,0,0,0.0,0.0
216,Was Derg the anthem of Ethopia,0,0,0,0,0.0,0.0
218,How many other characters are there of the plays which has a  characters name Joker (comics),0,0,0,0,0.0,0.0
219,For how many other teams have the former players of Boston Bruins played,http://dbpedia.org/ontology/SportsTeam,team,1,0,0.0,0.0
220,Count the different origins of members of the Vitis Vinifera species.,0,0,0,0,0.0,0.0
221,Who is the author of Karakuri Dji Ultimo,0,0,0,0,0.0,0.0
222,Was the  2d Command and Control Squadron barracked in Colorado,0,0,0,0,0.0,0.0
223,"Who is the founder of Hohenau, Paraguay",0,0,0,0,0.0,0.0
225,Count the number teams which have  former ice hockey players which also included American Hockey League,0,0,0,0,0.0,0.0
226,Members of how many political parties have died in Delhi,0,0,0,0,0.0,0.0
227,"To how many places does the airlines fly, whose head office is located at the Gatwick Airport",0,0,0,0,0.0,0.0
228,Which political figures were awarded Screen Actors Guild Life Achievement Award,0,0,0,0,0.0,0.0
229,Where do current famous NatGeo photographers live,0,0,0,0,0.0,0.0
230,How many awards have been given to Italians,0,0,0,0,0.0,0.0
231,How many different layouts do cars designed by Oliver Boulay have,0,0,0,0,0.0,0.0
232,Is Hyundai Lavita assembled in Malaysia,0,0,0,0,0.0,0.0
233,How many other Guests are there of the television episodes whose Guests is Brian d'Arcy James,0,0,0,0,0.0,0.0
235,Who died due to Morphine,0,0,0,0,0.0,0.0
236,How many mammals are in the Chordate phylum,http://dbpedia.org/ontology/Mammal,mammal,1,1,0.0,0.0
237,How many people were opponents of the ones buried in the tower of London,0,0,0,0,0.0,0.0
238,Name the common university of the Cardinal and Jim Wylie,0,0,0,0,0.0,0.0
239,Name the species of Southwest African lion,0,0,0,0,0.0,0.0
240,From how many different institutes have the members of Judge Advocate General's Corps graduated,0,0,0,0,0.0,0.0
241,In how many different places have ehtics philosophers died,0,0,0,0,0.0,0.0
242,What political ideology of the Palang Dharma Party is relegion of Inthakin,0,0,0,0,0.0,0.0
243,Where did Fort Lauderdale Strikers season of 16 take place,0,0,0,0,0.0,0.0
245,Is Mike Babcock the head coach of Toronto Maple Leafs,0,0,0,0,0.0,0.0
246,Is Audie Murphy buried in the Arlington national cementery,0,0,0,0,0.0,0.0
247,What honours did Reigh Count receive,0,0,0,0,0.0,0.0
248,How many people have written stuff broadcasted on the Tokyo Broadcasting System,0,0,0,0,0.0,0.0
251,"Does the St lawrence river start in Kingston, Ontario",0,0,0,0,0.0,0.0
252,Give me an estimate of the number of manufacturers whose products are managed by MTR,0,0,0,0,0.0,0.0
255,What type of government is elected in Kumta,0,0,0,0,0.0,0.0
259,Who is the performer of the album whose subsequent work is Willie Nelson and Family,0,0,0,0,0.0,0.0
260,Name the debut team of Dan Otero,0,0,0,0,0.0,0.0
261,How many utopian and dystopian fiction books are there,0,0,0,0,0.0,0.0
262,Does the Westchester Avenue fall under the Bronx,0,0,0,0,0.0,0.0
263,Count the total number of software whose programming language is C++ and operating system is Microsoft Windows,0,0,0,0,0.0,0.0
264,How many albums were released under the Victor Entertainment label,http://dbpedia.org/ontology/Album,album,1,1,0.0,0.0
265,Does NOAAS Davidson (S 331) have a homeport in Seattle,0,0,0,0,0.0,0.0
266,Which company owns Evraz,0,0,0,0,0.0,0.0
267,Who is the leader of Panki block,0,0,0,0,0.0,0.0
268,Name the species of Liger,0,0,0,0,0.0,0.0
269,Is michelangelo the painter of The Persian Boy,0,0,0,0,0.0,0.0
270,Which television shows has sound format as 5.1 surround,http://dbpedia.org/ontology/TelevisionShow,television show,2,1,0.0,0.0
271,Where is the capital of Kelsey Creek located,0,0,0,0,0.0,0.0
273,How many movies did Joel Schumacher direct,http://dbpedia.org/ontology/Film,movie,1,0,0.0,0.0
274,How many games are played at universities in Metro Manilla,0,0,0,0,0.0,0.0
275,Who is the owner of Saumarez,0,0,0,0,0.0,0.0
276,Is Compaq a software company,0,0,0,0,0.0,0.0
277,How many owners are there of things located in Alabama,0,0,0,0,0.0,0.0
278,Was the FIS Alpine World Ski Championship of 1950 held in Colorado,0,0,0,0,0.0,0.0
279,How many cities are around the sea into which the aegean sea flows,http://dbpedia.org/ontology/Sea,sea,1,1,0.0,0.0
280,How many buildings are located in the jurisdiction of John Tory,0,0,0,0,0.0,0.0
282,Whose doctoral student is etienne bieler\xc9tienne_Bi\xe9ler,0,0,0,0,0.0,0.0
284,what awards have been giving to Muhammad Yunus,0,0,0,0,0.0,0.0
285,How many teams have LA kings players in them currently,http://dbpedia.org/ontology/SportsTeam,team,1,0,0.0,0.0
286,List the opponents of the relatives of Thomas Helwys,0,0,0,0,0.0,0.0
287,What is the region of Tom Perriello,0,0,0,0,0.0,0.0
289,Is National Archaeological Museum (Florence) the museum of Chimera of Arezzo,0,0,0,0,0.0,0.0
290,Who are the associate musical artists of Dalma Kovcs,0,0,0,0,0.0,0.0
291,Does the Vadodara Railway station lie at the end of the Mathura Vadodara route,0,0,0,0,0.0,0.0
292,"Give me all commanders which had an important role in both, the Battle of Fort Stephenson and Battle of the Thames",0,0,0,0,0.0,0.0
293,What is the commander of Battle of Brownstown,0,0,0,0,0.0,0.0
295,How many religions are practiced by diplomats,0,0,0,0,0.0,0.0
297,List down the prime ministers of Peter Thorneycroft,0,0,0,0,0.0,0.0
298,list some companies founded by Jim Harris.,0,0,0,0,0.0,0.0
299,"What has been founded in the state that Denton county, Texas is a part of",0,0,0,0,0.0,0.0
300,How many,0,0,0,0,0.0,0.0
301,How many writers worked on the album Main Course,0,0,0,0,0.0,0.0
302,Count the number of shows whose creators are Jerry Seinfeld and Larry David,0,0,0,0,0.0,0.0
303,How many broadcast area of the television stations exists whose broadcast area is Rodrigues,0,0,0,0,0.0,0.0
304,Which wine region of Bogdanua is the mouth country of Upper Neretva,0,0,0,0,0.0,0.0
305,Under whom did Charles Drummond Ellis do his PhD,0,0,0,0,0.0,0.0
306,Who founded the Not on our Watch NGO,0,0,0,0,0.0,0.0
307,Who first ascented a mountain of Mount Hoffmann,0,0,0,0,0.0,0.0
309,In how many countries do the rivers start which end at the Caspian Sea,http://dbpedia.org/ontology/Country,countries,1,0,0.0,0.0
311,Which holy things canonized John of Damascus,0,0,0,0,0.0,0.0
313,Did Hank Williams Jr. make Early in the Morning and Late at Night,0,0,0,0,0.0,0.0
314,Is Pixar Canada a subsidiary of Pixar,0,0,0,0,0.0,0.0
315,List some leaders of regions in the Indian Standard Time Zone,0,0,0,0,0.0,0.0
317,List the notable work of David Isaacs (writer),0,0,0,0,0.0,0.0
320,Was the Army Air Corps honored for the battle of Iraq,0,0,0,0,0.0,0.0
321,How many people have played for a club whose coach is Fred Hoiberg,0,0,0,0,0.0,0.0
322,How many relatives are there of people fought in the Battle of the Bulge,0,0,0,0,0.0,0.0
323,Is Truth prevails the national motto of Czechoslovakia,0,0,0,0,0.0,0.0
324,Who was the bronze medalist of Swimming at the 2008 Summer Olympics  Men's 400 metre individual medley,0,0,0,0,0.0,0.0
325,Which football players have Newell's Old Boys as youthclub,0,0,0,0,0.0,0.0
326,Does the little colorado river flow in the Grand Canyon,0,0,0,0,0.0,0.0
327,Which educational institution of Jack Mcgregor is also the alma mater of Donn barber,0,0,0,0,0.0,0.0
328,How many religions are followed by the people in the Royal Thai Army,0,0,0,0,0.0,0.0
329,From which state do the White Plum Asangas come,0,0,0,0,0.0,0.0
330,List the ceremonial county of East Tilbury,0,0,0,0,0.0,0.0
331,How many people are there who have relationship with Kennedy family,0,0,0,0,0.0,0.0
332,Which board game can be said as a mind based game,0,0,0,0,0.0,0.0
333,Was GM first aired in Albania,0,0,0,0,0.0,0.0
334,How many games have a publisher based in US,0,0,0,0,0.0,0.0
335,How many fictional characters were humans,0,0,0,0,0.0,0.0
336,Is Julia Gillard a part of monarch of elizabeth 2,0,0,0,0,0.0,0.0
338,Where are INKAS located which is also the state of origin for Jojo Chintoh,0,0,0,0,0.0,0.0
339,Who wrote the frost king,0,0,0,0,0.0,0.0
340,How many other key people are there of the non-profit organisations whose key people is Hillary Clinton,0,0,0,0,0.0,0.0
341,How many races have the horses bred by Jacques Van't Hart participated in,0,0,0,0,0.0,0.0
342,Name the mouth country of Upper Neretva,0,0,0,0,0.0,0.0
343,In how many regions is English American spoken,0,0,0,0,0.0,0.0
344,Is Ella Fitzgerald associated with Mickey Roker,0,0,0,0,0.0,0.0
345,Does Cascade Airways have a hub in Seattle,0,0,0,0,0.0,0.0
346,How many services does the company who made Onedrive provide,0,0,0,0,0.0,0.0
347,Where did the Vitis Vinifera grapes originate,0,0,0,0,0.0,0.0
348,How many ships belong to states which has Unitary as government type,0,0,0,0,0.0,0.0
349,Which technological products were manufactured by Foxconn,0,0,0,0,0.0,0.0
350,Does Gibby Haynes play the saxophone,0,0,0,0,0.0,0.0
352,Things going to the mediterranean sea also go where,0,0,0,0,0.0,0.0
353,How many first drivers have participated when Scuderia Ferrari was a first team,0,0,0,0,0.0,0.0
354,Was Tommy Tucker's Tooth animated by Walt Disney,0,0,0,0,0.0,0.0
355,Name all the bands which have members of QDT in them.,0,0,0,0,0.0,0.0
356,Which publisher of Stone Canoe is also the university for which Michael Powell plays for,0,0,0,0,0.0,0.0
357,How many shows are made by the channel whose predecessor was the Comedy Channel,0,0,0,0,0.0,0.0
359,How many wars took place in Israel,0,0,0,0,0.0,0.0
360,Where is Richard Stites located,0,0,0,0,0.0,0.0
362,Who wrote The Times They Are a-Changin,0,0,0,0,0.0,0.0
363,"Who was the opponent of Robert Carr, 1st Earl of Somerset",0,0,0,0,0.0,0.0
364,Give me the total number of architect of the buildings whose one of the  architect was Louis D. Astorino,0,0,0,0,0.0,0.0
368,Count the total number of launch site of the rockets which have been launched form Cape Canaveral Air Force Station,0,0,0,0,0.0,0.0
369,How many shows are made by Larry David,0,0,0,0,0.0,0.0
370,Name the home town of Cline Buckens,0,0,0,0,0.0,0.0
371,Was Cliff Burton in Metallica,0,0,0,0,0.0,0.0
373,How many kinds of games can be played on the Amiga,0,0,0,0,0.0,0.0
374,Is Michael Schumacher the first driver of the 1994 grand prix,0,0,0,0,0.0,0.0
375,By which companies is RENFE Class 333 designed,0,0,0,0,0.0,0.0
376,Does the asiana airlines fly into the Gimhae International Airport,0,0,0,0,0.0,0.0
378,Count the awards given to the recepients of the Becket fund for religious liberty.,0,0,0,0,0.0,0.0
380,Who has written the mary poppins musical,0,0,0,0,0.0,0.0
381,Cable stayed bridges have been used to cross over how many things,0,0,0,0,0.0,0.0
382,To which military division does Clark Daniel Stearns belong,0,0,0,0,0.0,0.0
383,"What are the resting places of the associates of John Betts a, Connecticut politician",0,0,0,0,0.0,0.0
386,For which team does Ramiro Pea play,0,0,0,0,0.0,0.0
387,How many shows is Russell Davies known for,0,0,0,0,0.0,0.0
388,What is the leader of the government agency which is the military unit of Erich Kempka,0,0,0,0,0.0,0.0
389,Name the serving line of Daund Junction railway station,0,0,0,0,0.0,0.0
390,"Who was the president under whom, a governor participated in Shay's rebellion",0,0,0,0,0.0,0.0
391,Is the charat district a district in peru,0,0,0,0,0.0,0.0
392,Who are the people who influenced the writers of Evenor,0,0,0,0,0.0,0.0
394,How many different people own the Timeform award winners,0,0,0,0,0.0,0.0
395,How many scientists are known for the Manhatten Project,http://dbpedia.org/ontology/Scientist,scientist,1,1,0.0,0.0
396,Which political party of Chandra Shekhar is also the political party of Datl Satyanarayana Raju,0,0,0,0,0.0,0.0
397,How many people have been presenters for NBC shows,0,0,0,0,0.0,0.0
399,Whihc alma mater of angela Trusty is also the training center of David Scherman,0,0,0,0,0.0,0.0
400,How many producers have worked for FremantleMedia productions,0,0,0,0,0.0,0.0
401,Which successor of Philippine Ports Authority is the state of origin of Ruben J. Villote,0,0,0,0,0.0,0.0
402,Who is the spouse of Willian Menalaus,0,0,0,0,0.0,0.0
403,Is Joe Schilling the trainer of Nick Diaz,0,0,0,0,0.0,0.0
404,Is James Hetfield a band member of Metallica,0,0,0,0,0.0,0.0
406,How many islands belong to archipelagos located in the pacific,0,0,0,0,0.0,0.0
407,How many other important things have been written by the creator of Stuart Alan Jones,0,0,0,0,0.0,0.0
408,Does Kirk Hammett play the Gibson Flying V,0,0,0,0,0.0,0.0
409,What novels are belong to the genre of Utopian and dystopian fiction,0,0,0,0,0.0,0.0
410,What is the programme format of WWTR,0,0,0,0,0.0,0.0
411,What is the home ground of the clubs managed by Ciao Zanardi,http://dbpedia.org/ontology/SoccerClubSeason,clubs,1,0,0.0,0.0
412,Which people are known for appearing on the television show Dragon's Den,0,0,0,0,0.0,0.0
414,Carl Sagan has penned books on how many matters,0,0,0,0,0.0,0.0
415,what are some units udner the US department of navy,0,0,0,0,0.0,0.0
416,"What sport has made Eric Schiller famous, and has employed Craig Van Tibury",0,0,0,0,0.0,0.0
418,What is the political party of the of Bengalis,0,0,0,0,0.0,0.0
419,Was Writings and Drawings illustrated by Bob Dylan,0,0,0,0,0.0,0.0
420,"How many major shrine are there, of the saints whose beatified by Pope Pius XI",0,0,0,0,0.0,0.0
421,Count all the things licensed as Software as a service.,0,0,0,0,0.0,0.0
422,How many different kinds of games are published by Interplay Entertainment,0,0,0,0,0.0,0.0
423,How many different kinds of softwares have been released under the GPL license,0,0,0,0,0.0,0.0
424,Who produced wizards vs aliens,0,0,0,0,0.0,0.0
425,Which team did Bill Murphy and Jean Segura play for,0,0,0,0,0.0,0.0
426,What location country of AH141 is also the nation of malaysia Junior hockey league,0,0,0,0,0.0,0.0
427,On how many subjects has Random house publishers published books,0,0,0,0,0.0,0.0
428,What are the things Eric Schiller known for,0,0,0,0,0.0,0.0
429,Does Walt Disney Studio have a subsidiary called PixarCascadia_,0,0,0,0,0.0,0.0
430,Who is the leader of the Kriminalpolizei and Ordnungspolizei,0,0,0,0,0.0,0.0
431,Does vance johnson play as a wide receiver,0,0,0,0,0.0,0.0
432,How many different products are there of the companies located in the US,0,0,0,0,0.0,0.0
